PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2G2F, AGS, BINDING_DB, NA, NA, NA, NA
2F4J, VX6, PDB_BIND, IC50, =, 2.2, uM
2F4J, VX6, BINDING_MOAD, , , , 
2F4J, VX6, BINDING_DB, NA, NA, NA, NA
3DK6, PTR, BINDING_DB, NA, NA, NA, NA
3IK3, 0LI, PDB_BIND, IC50, =, 2.0, nM
3IK3, 0LI, BINDING_MOAD, ic50, 2, =, nM
3IK3, 0LI, BINDING_MOAD, ic50, 2, =, nM
3IK3, 0LI, BINDING_DB, NA, NA, NA, NA
2HZN, KIN, PDB_BIND, IC50, =, 41, nM
1OPJ, MYR, BINDING_MOAD, , , , 
1OPJ, MYR, BINDING_MOAD, , , , 
1OPJ, MYR, BINDING_DB, NA, NA, NA, NA
1OPJ, STI, BINDING_MOAD, , , , 
1OPJ, STI, BINDING_MOAD, , , , 
1OPJ, STI, BINDING_DB, NA, NA, NA, NA
2QOH, P3Y, PDB_BIND, IC50, =, 20, nM
2QOH, P3Y, BINDING_MOAD, , , , 
2QOH, P3Y, BINDING_MOAD, , , , 
2QOH, P3Y, BINDING_DB, NA, NA, NA, NA
2G2I, ADP, BINDING_DB, NA, NA, NA, NA
2G2H, P16, BINDING_MOAD, Ki, 1, ~, uM
2G2H, P16, BINDING_MOAD, Ki, 1, ~, uM
2G2H, P16, BINDING_DB, NA, NA, NA, NA
3QRJ, 919, PDB_BIND, IC50, =, 4, nM
3QRJ, 919, BINDING_MOAD, ic50, 4, =, nM
3QRJ, 919, BINDING_MOAD, ic50, 4, =, nM
3QRK, 9DP, PDB_BIND, IC50, =, 57, nM
3QRK, 9DP, BINDING_MOAD, ic50, 57, =, nM
3QRI, 919, PDB_BIND, IC50, =, 0.8, nM
3QRI, 919, BINDING_MOAD, ic50, 0.8, =, nM
3QRI, 919, BINDING_MOAD, ic50, 0.8, =, nM
3KFA, B91, PDB_BIND, IC50, =, 25, nM
3KFA, B91, BINDING_MOAD, ic50, 25, =, nM
3KFA, B91, BINDING_MOAD, ic50, 25, =, nM
3KFA, B91, BINDING_DB, NA, NA, NA, NA
3K5V, STI, BINDING_MOAD, , , , 
3K5V, STI, BINDING_MOAD, , , , 
3K5V, STI, BINDING_DB, NA, NA, NA, NA
3K5V, STJ, PDB_BIND, Kd, =, 0.5, uM
3K5V, STJ, BINDING_MOAD, , , , 
3K5V, STJ, BINDING_MOAD, , , , 
3K5V, STJ, BINDING_DB, NA, NA, NA, NA
1FPU, PRC, BINDING_MOAD, Ki, 37, =, nM
1FPU, PRC, BINDING_MOAD, Ki, 37, =, nM
3OY3, XY3, PDB_BIND, IC50, =, 35.8, nM
3OY3, XY3, BINDING_MOAD, ic50, 35.8, =, nM
3OY3, XY3, BINDING_MOAD, ic50, 35.8, =, nM
3OY3, XY3, BINDING_DB, NA, NA, NA, NA
3DK7, PTR, BINDING_DB, NA, NA, NA, NA
3CS9, NIL, BINDING_MOAD, ic50, 33, <, uM
3CS9, NIL, BINDING_MOAD, ic50, 33, <, uM
3CS9, NIL, BINDING_MOAD, ic50, 33, <, uM
3CS9, NIL, BINDING_MOAD, ic50, 33, <, uM
3CS9, NIL, BINDING_DB, NA, NA, NA, NA
3MS9, MS9, PDB_BIND, Kd, =, 6, uM
3MS9, MS9, BINDING_MOAD, , , , 
3MS9, MS9, BINDING_MOAD, , , , 
3MS9, STI, BINDING_MOAD, , , , 
3MS9, STI, BINDING_MOAD, , , , 
3MS9, STI, BINDING_DB, NA, NA, NA, NA
1IEP, STI, PDB_BIND, IC50, =, 100, nM
1IEP, STI, BINDING_MOAD, ic50, 100, =, nM
1IEP, STI, BINDING_MOAD, ic50, 100, =, nM
1IEP, STI, BINDING_DB, NA, NA, NA, NA
1M52, P17, BINDING_DB, NA, NA, NA, NA
3KF4, B90, PDB_BIND, IC50, <, 0.5, nM
3KF4, B90, BINDING_MOAD, ic50, 0.5, <, nM
3KF4, B90, BINDING_MOAD, ic50, 0.5, <, nM
3KF4, B90, BINDING_DB, NA, NA, NA, NA
2Z60, P3Y, PDB_BIND, IC50, =, 9, nM
