PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2XY9, 3ES, PDB_BIND, Ki, =, 0.65, nM
2XY9, 3ES, BINDING_MOAD, Ki, 0.41, =, nM
2XY9, 3ES, BINDING_MOAD, Ki, 0.41, =, nM
2XY9, 3ES, BINDING_DB, NA, NA, NA, NA
1O86, LPR, PDB_BIND, Ki, =, 0.27, nM
1O86, LPR, BINDING_MOAD, , , , 
1O86, LPR, BINDING_DB, NA, NA, NA, NA
3BKK, FUC, BINDING_DB, NA, NA, NA, NA
3BKK, KAF, PDB_BIND, Ki, =, 0.83, uM
3BKK, KAF, BINDING_MOAD, Ki, 0.83, =, uM
1UZE, EAL, PDB_BIND, IC50, =, 1.27, nM
1UZE, EAL, BINDING_MOAD, , , , 
1UZE, EAL, BINDING_DB, NA, NA, NA, NA
2OC2, RX3, PDB_BIND, Ki, =, 3, nM
2OC2, RX3, BINDING_MOAD, Ki, 3, =, nM
2OC2, RX3, BINDING_DB, NA, NA, NA, NA
2IUL, FUC, BINDING_DB, NA, NA, NA, NA
2YDM, SLC, PDB_BIND, IC50, =, 36.4, nM
2YDM, SLC, BINDING_MOAD, ic50, 36.4, =, nM
3L3N, FUC, BINDING_DB, NA, NA, NA, NA
3L3N, LSW, PDB_BIND, Ki, =, 6.6, nM
3L3N, LSW, BINDING_MOAD, , , , 
3L3N, LSW, BINDING_DB, NA, NA, NA, NA
4C2P, X8Z, BINDING_MOAD, , , , 
4C2P, X8Z, BINDING_DB, NA, NA, NA, NA
1UZF, MCO, BINDING_MOAD, , , , 
1UZF, MCO, BINDING_DB, NA, NA, NA, NA
4CA5, 3EF, PDB_BIND, Ki, =, 0.41, nM
4CA5, 3EF, BINDING_MOAD, Ki, 0.41, =, nM
 
1UZF, MCO, BINDING_DB, NA, NA, NA, NA
4CA5, 3EF, PDB_BIND, Ki, =, 0.41, nM
4CA5, 3EF, BINDING_MOAD, Ki, 0.41, =, nM
