PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1e66, HUX, PDB_BIND, Ki, =, 0.13, nM
1e66, HUX, BINDING_MOAD, Ki, 0.13, =, nM
1e66, HUX, BINDING_DB, NA, NA, NA, NA
1GPK, HUP, PDB_BIND, Ki, =, 4.3, uM
1GPK, HUP, BINDING_MOAD, Ki, 4.3, =, uM
1GPK, HUP, BINDING_DB, NA, NA, NA, NA
1GPN, HUB, PDB_BIND, Ki, =, 0.334, uM
1GPN, HUB, BINDING_MOAD, Ki, 0.334, =, uM
1GPN, HUB, BINDING_DB, NA, NA, NA, NA
1ZGB, A1E, PDB_BIND, IC50, =, 8.8, nM
1ZGB, A1E, BINDING_MOAD, ic50, 8.8, =, nM
1ZGC, A2E, BINDING_MOAD, ic50, 38.8, =, nM
1ZGC, A2E, BINDING_MOAD, ic50, 38.8, =, nM
2CKM, AA7, PDB_BIND, IC50, =, 1.5, nM
2CKM, AA7, BINDING_MOAD, Kd, 77, =, fM
2CKM, AA7, BINDING_DB, NA, NA, NA, NA
3ZV7, NHG, PDB_BIND, Ki, =, 1.2, uM
3ZV7, NHG, BINDING_MOAD, , , , 
2BAG, GSG, BINDING_DB, NA, NA, NA, NA
3I6Z, G6X, PDB_BIND, IC50, =, 0.05, uM
3I6Z, G6X, BINDING_MOAD, , , , 
1VOT, HUP, PDB_BIND, Ki, =, 250, nM
1VOT, HUP, BINDING_MOAD, Ki, 250, =, nM
1VOT, HUP, BINDING_DB, NA, NA, NA, NA
3I6M, G3X, PDB_BIND, IC50, =, 0.35, uM
3I6M, G3X, BINDING_MOAD, , , , 
3I6M, G3X, BINDING_DB, NA, NA, NA, NA
1ODC, A8B, BINDING_MOAD, , , , 
1ODC, A8B, BINDING_DB, NA, NA, NA, NA
2XI4, AFT, BINDING_MOAD, , , , 
2XI4, AFT, BINDING_MOAD, , , , 
2XI4, AFT, BINDING_DB, NA, NA, NA, NA
2W6C, BM4, PDB_BIND, IC50, =, 3.9, nM
2C58, AT3, BINDING_MOAD, , , , 
2C4H, AT3, BINDING_MOAD, , , , 
2C4H, AT3, BINDING_MOAD, , , , 
1GQS, SAF, PDB_BIND, Ki, =, 0.5, uM
1GQS, SAF, BINDING_DB, NA, NA, NA, NA
1GQR, SAF, BINDING_MOAD, , , , 
1GQR, SAF, BINDING_DB, NA, NA, NA, NA
1W4L, GL8, PDB_BIND, IC50, =, 4, nM
1W4L, GL8, BINDING_MOAD, ic50, 4, =, nM
1W4L, GL8, BINDING_DB, NA, NA, NA, NA
2WG1, FUC, BINDING_DB, NA, NA, NA, NA
2WG2, FUC, BINDING_DB, NA, NA, NA, NA
1AMN, NAF, PDB_BIND, Ki, =, 15, fM
1EVE, E20, PDB_BIND, IC50, =, 5.7, nM
1EVE, E20, BINDING_MOAD, ic50, 5.7, =, nM
1EVE, E20, BINDING_DB, NA, NA, NA, NA
2V97, CFQ, BINDING_MOAD, Ki, 20, ~, nM
2V97, CFQ, BINDING_MOAD, Ki, 20, ~, nM
2V97, CFQ, BINDING_MOAD, Ki, 20, ~, nM
2V97, CFQ, BINDING_MOAD, Ki, 20, ~, nM
2V96, CFQ, PDB_BIND, Ki, =, 29, uM
2V96, CFQ, BINDING_MOAD, Ki, 29, =, uM
2V96, CFQ, BINDING_MOAD, Ki, 29, =, uM
2V96, CFQ, BINDING_MOAD, Ki, 29, =, uM
