PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1WXY, FRK, BINDING_MOAD, , , , 
1WXZ, FRL, PDB_BIND, IC50, =, 8.6, nM
1WXZ, FRL, BINDING_DB, NA, NA, NA, NA
1NDY, FR3, PDB_BIND, Ki, =, 680, nM
1NDY, FR3, BINDING_MOAD, Ki, 0.68, =, uM
1NDY, FR3, BINDING_DB, NA, NA, NA, NA
3IAR, 3D1, BINDING_DB, NA, NA, NA, NA
1NDZ, FR5, PDB_BIND, Ki, =, 7.7, nM
1NDZ, FR5, BINDING_MOAD, Ki, 7.7, =, nM
1NDZ, FR5, BINDING_DB, NA, NA, NA, NA
1NDW, FR2, PDB_BIND, Ki, =, 5900, nM
1NDW, FR2, BINDING_MOAD, Ki, 5.9, =, uM
1NDW, FR2, BINDING_DB, NA, NA, NA, NA
1NDV, FR0, PDB_BIND, Ki, =, 1200, nM
1NDV, FR0, BINDING_MOAD, Ki, 1.2, =, uM
1NDV, FR0, BINDING_DB, NA, NA, NA, NA
1UML, FR4, PDB_BIND, Ki, =, 30, nM
1UML, FR4, BINDING_MOAD, Ki, 30, =, nM
1UML, FR4, BINDING_DB, NA, NA, NA, NA
1V7A, FRC, PDB_BIND, Ki, =, 9.8, nM
1V7A, FRC, BINDING_MOAD, Ki, 9.8, =, nM
1V7A, FRC, BINDING_DB, NA, NA, NA, NA
1QXL, FR8, PDB_BIND, Ki, =, 11, nM
1QXL, FR8, BINDING_MOAD, Ki, 11, =, nM
1QXL, FR8, BINDING_DB, NA, NA, NA, NA
1KRM, PRH, BINDING_MOAD, , , , 
1O5R, FR9, PDB_BIND, Ki, =, 7.5, nM
1O5R, FR9, BINDING_MOAD, Ki, 7.5, =, nM
1O5R, FR9, BINDING_DB, NA, NA, NA, NA
2Z7G, EH9, PDB_BIND, Ki, =, 1.13, nM
2Z7G, EH9, BINDING_DB, NA, NA, NA, NA
1W1I, FUC, BINDING_DB, NA, NA, NA, NA
1V79, FR7, PDB_BIND, Ki, =, 13, nM
1V79, FR7, BINDING_MOAD, Ki, 13, =, nM
1V79, FR7, BINDING_DB, NA, NA, NA, NA
1V79, FR7, PDB_BIND, Ki, =, 13, nM
1V79, FR7, BINDING_MOAD, Ki, 13, =, nM
1V79, FR7, BINDING_DB, NA, NA, NA, NA
