PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2oi0, 283, PDB_BIND, Ki, =, 28, nM
2oi0, 283, BINDING_MOAD, Ki, 28, =, nM
2oi0, 283, BINDING_DB, NA, NA, NA, NA
2FV5, 541, PDB_BIND, Kd, <, 2, pM
2FV5, 541, BINDING_MOAD, Ki, 0.03, ~, nM
2FV5, 541, BINDING_MOAD, Ki, 0.03, ~, nM
2FV5, 541, BINDING_DB, NA, NA, NA, NA
3EWJ, 642, PDB_BIND, Ki, =, 143, nM
3EWJ, 642, BINDING_MOAD, Ki, 143, =, nM
3EWJ, 642, BINDING_DB, NA, NA, NA, NA
3EWJ, INN, BINDING_MOAD, , , , 
2I47, INN, BINDING_MOAD, , , , 
2I47, INN, BINDING_MOAD, , , , 
2I47, KGY, PDB_BIND, IC50, =, 2.2, nM
2I47, KGY, BINDING_MOAD, ic50, 2.2, =, nM
2I47, KGY, BINDING_MOAD, ic50, 2.2, =, nM
2I47, KGY, BINDING_DB, NA, NA, NA, NA
3G42, 792, PDB_BIND, IC50, =, 0.14, uM
3G42, 792, BINDING_MOAD, ic50, 0.14, =, uM
3G42, 792, BINDING_MOAD, ic50, 0.14, =, uM
3G42, 792, BINDING_MOAD, ic50, 0.14, =, uM
3G42, 792, BINDING_MOAD, ic50, 0.14, =, uM
3G42, 792, BINDING_DB, NA, NA, NA, NA
2A8H, 4NH, PDB_BIND, IC50, =, 67, nM
2A8H, 4NH, BINDING_MOAD, ic50, 67, =, nM
2A8H, 4NH, BINDING_MOAD, ic50, 67, =, nM
2A8H, 4NH, BINDING_DB, NA, NA, NA, NA
3LEA, Z93, PDB_BIND, Ki, =, 0.8, nM
3LEA, Z93, BINDING_MOAD, Ki, 0.77, =, nM
3LEA, Z93, BINDING_MOAD, Ki, 0.77, =, nM
3O64, 786, PDB_BIND, Ki, =, 0.4, nM
3O64, 786, BINDING_MOAD, Ki, 0.4, =, nM
3O64, 786, BINDING_DB, NA, NA, NA, NA
3O64, INN, BINDING_MOAD, , , , 
1ZXC, IH6, PDB_BIND, IC50, =, 8, nM
1ZXC, IH6, BINDING_MOAD, ic50, 8, =, nM
1ZXC, IH6, BINDING_MOAD, ic50, 8, =, nM
1ZXC, IH6, BINDING_DB, NA, NA, NA, NA
2FV9, 002, PDB_BIND, IC50, =, 60, nM
2FV9, 002, BINDING_MOAD, ic50, 60, =, nM
2FV9, INN, BINDING_MOAD, , , , 
3KME, INN, BINDING_MOAD, , , , 
3KME, Z59, PDB_BIND, Ki, =, 725, nM
3KME, Z59, BINDING_MOAD, Ki, 96, =, nM
3E8R, 615, PDB_BIND, Ki, =, 0.18, nM
3E8R, 615, BINDING_MOAD, , , , 
3E8R, 615, BINDING_MOAD, , , , 
3E8R, 615, BINDING_DB, NA, NA, NA, NA
3E8R, CIT, BINDING_DB, NA, NA, NA, NA
3E8R, INN, BINDING_MOAD, , , , 
3LE9, 727, PDB_BIND, Ki, =, 6, nM
3LE9, 727, BINDING_MOAD, Ki, 6, =, nM
3LE9, 727, BINDING_MOAD, Ki, 6, =, nM
2DDF, CIT, BINDING_DB, NA, NA, NA, NA
2DDF, INN, PDB_BIND, IC50, =, 41, nM
2DDF, INN, BINDING_MOAD, ic50, 41, =, nM
2DDF, INN, BINDING_MOAD, ic50, 41, =, nM
3B92, 440, PDB_BIND, Ki, =, 10, nM
3B92, 440, BINDING_MOAD, Ki, 10, =, nM
3B92, 440, BINDING_DB, NA, NA, NA, NA
3KMC, 403, PDB_BIND, Ki, =, 400, nM
3KMC, 403, BINDING_MOAD, Ki, 400, =, nM
3KMC, 403, BINDING_DB, NA, NA, NA, NA
3KMC, INN, BINDING_MOAD, , , , 
3EDZ, 550, BINDING_MOAD, , , , 
3EDZ, 550, BINDING_DB, NA, NA, NA, NA
3EDZ, CIT, BINDING_DB, NA, NA, NA, NA
3EDZ, INN, BINDING_MOAD, , , , 
1BKC, INN, BINDING_MOAD, , , , 
1BKC, INN, BINDING_MOAD, , , , 
1BKC, INN, BINDING_MOAD, , , , 
1BKC, INN, BINDING_MOAD, , , , 
3LGP, 50X, PDB_BIND, Ki, =, 2, nM
3LGP, 50X, BINDING_MOAD, Ki, 2, =, nM
3LGP, 50X, BINDING_MOAD, Ki, 2, =, nM
3LGP, 50X, BINDING_DB, NA, NA, NA, NA
3L0T, INN, BINDING_MOAD, , , , 
3L0T, Z94, BINDING_MOAD, , , , 
3L0V, 724, PDB_BIND, Ki, =, 23, nM
3L0V, 724, BINDING_MOAD, Ki, 23, =, nM
3L0V, 724, BINDING_MOAD, Ki, 23, =, nM
