PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3ny8, CLR, BINDING_DB, NA, NA, NA, NA
3ny8, OLA, BINDING_DB, NA, NA, NA, NA
3P0G, P0G, PDB_BIND, Kd, =, 84, pM
3NY9, CLR, BINDING_DB, NA, NA, NA, NA
3NY9, JSZ, BINDING_DB, NA, NA, NA, NA
3PDS, CLR, BINDING_DB, NA, NA, NA, NA
3NYA, CLR, BINDING_DB, NA, NA, NA, NA
2RH1, CAU, BINDING_MOAD, , , , 
2RH1, CAU, BINDING_DB, NA, NA, NA, NA
2RH1, CLR, BINDING_MOAD, , , , 
2RH1, CLR, BINDING_MOAD, , , , 
2RH1, CLR, BINDING_MOAD, , , , 
2RH1, CLR, BINDING_DB, NA, NA, NA, NA
2RH1, PLM, BINDING_DB, NA, NA, NA, NA
3D4S, CLR, BINDING_DB, NA, NA, NA, NA
3D4S, TIM, BINDING_DB, NA, NA, NA, NA
