PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4GV1, 0XZ, PDB_BIND, IC50, =, 3, nM
4GV1, 0XZ, BINDING_MOAD, ic50, 3, =, nM
4GV1, 0XZ, BINDING_DB, NA, NA, NA, NA
3OCB, XM1, PDB_BIND, IC50, =, 5, nM
3OCB, XM1, BINDING_DB, NA, NA, NA, NA
4EKL, 0RF, BINDING_MOAD, ic50, 5, =, nM
4EKL, 0RF, BINDING_DB, NA, NA, NA, NA
3CQU, CQU, PDB_BIND, IC50, =, 151, nM
3CQU, CQU, BINDING_MOAD, ic50, 151, =, nM
3CQU, CQU, BINDING_DB, NA, NA, NA, NA
3MV5, XFE, PDB_BIND, IC50, =, 180, nM
3MV5, XFE, BINDING_MOAD, ic50, 180, =, nM
3MV5, XFE, BINDING_DB, NA, NA, NA, NA
3QKM, SM9, PDB_BIND, IC50, =, 38, nM
3QKM, SM9, BINDING_MOAD, ic50, 0.038, =, uM
3QKL, SMR, PDB_BIND, IC50, =, 9, nM
3QKL, SMR, BINDING_MOAD, , , , 
3MVH, WFE, PDB_BIND, IC50, =, 0.5, nM
3MVH, WFE, BINDING_MOAD, ic50, 0.5, =, nM
3MVH, WFE, BINDING_DB, NA, NA, NA, NA
3QKK, SMH, PDB_BIND, IC50, =, 0.3, uM
3QKK, SMH, BINDING_MOAD, , , , 
3OW4, SMY, PDB_BIND, IC50, =, 22, nM
3OW4, SMY, BINDING_DB, NA, NA, NA, NA
 0.3, uM
3QKK, SMH, BINDING_MOAD, , , , 
3OW4, SMY, PDB_BIND, IC50, =, 22, nM
3OW4, SMY, BINDING_DB, NA, NA, NA, NA
