PDB_ID	Reason
1XGD	No ligand in pdb
1AZ1	Two ligands in / near same reference pocket
1AZ2	Two ligands in / near same reference pocket
1EF3	Two ligands in / near same reference pocket
1EL3	Two ligands in / near same reference pocket
1IEI	Two ligands in / near same reference pocket
1MAR	Two ligands in / near same reference pocket
1PWL	Two ligands in / near same reference pocket
1PWM	Two ligands in / near same reference pocket
1T40	Two ligands in / near same reference pocket
1T41	Two ligands in / near same reference pocket
1US0	Two ligands in / near same reference pocket
1X96	Two ligands in / near same reference pocket
1X97	Two ligands in / near same reference pocket
1X98	Two ligands in / near same reference pocket
1Z3N	Two ligands in / near same reference pocket
1Z89	Two ligands in / near same reference pocket
1Z8A	Could not align to reference
2ACQ	Two ligands in / near same reference pocket
2ACR	Two ligands in / near same reference pocket
2ACS	Two ligands in / near same reference pocket
2ACU	Two ligands in / near same reference pocket
2AGT	Two ligands in / near same reference pocket
2DUX	Two ligands in / near same reference pocket
2DUZ	Two ligands in / near same reference pocket
2DV0	Two ligands in / near same reference pocket
2F2K	Two ligands in / near same reference pocket
2FZ8	Two ligands in / near same reference pocket
2FZ9	Two ligands in / near same reference pocket
2FZB	Two ligands in / near same reference pocket
2FZD	Two ligands in / near same reference pocket
2HVN	Two ligands in / near same reference pocket
2HVO	Two ligands in / near same reference pocket
2I16	Two ligands in / near same reference pocket
2I17	Two ligands in / near same reference pocket
2IKG	Two ligands in / near same reference pocket
2IKH	Two ligands in / near same reference pocket
2IKI	Two ligands in / near same reference pocket
2IKJ	Two ligands in / near same reference pocket
2INE	Two ligands in / near same reference pocket
2INZ	Two ligands in / near same reference pocket
2IPW	Two ligands in / near same reference pocket
2IQ0	Two ligands in / near same reference pocket
2IQD	Two ligands in / near same reference pocket
2IS7	Two ligands in / near same reference pocket
2ISF	Two ligands in / near same reference pocket
2J8T	Two ligands in / near same reference pocket
2NVC	Two ligands in / near same reference pocket
2NVD	Two ligands in / near same reference pocket
2PD5	Two ligands in / near same reference pocket
2PD9	Two ligands in / near same reference pocket
2PDB	Two ligands in / near same reference pocket
2PDC	Two ligands in / near same reference pocket
2PDF	Two ligands in / near same reference pocket
2PDG	Two ligands in / near same reference pocket
2PDH	Two ligands in / near same reference pocket
2PDI	Two ligands in / near same reference pocket
2PDJ	Two ligands in / near same reference pocket
2PDK	Two ligands in / near same reference pocket
2PDL	Two ligands in / near same reference pocket
2PDM	Two ligands in / near same reference pocket
2PDN	Two ligands in / near same reference pocket
2PDP	Two ligands in / near same reference pocket
2PDQ	Two ligands in / near same reference pocket
2PDU	Two ligands in / near same reference pocket
2PDW	Two ligands in / near same reference pocket
2PDX	Two ligands in / near same reference pocket
2PDY	Two ligands in / near same reference pocket
2PEV	Could not align to reference
2PF8	Could not align to reference
2PFH	Could not align to reference
2PZN	Two ligands in / near same reference pocket
2QXW	Two ligands in / near same reference pocket
2R24	Two ligands in / near same reference pocket
3BCJ	Two ligands in / near same reference pocket
3DN5	Two ligands in / near same reference pocket
3G5E	Two ligands in / near same reference pocket
3GHR	Two ligands in / near same reference pocket
3GHS	Two ligands in / near same reference pocket
3GHT	Two ligands in / near same reference pocket
3GHU	Two ligands in / near same reference pocket
3LBO	Two ligands in / near same reference pocket
3LD5	Two ligands in / near same reference pocket
3LEN	Two ligands in / near same reference pocket
3LEP	Two ligands in / near same reference pocket
3LQG	Two ligands in / near same reference pocket
3LQL	Two ligands in / near same reference pocket
3LZ3	Two ligands in / near same reference pocket
3LZ5	Two ligands in / near same reference pocket
3M0I	Two ligands in / near same reference pocket
3M4H	Two ligands in / near same reference pocket
3M64	Two ligands in / near same reference pocket
3MB9	Two ligands in / near same reference pocket
3MC5	Two ligands in / near same reference pocket
3ONB	Two ligands in / near same reference pocket
3ONC	Two ligands in / near same reference pocket
3P2V	Two ligands in / near same reference pocket
3Q65	Two ligands in / near same reference pocket
3Q67	Two ligands in / near same reference pocket
3RX2	Two ligands in / near same reference pocket
3RX3	Two ligands in / near same reference pocket
3RX4	Two ligands in / near same reference pocket
3S3G	Two ligands in / near same reference pocket
3T42	Two ligands in / near same reference pocket
3U2C	Two ligands in / near same reference pocket
3V35	Two ligands in / near same reference pocket
3V36	Two ligands in / near same reference pocket
4GCA	Two ligands in / near same reference pocket
4IGS	Two ligands in / near same reference pocket
4JIR	Two ligands in / near same reference pocket
4LAU	Two ligands in / near same reference pocket
4LAZ	Two ligands in / near same reference pocket
4LB3	Two ligands in / near same reference pocket
4LB4	Two ligands in / near same reference pocket
4LBR	Two ligands in / near same reference pocket
4LBS	Two ligands in / near same reference pocket
4NKC	Two ligands in / near same reference pocket
4PR4	Two ligands in / near same reference pocket
4PRR	Two ligands in / near same reference pocket
4PRT	Two ligands in / near same reference pocket
4PUU	Two ligands in / near same reference pocket
4PUW	Two ligands in / near same reference pocket
4Q7B	Two ligands in / near same reference pocket
4QBX	Two ligands in / near same reference pocket
4QR6	Two ligands in / near same reference pocket
4QX4	Two ligands in / near same reference pocket
4QXI	Two ligands in / near same reference pocket
4RPQ	Two ligands in / near same reference pocket
4XZH	Two ligands in / near same reference pocket
4XZI	Two ligands in / near same reference pocket
4YS1	Two ligands in / near same reference pocket
4YU1	Two ligands in / near same reference pocket
5HA7	Two ligands in / near same reference pocket
