PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1ADS, NAP, BINDING_MOAD, , , , 
1PWL, BFI, BINDING_MOAD, , , , 
1PWL, BFI, BINDING_DB, NA, NA, NA, NA
1PWL, NAP, BINDING_MOAD, , , , 
1PWM, FID, BINDING_MOAD, , , , 
1PWM, FID, BINDING_DB, NA, NA, NA, NA
1PWM, NAP, BINDING_MOAD, , , , 
2INZ, NAP, BINDING_MOAD, , , , 
2INZ, OHP, BINDING_MOAD, Ki, 3.5, =, uM
2INZ, OHP, BINDING_DB, NA, NA, NA, NA
3M64, 393, BINDING_MOAD, Kd, 1.51, =, uM
3M64, 393, BINDING_DB, NA, NA, NA, NA
3M64, NAP, BINDING_MOAD, , , , 
2FZB, NAP, BINDING_MOAD, , , , 
2FZB, TOL, BINDING_MOAD, , , , 
2FZB, TOL, BINDING_MOAD, , , , 
2FZB, TOL, BINDING_MOAD, , , , 
2FZB, TOL, BINDING_MOAD, , , , 
2FZB, TOL, BINDING_DB, NA, NA, NA, NA
2FZD, NAP, BINDING_MOAD, , , , 
2FZD, TOL, BINDING_MOAD, , , , 
2FZD, TOL, BINDING_DB, NA, NA, NA, NA
2FZ8, NAP, BINDING_MOAD, , , , 
2FZ8, ZST, BINDING_MOAD, , , , 
2FZ8, ZST, BINDING_DB, NA, NA, NA, NA
2FZ9, NAP, BINDING_MOAD, , , , 
2FZ9, ZST, BINDING_MOAD, , , , 
2FZ9, ZST, BINDING_DB, NA, NA, NA, NA
3MB9, NAP, BINDING_MOAD, , , , 
3MB9, ZST, BINDING_MOAD, Kd, 0.106, =, uM
3MB9, ZST, BINDING_DB, NA, NA, NA, NA
3G5E, NDP, BINDING_MOAD, , , , 
3G5E, Q74, BINDING_MOAD, ic50, 7, =, nM
2PZN, 393, BINDING_DB, NA, NA, NA, NA
2AGT, CIT, BINDING_DB, NA, NA, NA, NA
2AGT, FID, BINDING_MOAD, ic50, 9, =, nM
2AGT, FID, BINDING_DB, NA, NA, NA, NA
2AGT, NAP, BINDING_MOAD, , , , 
2PEV, CIT, BINDING_DB, NA, NA, NA, NA
2PEV, FID, BINDING_MOAD, Kd, 6.5, =, nM
2PEV, FID, BINDING_DB, NA, NA, NA, NA
2PEV, LDT, BINDING_MOAD, Kd, 61, =, nM
2PEV, LDT, BINDING_DB, NA, NA, NA, NA
2PEV, NDP, BINDING_MOAD, , , , 
3T42, 3T4, BINDING_MOAD, Ki, 107, =, nM
3T42, CIT, BINDING_DB, NA, NA, NA, NA
3T42, NAP, BINDING_MOAD, , , , 
3ONB, CIT, BINDING_DB, NA, NA, NA, NA
3ONB, LDT, BINDING_MOAD, , , , 
3ONB, LDT, BINDING_DB, NA, NA, NA, NA
3ONB, NAP, BINDING_MOAD, , , , 
3ONC, CIT, BINDING_DB, NA, NA, NA, NA
3ONC, LDT, BINDING_MOAD, , , , 
3ONC, LDT, BINDING_DB, NA, NA, NA, NA
3ONC, NAP, BINDING_MOAD, , , , 
2DUX, NAP, BINDING_MOAD, , , , 
2DUX, ZST, BINDING_MOAD, , , , 
2DUX, ZST, BINDING_DB, NA, NA, NA, NA
2DUZ, NAP, BINDING_MOAD, , , , 
2DUZ, ZST, BINDING_MOAD, , , , 
2DUZ, ZST, BINDING_DB, NA, NA, NA, NA
3DN5, 53N, BINDING_MOAD, ic50, 0.17, =, uM
3DN5, NAP, BINDING_MOAD, , , , 
2F2K, NDP, BINDING_MOAD, , , , 
2F2K, TGG, BINDING_MOAD, , , , 
2F2K, TGG, BINDING_DB, NA, NA, NA, NA
3MC5, 393, BINDING_MOAD, Kd, 1.51, =, uM
