PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1LL9, AXL, BINDING_MOAD, , , , 
3GV9, GV9, PDB_BIND, Ki, =, 7.5, mM
3GV9, GV9, BINDING_MOAD, Ki, 7.5, =, mM
3GV9, GV9, BINDING_MOAD, Ki, 7.5, =, mM
3GV9, GV9, BINDING_MOAD, Ki, 7.5, =, mM
3GV9, GV9, BINDING_MOAD, Ki, 7.5, =, mM
1O07, MXG, BINDING_MOAD, , , , 
1O07, MXG, BINDING_MOAD, , , , 
2RCX, SM4, PDB_BIND, Ki, =, 1, nM
1XGJ, HTC, PDB_BIND, Ki, =, 1.0, uM
1XGJ, HTC, BINDING_MOAD, Ki, 1, =, uM
1XGJ, HTC, BINDING_MOAD, Ki, 1, =, uM
1XGJ, HTC, BINDING_DB, NA, NA, NA, NA
1XGI, NST, PDB_BIND, Ki, =, 14, uM
1XGI, NST, BINDING_MOAD, Ki, 14, =, uM
2HDU, F12, PDB_BIND, Ki, =, 5, mM
2HDU, F12, BINDING_MOAD, Ki, 5, =, mM
2HDU, F12, BINDING_MOAD, Ki, 5, =, mM
2HDU, F12, BINDING_MOAD, Ki, 5, =, mM
2HDU, F12, BINDING_MOAD, Ki, 5, =, mM
2HDU, F12, BINDING_MOAD, Ki, 5, =, mM
2HDU, F12, BINDING_MOAD, Ki, 5, =, mM
2HDU, F12, BINDING_MOAD, Ki, 5, =, mM
2HDU, F12, BINDING_MOAD, Ki, 5, =, mM
2HDU, F12, BINDING_DB, NA, NA, NA, NA
2HDR, 4A3, PDB_BIND, Ki, =, 19, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_MOAD, Ki, 19, =, mM
2HDR, 4A3, BINDING_DB, NA, NA, NA, NA
1MXO, SM2, PDB_BIND, Ki, =, 1, nM
1KE3, BDB, PDB_BIND, Ki, =, 0.20, uM
1KE3, BDB, BINDING_DB, NA, NA, NA, NA
1KDS, NPB, PDB_BIND, Ki, =, 1.7, uM
1KDS, NPB, BINDING_DB, NA, NA, NA, NA
1MY8, SM3, PDB_BIND, Ki, =, 35, nM
1MY8, SM3, BINDING_MOAD, Ki, 0.035, =, uM
1MY8, SM3, BINDING_MOAD, Ki, 0.035, =, uM
1KDW, 4CB, PDB_BIND, Ki, =, 2.9, uM
1KDW, 4CB, BINDING_DB, NA, NA, NA, NA
1L0G, SUC, BINDING_MOAD, , , , 
1GA9, ETP, PDB_BIND, Ki, =, 83, nM
1GA9, ETP, BINDING_DB, NA, NA, NA, NA
1KVL, CLS, BINDING_MOAD, , , , 
1KVL, KCP, BINDING_MOAD, , , , 
1KVL, THN, BINDING_MOAD, , , , 
3GVB, 3GV, PDB_BIND, Ki, =, 2.6, mM
3GVB, 3GV, BINDING_MOAD, Ki, 2.6, =, mM
1PI4, SM3, PDB_BIND, Ki, =, 37, nM
1PI4, SM3, BINDING_MOAD, Ki, 37, =, nM
1PI4, SM3, BINDING_MOAD, Ki, 37, =, nM
1PI5, SM2, PDB_BIND, Ki, =, 17, nM
1PI5, SM2, BINDING_MOAD, Ki, 17, =, nM
1PI5, SM2, BINDING_MOAD, Ki, 17, =, nM
1PI5, SM2, BINDING_MOAD, Ki, 17, =, nM
1LLB, PCN, PDB_BIND, IC50, =, 900, nM
3O88, BSH, PDB_BIND, Ki, =, 430, nM
3O87, BSG, PDB_BIND, Ki, =, 25, nM
2I72, VA1, PDB_BIND, Ki, =, 37, nM
1FSW, CTB, PDB_BIND, Ki, =, 0.32, uM
1FSW, CTB, BINDING_DB, NA, NA, NA, NA
3GSG, GF1, PDB_BIND, Ki, =, 2, mM
3GSG, GF1, BINDING_MOAD, Ki, 2, =, mM
3GSG, GF1, BINDING_MOAD, Ki, 2, =, mM
3GSG, GF1, BINDING_MOAD, Ki, 2, =, mM
1IEM, CB4, PDB_BIND, Ki, =, 20, nM
1IEM, CB4, BINDING_DB, NA, NA, NA, NA
3O86, BSF, PDB_BIND, Ki, =, 70, nM
3GR2, GF4, PDB_BIND, Ki, =, 3, mM
3GR2, GF4, BINDING_MOAD, Ki, 3, =, mM
2R9X, WH6, PDB_BIND, Ki, =, 14, uM
2R9X, WH6, BINDING_MOAD, Ki, 14, =, uM
2R9X, WH6, BINDING_MOAD, Ki, 14, =, uM
2R9W, 23C, PDB_BIND, Ki, =, 8, uM
2R9W, 23C, BINDING_MOAD, Ki, 8, =, uM
2R9W, 23C, BINDING_MOAD, Ki, 8, =, uM
2R9W, 23C, BINDING_DB, NA, NA, NA, NA
3FKV, BZB, PDB_BIND, Ki, =, 0.027, uM
3FKV, BZB, BINDING_DB, NA, NA, NA, NA
3GRJ, G14, PDB_BIND, Ki, =, 1, mM
3GRJ, G14, BINDING_MOAD, Ki, 1, =, mM
3GRJ, G14, BINDING_MOAD, Ki, 1, =, mM
3GRJ, G14, BINDING_MOAD, Ki, 1, =, mM
3GRJ, G14, BINDING_DB, NA, NA, NA, NA
1C3B, BZB, PDB_BIND, Ki, =, 27, nM
1C3B, BZB, BINDING_DB, NA, NA, NA, NA
3GTC, GTC, PDB_BIND, Ki, =, 4.5, mM
3GTC, GTC, BINDING_MOAD, Ki, 4.5, =, mM
3GTC, GTC, BINDING_MOAD, Ki, 4.5, =, mM
3GTC, GTC, BINDING_MOAD, Ki, 4.5, =, mM
3GTC, GTC, BINDING_MOAD, Ki, 4.5, =, mM
3GTC, GTC, BINDING_MOAD, Ki, 4.5, =, mM
4E3L, 0NB, PDB_BIND, Ki, =, 3.0, nM
4E3M, 0ND, PDB_BIND, Ki, =, 0.2, nM
4E3N, 0NE, PDB_BIND, Ki, =, 0.05, nM
4E3O, 0NG, PDB_BIND, Ki, =, 310, nM
4E3I, 0N3, PDB_BIND, Ki, =, 1.3, nM
3BM6, C9P, PDB_BIND, Ki, =, 26, nM
4E3K, 0NA, PDB_BIND, Ki, =, 0.8, nM
3GQZ, GF7, PDB_BIND, Ki, =, 6.7, mM
3GQZ, GF7, BINDING_MOAD, Ki, 6.7, =, mM
2HDS, 4MB, PDB_BIND, Ki, =, 10, mM
2HDS, 4MB, BINDING_MOAD, Ki, 10, =, mM
2HDS, 4MB, BINDING_MOAD, Ki, 10, =, mM
2HDS, 4MB, BINDING_MOAD, Ki, 10, =, mM
2HDS, 4MB, BINDING_DB, NA, NA, NA, NA
1FSY, 105, PDB_BIND, Ki, =, 0.15, uM
1FSY, 105, BINDING_DB, NA, NA, NA, NA
2PU2, DK2, PDB_BIND, Ki, =, 37, uM
2PU2, DK2, BINDING_MOAD, Ki, 37, =, uM
2PU2, DK2, BINDING_MOAD, Ki, 37, =, uM
4E3J, 0N4, PDB_BIND, Ki, =, 1.2, nM
1KE0, CVB, PDB_BIND, Ki, =, 4.2, uM
1KE0, CVB, BINDING_DB, NA, NA, NA, NA
3IXB, BZB, BINDING_DB, NA, NA, NA, NA
3IXG, BZB, PDB_BIND, Ki, =, 27, nM
3IXG, BZB, BINDING_DB, NA, NA, NA, NA
, nM
1KE0, CVB, PDB_BIND, Ki, =, 4.2, uM
1KE0, CVB, BINDING_DB, NA, NA, NA, NA
3IXB, BZB, BINDING_DB, NA, NA, NA, NA
3IXG, BZB, PDB_BIND, Ki, =, 27, nM
3IXG, BZB, BINDING_DB, NA, NA, NA, NA
