PDB_ID	LIG_ID
1L2S	lig
1C3B	BZB
1FCM	CXU
1FCN	LOR
1FCO	MOX
1FSW	CTB
1FSY	105
1GA9	ETP
1I5Q	MOX
1IEL	CAZ
1IEM	CB4
1KDS	NPB
1KDW	4CB
1KE0	CVB
1KE3	BDB
1KVL	THN
1LL5	IM2
1MXO	SM2
1MY8	SM3
1PI4	SM3
1PI5	SM2
1XGJ	HTC
2FFY	SM3
2HDR	4A3
2I72	VA1
2PU2	DK2
2PU4	OX6
3BM6	C9P
3FKV	BZB
3GQZ	GF7
3GR2	GF4
3GSG	GF1
3GTC	GTC
3GV9	GV9
3GVB	3GV
3IXB	BZB
3O86	BSF
3O87	BSG
3O88	BSH
4E3J	0N4
4E3K	0NA
4E3L	0NB
4E3M	0ND
4E3N	0NE
4E3O	0NG
4JXG	1S6
4JXV	1MU
4JXW	1MW
4KEN	1S7
4KG2	PCZ
4KG5	PCZ
4KZ3	1U1
4KZ5	1U3
4KZ7	1U5
4KZ8	1U6
4LV1	NL9
4LV2	N95
4LV3	25N
4OLG	2TV
5GZW	AMP
5JOC	CIT
