PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3V4A, PK1, BINDING_MOAD, , , , 
3ZQT, 30Z, PDB_BIND, IC50, =, 38.8, uM
3ZQT, 30Z, BINDING_MOAD, , , , 
3ZQT, TES, BINDING_MOAD, , , , 
3ZQT, TES, BINDING_DB, NA, NA, NA, NA
2Q7J, TES, BINDING_MOAD, , , , 
2Q7J, TES, BINDING_DB, NA, NA, NA, NA
2Q7I, TES, BINDING_MOAD, , , , 
2Q7I, TES, BINDING_DB, NA, NA, NA, NA
2AO6, R18, PDB_BIND, Kd, =, 0.52, nM
2AO6, R18, BINDING_MOAD, , , , 
2AO6, R18, BINDING_DB, NA, NA, NA, NA
2Q7L, TES, BINDING_MOAD, , , , 
2Q7L, TES, BINDING_DB, NA, NA, NA, NA
2YLQ, TES, BINDING_MOAD, , , , 
2YLQ, TES, BINDING_DB, NA, NA, NA, NA
2YLQ, YLQ, BINDING_MOAD, , , , 
2YLQ, YLQ, BINDING_DB, NA, NA, NA, NA
3V49, PK0, PDB_BIND, IC50, =, 9.6, nM
3V49, PK0, BINDING_MOAD, ic50, 9.6, =, nM
3V49, PK0, BINDING_DB, NA, NA, NA, NA
1XNN, HYQ, BINDING_MOAD, Ki, 0.5, =, nM
2PKL, 4HY, BINDING_MOAD, , , , 
2PKL, 4HY, BINDING_DB, NA, NA, NA, NA
2PKL, DHT, BINDING_MOAD, , , , 
2PKL, DHT, BINDING_DB, NA, NA, NA, NA
1Z95, 198, PDB_BIND, Ki, =, 76, nM
1Z95, 198, BINDING_MOAD, Kd, 0.76, =, nM
1Z95, 198, BINDING_DB, NA, NA, NA, NA
2YLO, TES, BINDING_MOAD, , , , 
2YLO, TES, BINDING_DB, NA, NA, NA, NA
2YLO, YLO, PDB_BIND, IC50, =, 13.1, uM
2YLO, YLO, BINDING_MOAD, , , , 
2YLO, YLO, BINDING_DB, NA, NA, NA, NA
2IHQ, LG7, PDB_BIND, Ki, =, 3.2, nM
2IHQ, LG7, BINDING_MOAD, Ki, 3.2, =, nM
2IHQ, LG7, BINDING_DB, NA, NA, NA, NA
2YLP, 056, BINDING_MOAD, , , , 
2YLP, 056, BINDING_MOAD, , , , 
2YLP, TES, BINDING_MOAD, , , , 
2YLP, TES, BINDING_DB, NA, NA, NA, NA
3B5R, B5R, PDB_BIND, Ki, =, 1.7, nM
3B5R, B5R, BINDING_MOAD, , , , 
3B5R, B5R, BINDING_DB, NA, NA, NA, NA
4HLW, 17W, PDB_BIND, IC50, =, 4.2, uM
4HLW, 17W, BINDING_MOAD, , , , 
4HLW, 17W, BINDING_DB, NA, NA, NA, NA
4HLW, TES, BINDING_MOAD, , , , 
4HLW, TES, BINDING_DB, NA, NA, NA, NA
1XOW, R18, PDB_BIND, Kd, =, 0.52, nM
1XOW, R18, BINDING_MOAD, , , , 
1XOW, R18, BINDING_DB, NA, NA, NA, NA
3G0W, LGB, PDB_BIND, Ki, =, 0.3, nM
3G0W, LGB, BINDING_MOAD, Ki, 0.3, =, nM
3G0W, LGB, BINDING_DB, NA, NA, NA, NA
2Q7K, TES, BINDING_MOAD, , , , 
2Q7K, TES, BINDING_DB, NA, NA, NA, NA
1T5Z, DHT, BINDING_MOAD, , , , 
1T5Z, DHT, BINDING_DB, NA, NA, NA, NA
1I37, DHT, PDB_BIND, Ki, =, 0.27, nM
1I37, DHT, BINDING_MOAD, , , , 
1I37, DHT, BINDING_DB, NA, NA, NA, NA
2PNU, ENM, BINDING_MOAD, , , , 
1I38, DHT, BINDING_MOAD, , , , 
1I38, DHT, BINDING_DB, NA, NA, NA, NA
1T73, DHT, BINDING_MOAD, , , , 
1T73, DHT, BINDING_DB, NA, NA, NA, NA
1T76, DHT, BINDING_MOAD, , , , 
1T76, DHT, BINDING_DB, NA, NA, NA, NA
1T74, DHT, BINDING_MOAD, , , , 
1T74, DHT, BINDING_DB, NA, NA, NA, NA
1T79, DHT, BINDING_MOAD, , , , 
1T79, DHT, BINDING_DB, NA, NA, NA, NA
2HVC, LGD, PDB_BIND, Ki, =, 1.5, nM
2HVC, LGD, BINDING_MOAD, , , , 
2HVC, LGD, BINDING_DB, NA, NA, NA, NA
