PDB_ID	LIG_ID
2AM9	lig
1E3G	R18
1GS4	ZK5
1I37	DHT
1I38	DHT
1T5Z	DHT
1T63	DHT
1T65	DHT
1T73	DHT
1T74	DHT
1T76	DHT
1T79	DHT
1T7F	DHT
1T7M	DHT
1T7R	DHT
1T7T	DHT
1XJ7	DHT
1XNN	HYQ
1XOW	R18
1XQ3	R18
1Z95	198
2AMA	DHT
2AMB	17H
2AO6	R18
2AX6	HFT
2AX7	FHM
2AX8	FHM
2AX9	BHM
2AXA	FHM
2HVC	LGD
2IHQ	LG7
2NW4	8NH
2OZ7	CA4
2PIO	DHT
2PIP	DHT
2PIQ	DHT
2PIR	DHT
2PIT	DHT
2PIU	DHT
2PIV	DHT
2PIW	DHT
2PIX	DHT
2PKL	DHT
2PNU	ENM
2Q7I	TES
2Q7J	TES
2Q7K	TES
2Q7L	TES
2QPY	DHT
2YHD	TES
2YLO	TES
2YLP	TES
2YLQ	TES
2Z4J	DHT
3B5R	B5R
3B65	3B6
3B66	B66
3B67	B67
3B68	B68
3G0W	LGB
3L3X	DHT
3L3Z	DHT
3RLJ	RLJ
3RLL	RLL
3V49	PK0
3V4A	PK1
3ZQT	TES
4HLW	TES
4K7A	DHT
4OEA	DHT
4OED	DHT
4OEY	DHT
4OEZ	DHT
4OFR	DHT
4OFU	DHT
4OGH	HFT
4OH5	HFT
4OH6	HFT
4OHA	HFT
4OIL	HFT
4OIU	HFT
4OJ9	HFT
4OJB	198
4OK1	198
4OKB	198
4OKT	198
4OKW	198
4OKX	198
4OLM	198
4QL8	JAD
5CJ6	51Y
5T8E	77U
5T8J	77T
5V8Q	97A
