PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2XCG, XCG, PDB_BIND, Kd, =, 9, nM
2XCG, XCG, BINDING_MOAD, Kd, 9, =, nM
2XCG, XCG, BINDING_MOAD, Kd, 9, =, nM
3PO7, ZON, BINDING_MOAD, Ki, 3.1, =, uM
3PO7, ZON, BINDING_MOAD, Ki, 3.1, =, uM
3PO7, ZON, BINDING_DB, NA, NA, NA, NA
1S3E, RHP, BINDING_DB, NA, NA, NA, NA
1OJD, LDA, BINDING_DB, NA, NA, NA, NA
2C75, RSA, BINDING_DB, NA, NA, NA, NA
2C76, RSA, BINDING_DB, NA, NA, NA, NA
2C70, PNZ, BINDING_MOAD, , , , 
2C70, PNZ, BINDING_MOAD, , , , 
2C72, RSA, BINDING_DB, NA, NA, NA, NA
2C73, RSA, BINDING_DB, NA, NA, NA, NA
4A79, P1B, BINDING_MOAD, Ki, 0.5, =, uM
4A79, P1B, BINDING_MOAD, Ki, 0.5, =, uM
2V5Z, SAG, BINDING_MOAD, Ki, 0.45, =, uM
2V5Z, SAG, BINDING_MOAD, Ki, 0.45, =, uM
2V5Z, SAG, BINDING_DB, NA, NA, NA, NA
1S2Y, RSA, BINDING_DB, NA, NA, NA, NA
2XFO, XCG, BINDING_MOAD, Ki, 58, =, uM
2XFO, XCG, BINDING_MOAD, Ki, 58, =, uM
2XFP, XCG, BINDING_MOAD, , , , 
2XFP, XCG, BINDING_MOAD, , , , 
2XFQ, XCG, BINDING_MOAD, , , , 
2XFQ, XCG, BINDING_MOAD, , , , 
2BK3, FOH, BINDING_MOAD, Ki, 2.3, =, uM
2BK3, FOH, BINDING_MOAD, Ki, 2.3, =, uM
2BK3, FOH, BINDING_DB, NA, NA, NA, NA
2XFN, XCG, BINDING_MOAD, Ki, 8.3, =, uM
2XFN, XCG, BINDING_MOAD, Ki, 8.3, =, uM
2V60, C17, BINDING_MOAD, Ki, 0.4, =, uM
2V60, C17, BINDING_MOAD, Ki, 0.4, =, uM
2V60, C17, BINDING_DB, NA, NA, NA, NA
2V61, C18, BINDING_MOAD, Ki, 0.1, =, uM
2V61, C18, BINDING_MOAD, Ki, 0.1, =, uM
2V61, C18, BINDING_DB, NA, NA, NA, NA
4A7A, RGZ, BINDING_MOAD, Ki, 4.2, =, uM
4A7A, RGZ, BINDING_MOAD, Ki, 4.2, =, uM
1OJ9, 1PB, BINDING_MOAD, Ki, 35, =, uM
1OJ9, 1PB, BINDING_MOAD, Ki, 35, =, uM
3ZYX, MBT, BINDING_MOAD, Ki, 0.143, =, uM
3ZYX, MBT, BINDING_MOAD, Ki, 0.143, =, uM
, MBT, BINDING_MOAD, Ki, 0.143, =, uM
