PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3L38, 879, PDB_BIND, IC50, =, 0.1, uM
3L38, 879, BINDING_MOAD, ic50, 0.1, =, uM
3L38, 879, BINDING_DB, NA, NA, NA, NA
4FSE, 0VA, PDB_BIND, Ki, =, 40, nM
3LNK, 74A, PDB_BIND, IC50, =, 1150, nM
3LNK, 74A, BINDING_MOAD, ic50, 1150, =, nM
3LNK, 74A, BINDING_MOAD, ic50, 1150, =, nM
3LNK, 74A, BINDING_DB, NA, NA, NA, NA
4FSL, 0VB, PDB_BIND, Ki, =, 20, nM
2QK5, CS5, PDB_BIND, IC50, =, 8, nM
2QK5, CS5, BINDING_MOAD, ic50, 8, =, nM
2QK5, CS5, BINDING_MOAD, ic50, 8, =, nM
2QK5, CS5, BINDING_DB, NA, NA, NA, NA
2WJO, QUD, BINDING_MOAD, , , , 
4FS4, H24, PDB_BIND, Ki, =, 270, nM
4FS4, H24, BINDING_DB, NA, NA, NA, NA
3SKG, PB8, PDB_BIND, IC50, =, 8, nM
3SKG, PB8, BINDING_DB, NA, NA, NA, NA
3SKF, PB7, PDB_BIND, IC50, =, 5, nM
3L5B, BDO, PDB_BIND, Kd, =, 123, uM
3L5B, BDO, BINDING_MOAD, Kd, 123, =, uM
3L5B, BDO, BINDING_MOAD, Kd, 123, =, uM
3L5C, BDQ, PDB_BIND, IC50, =, 7000, nM
3L5C, BDQ, BINDING_MOAD, ic50, 7000, =, nM
3L5C, BDQ, BINDING_MOAD, ic50, 7000, =, nM
3L5F, BDX, PDB_BIND, IC50, =, 605, nM
3L5F, BDX, BINDING_MOAD, ic50, 605, =, nM
3L5F, BDX, BINDING_MOAD, ic50, 605, =, nM
3L5F, BDX, BINDING_DB, NA, NA, NA, NA
4IVT, VTI, PDB_BIND, IC50, =, 1.01, uM
4IVT, VTI, BINDING_MOAD, ic50, 1.7, =, uM
4IVS, VSI, PDB_BIND, IC50, =, 0.044, uM
3L58, CS5, PDB_BIND, IC50, =, 8, nM
3L58, CS5, BINDING_MOAD, ic50, 8, =, nM
3L58, CS5, BINDING_MOAD, ic50, 8, =, nM
3L58, CS5, BINDING_DB, NA, NA, NA, NA
3L59, BDJ, PDB_BIND, Kd, =, 200, uM
3L59, BDJ, BINDING_MOAD, Kd, 200, =, uM
3L59, BDJ, BINDING_DB, NA, NA, NA, NA
2IQG, F2I, PDB_BIND, IC50, =, 5, nM
2IQG, F2I, BINDING_MOAD, ic50, 5, =, nM
2IQG, F2I, BINDING_DB, NA, NA, NA, NA
3PI5, 3P5, PDB_BIND, IC50, =, 950, nM
3PI5, 3P5, BINDING_MOAD, ic50, 0.95, =, uM
3PI5, 3P5, BINDING_MOAD, ic50, 0.95, =, uM
3PI5, 3P5, BINDING_MOAD, ic50, 0.95, =, uM
3PI5, 3P5, BINDING_DB, NA, NA, NA, NA
2WEZ, ZYE, PDB_BIND, IC50, =, 0.023, uM
2WEZ, ZYE, BINDING_MOAD, ic50, 0.023, =, uM
4KE0, 1R8, PDB_BIND, IC50, =, 17, nM
4KE0, 1R8, BINDING_MOAD, ic50, 0.017, =, uM
4KE0, 1R8, BINDING_MOAD, ic50, 0.017, =, uM
4KE0, 1R8, BINDING_MOAD, ic50, 0.017, =, uM
4KE1, 1R6, PDB_BIND, IC50, =, 2.5, nM
4KE1, 1R6, BINDING_MOAD, ic50, 0.0025, =, uM
4K9H, 1QU, PDB_BIND, IC50, =, 76, nM
4K9H, 1QU, BINDING_MOAD, ic50, 0.076, =, uM
4K9H, 1QU, BINDING_MOAD, ic50, 0.076, =, uM
4K9H, 1QU, BINDING_MOAD, ic50, 0.076, =, uM
4EXG, 916, PDB_BIND, IC50, =, 8.5, nM
4EXG, 916, BINDING_MOAD, ic50, 8.5, =, nM
4H3I, 10V, PDB_BIND, Ki, =, 3, nM
4H3I, 10V, BINDING_MOAD, Ki, 3, =, nM
4H3I, 10V, BINDING_MOAD, Ki, 3, =, nM
4H3I, 10V, BINDING_DB, NA, NA, NA, NA
3ZMG, 6Z0, PDB_BIND, IC50, =, 23, nM
3ZMG, 6Z0, BINDING_MOAD, ic50, 0.023, =, uM
3ZMG, 6Z0, BINDING_DB, NA, NA, NA, NA
3FKT, SII, PDB_BIND, IC50, =, 2.8, uM
3FKT, SII, BINDING_MOAD, ic50, 2.8, =, uM
3FKT, SII, BINDING_DB, NA, NA, NA, NA
4BFD, 8T3, PDB_BIND, IC50, =, 96, nM
4BFD, 8T3, BINDING_MOAD, ic50, 0.096, =, uM
3KYR, 038, PDB_BIND, IC50, =, 0.19, uM
3KYR, 038, BINDING_DB, NA, NA, NA, NA
4JOO, 1M4, PDB_BIND, IC50, =, 36.83, uM
4JOO, 1M4, BINDING_MOAD, ic50, 36830, =, nM
4DH6, 0KN, PDB_BIND, IC50, =, 16.8, nM
4DH6, 0KN, BINDING_MOAD, ic50, 16.8, =, nM
3RTH, RTH, PDB_BIND, Kd, =, 6.1, uM
3RTH, RTH, BINDING_DB, NA, NA, NA, NA
4DJW, 0KP, PDB_BIND, Ki, =, 0.53, uM
4DJW, 0KP, BINDING_MOAD, Ki, 0.53, =, uM
4DJW, 0KP, BINDING_MOAD, Ki, 0.53, =, uM
4DJW, 0KP, BINDING_DB, NA, NA, NA, NA
3QI1, C6A, PDB_BIND, IC50, =, 22, nM
4H3F, 10O, PDB_BIND, Ki, =, 1, nM
4H3F, 10O, BINDING_MOAD, Ki, 1, =, nM
4H3F, 10O, BINDING_MOAD, Ki, 1, =, nM
4H3F, 10O, BINDING_DB, NA, NA, NA, NA
4HZT, 0ZA, PDB_BIND, IC50, =, 0.75, uM
4HZT, 0ZA, BINDING_MOAD, ic50, 0.75, =, uM
4HZT, 0ZA, BINDING_DB, NA, NA, NA, NA
4B77, 54M, PDB_BIND, IC50, =, 7.9, uM
4B77, 54M, BINDING_MOAD, ic50, 7.9, =, uM
4J0Y, 1H6, PDB_BIND, IC50, =, 0.435, uM
4J0Y, 1H6, BINDING_MOAD, ic50, 0.435, =, uM
4J0Y, 1H6, BINDING_DB, NA, NA, NA, NA
4L7G, 1W0, PDB_BIND, IC50, =, 99.3, uM
4B78, KGG, PDB_BIND, IC50, =, 10, uM
4B78, KGG, BINDING_MOAD, ic50, 3.2, =, uM
3R2F, PB0, PDB_BIND, IC50, =, 1.4, nM
3R2F, PB0, BINDING_DB, NA, NA, NA, NA
4B1E, 6T6, BINDING_MOAD, , , , 
4B1D, 6TG, PDB_BIND, IC50, =, 0.032, uM
4B1D, 6TG, BINDING_MOAD, ic50, 0.012, =, uM
4B1D, 6TG, BINDING_DB, NA, NA, NA, NA
4B1C, 1B1, PDB_BIND, IC50, =, 0.079, uM
4B1C, 1B1, BINDING_MOAD, ic50, 0.079, =, uM
4GID, 0GH, PDB_BIND, Ki, =, 0.017, nM
4GID, 0GH, BINDING_MOAD, Ki, 0.017, =, nM
4GID, 0GH, BINDING_MOAD, Ki, 0.017, =, nM
4GID, 0GH, BINDING_MOAD, Ki, 0.017, =, nM
4GID, 0GH, BINDING_MOAD, Ki, 0.017, =, nM
4GID, 0GH, BINDING_DB, NA, NA, NA, NA
2VJ9, VG7, PDB_BIND, IC50, =, 180, nM
2VJ9, VG7, BINDING_MOAD, ic50, 180, =, nM
2VJ9, VG7, BINDING_DB, NA, NA, NA, NA
3RVI, RVI, PDB_BIND, IC50, =, 11, nM
2VJ6, VG5, PDB_BIND, IC50, =, 13, nM
2VJ6, VG5, BINDING_MOAD, ic50, 13, =, nM
2VJ6, VG5, BINDING_DB, NA, NA, NA, NA
2VJ7, VG6, PDB_BIND, IC50, =, 40, nM
2VJ7, VG6, BINDING_MOAD, ic50, 40, =, nM
2VJ7, VG6, BINDING_DB, NA, NA, NA, NA
2OF0, CMZ, BINDING_MOAD, , , , 
4H1E, 10J, PDB_BIND, Ki, =, 3, nM
4H1E, 10J, BINDING_MOAD, Ki, 3, =, nM
4H1E, 10J, BINDING_MOAD, Ki, 3, =, nM
4H1E, 10J, BINDING_DB, NA, NA, NA, NA
3HVG, EV0, PDB_BIND, IC50, =, 2, mM
3HVG, EV0, BINDING_MOAD, ic50, 2, ~, mM
3HVG, EV0, BINDING_MOAD, ic50, 2, ~, mM
3HVG, EV0, BINDING_MOAD, ic50, 2, ~, mM
3HVG, EV0, BINDING_DB, NA, NA, NA, NA
3VF3, 0GS, PDB_BIND, IC50, =, 1.37, uM
3VF3, 0GS, BINDING_MOAD, ic50, 1.37, =, uM
3VF3, 0GS, BINDING_DB, NA, NA, NA, NA
4DUS, 0MP, BINDING_DB, NA, NA, NA, NA
4FCO, 0U4, BINDING_DB, NA, NA, NA, NA
3CKP, 012, PDB_BIND, Ki, =, 0.449, uM
3CKP, 012, BINDING_MOAD, Ki, 5.001, =, uM
3CKP, 012, BINDING_MOAD, Ki, 5.001, =, uM
3CKP, 012, BINDING_MOAD, Ki, 5.001, =, uM
3CKP, 012, BINDING_DB, NA, NA, NA, NA
4JP9, 1M5, PDB_BIND, IC50, =, 24, nM
4JP9, 1M5, BINDING_MOAD, ic50, 24, =, nM
2XFI, XFI, PDB_BIND, IC50, =, 15, nM
2XFI, XFI, BINDING_MOAD, ic50, 15, =, nM
2XFI, XFI, BINDING_DB, NA, NA, NA, NA
2QMD, CS7, PDB_BIND, IC50, =, 5, nM
2QMD, CS7, BINDING_MOAD, ic50, 5, =, nM
2QMD, CS7, BINDING_MOAD, ic50, 5, =, nM
2QMD, CS7, BINDING_DB, NA, NA, NA, NA
2QMF, CS9, PDB_BIND, IC50, =, 3, nM
2QMF, CS9, BINDING_MOAD, ic50, 3, =, nM
2QMF, CS9, BINDING_MOAD, ic50, 3, =, nM
2QMF, CS9, BINDING_DB, NA, NA, NA, NA
2QMG, SC6, PDB_BIND, Ki, =, 0.7, nM
2QMG, SC6, BINDING_MOAD, Ki, 0.7, =, nM
2QMG, SC6, BINDING_MOAD, Ki, 0.7, =, nM
2QMG, SC6, BINDING_DB, NA, NA, NA, NA
4D85, 0GU, PDB_BIND, IC50, =, 0.14, uM
4D85, 0GU, BINDING_DB, NA, NA, NA, NA
1TQF, 32P, PDB_BIND, IC50, =, 1.4, uM
