PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3PRF, FP3, PDB_BIND, IC50, =, 1.4, nM
3PRF, FP3, BINDING_DB, NA, NA, NA, NA
3IDP, L1E, PDB_BIND, IC50, =, 1.6, nM
3IDP, L1E, BINDING_DB, NA, NA, NA, NA
4EHG, RI9, PDB_BIND, IC50, =, 64, nM
3Q96, 0NF, PDB_BIND, IC50, =, 2.9, nM
3Q96, 0NF, BINDING_DB, NA, NA, NA, NA
3Q4C, RSW, PDB_BIND, IC50, =, 370, nM
4DBN, 0JA, PDB_BIND, IC50, =, 7.0, nM
4KSP, 1SU, PDB_BIND, Kd, =, 1.6, nM
4KSP, 1SU, BINDING_DB, NA, NA, NA, NA
4KSQ, 1SW, PDB_BIND, IC50, =, 49, nM
3II5, 831, PDB_BIND, IC50, =, 0.024, uM
3II5, 831, BINDING_DB, NA, NA, NA, NA
1UWH, BAX, PDB_BIND, IC50, =, 22, nM
1UWH, BAX, BINDING_DB, NA, NA, NA, NA
4H58, 10Z, PDB_BIND, IC50, =, 0.192, uM
3C4C, 324, PDB_BIND, IC50, =, 160, nM
3C4C, 324, BINDING_DB, NA, NA, NA, NA
2FB8, 215, PDB_BIND, Kd, =, 0.16, nM
2FB8, 215, BINDING_DB, NA, NA, NA, NA
3PPK, FNI, PDB_BIND, IC50, =, 1.4, nM
3PPK, FNI, BINDING_DB, NA, NA, NA, NA
4EHE, RI8, PDB_BIND, IC50, =, 3.2, nM
4E26, 734, PDB_BIND, IC50, =, 0.4, uM
4JVG, B96, BINDING_DB, NA, NA, NA, NA
1UWJ, BAX, BINDING_DB, NA, NA, NA, NA
3PPJ, FOI, PDB_BIND, IC50, <, 2, nM
3TV6, B0R, PDB_BIND, IC50, =, 4.8, nM
3PSD, SM7, PDB_BIND, IC50, =, 3, nM
4MBJ, DFS, PDB_BIND, IC50, =, 61, nM
3PSB, SM6, PDB_BIND, IC50, =, 3, nM
3PSB, SM6, BINDING_DB, NA, NA, NA, NA
4E4X, T1Q, PDB_BIND, IC50, =, 7, nM
3TV4, TV4, PDB_BIND, IC50, =, 110, nM
4G9R, B1E, BINDING_DB, NA, NA, NA, NA
4FC0, 0T2, BINDING_DB, NA, NA, NA, NA
3SKC, BR2, PDB_BIND, IC50, =, 1.6, nM
3OG7, 032, PDB_BIND, IC50, =, 31, nM
3OG7, 032, BINDING_MOAD, , , , 
3OG7, 032, BINDING_DB, NA, NA, NA, NA
4G9C, 0WP, PDB_BIND, IC50, =, 2.3, nM

3OG7, 032, BINDING_DB, NA, NA, NA, NA
4G9C, 0WP, PDB_BIND, IC50, =, 2.3, nM
