PDB_ID	Reason
4ZAO	No ligand in pdb
3U7C	No ligand in pdb
1FQN	No ligand in pdb
4Q49	No ligand in pdb
1FQR	No ligand in pdb
3MWO	No ligand in pdb
4HBA	No ligand in pdb
4YVY	No ligand in pdb
3M1Q	No ligand in pdb
3M1W	No ligand in pdb
1LG6	No ligand in pdb
1LG5	No ligand in pdb
1G6V	No ligand in pdb
1LGD	No ligand in pdb
3KKX	No ligand in pdb
5BRW	No ligand in pdb
1TE3	No ligand in pdb
3D92	No ligand in pdb
3D93	No ligand in pdb
1FR7	No ligand in pdb
1ZSA	No ligand in pdb
1ZSC	No ligand in pdb
3U47	No ligand in pdb
1FR4	No ligand in pdb
3U3A	No ligand in pdb
1RZC	No ligand in pdb
1RZB	No ligand in pdb
1RZA	No ligand in pdb
4QK1	No ligand in pdb
4QK2	No ligand in pdb
4QK3	No ligand in pdb
5DSJ	No ligand in pdb
5DSK	No ligand in pdb
5DSI	No ligand in pdb
5DSN	No ligand in pdb
5DSO	No ligand in pdb
5DSL	No ligand in pdb
5DSM	No ligand in pdb
5DSR	No ligand in pdb
4YGN	No ligand in pdb
5DSQ	No ligand in pdb
4YGJ	No ligand in pdb
4YGK	No ligand in pdb
3TVN	No ligand in pdb
3TMJ	No ligand in pdb
5CAC	No ligand in pdb
1RZE	No ligand in pdb
5TI0	No ligand in pdb
1HVA	No ligand in pdb
2OSM	No ligand in pdb
1RAZ	No ligand in pdb
1TH9	No ligand in pdb
4E5Q	No ligand in pdb
1CCU	No ligand in pdb
1CCT	No ligand in pdb
1CCS	No ligand in pdb
1THK	No ligand in pdb
1TEQ	No ligand in pdb
4QEF	No ligand in pdb
4IDR	No ligand in pdb
3RLD	No ligand in pdb
2NXT	No ligand in pdb
2NXR	No ligand in pdb
2NXS	No ligand in pdb
1CNK	No ligand in pdb
1CNH	No ligand in pdb
1CNG	No ligand in pdb
1CNB	No ligand in pdb
1CNC	No ligand in pdb
2ILI	No ligand in pdb
3RG3	No ligand in pdb
1FSQ	No ligand in pdb
1FSR	No ligand in pdb
2FNN	No ligand in pdb
2FNM	No ligand in pdb
2FNK	No ligand in pdb
1UGB	No ligand in pdb
1UGA	No ligand in pdb
1UGG	No ligand in pdb
1UGD	No ligand in pdb
5TH4	No ligand in pdb
1H9Q	No ligand in pdb
3DV7	No ligand in pdb
1H9N	No ligand in pdb
3DVD	No ligand in pdb
3DVC	No ligand in pdb
3DVB	No ligand in pdb
4YGL	No ligand in pdb
5DSP	No ligand in pdb
3S76	No ligand in pdb
3S75	No ligand in pdb
4HEZ	No ligand in pdb
4HEY	No ligand in pdb
4HEW	No ligand in pdb
2CBB	No ligand in pdb
2CBA	No ligand in pdb
1TG3	No ligand in pdb
2CBE	No ligand in pdb
2CBD	No ligand in pdb
2VVB	No ligand in pdb
2VVA	No ligand in pdb
1DCB	No ligand in pdb
1DCA	No ligand in pdb
3MNK	No ligand in pdb
3MNH	No ligand in pdb
3MNI	No ligand in pdb
4L5W	No ligand in pdb
4L5V	No ligand in pdb
4L5U	No ligand in pdb
5UMC	No ligand in pdb
2NWY	No ligand in pdb
2NWZ	No ligand in pdb
1YO2	No ligand in pdb
1YO1	No ligand in pdb
1YO0	No ligand in pdb
2NWP	No ligand in pdb
4K1Q	No ligand in pdb
1T9N	No ligand in pdb
2NWO	No ligand in pdb
4GL1	No ligand in pdb
3U45	No ligand in pdb
1TB0	No ligand in pdb
4Y0J	No ligand in pdb
1XEV	No ligand in pdb
1LZV	No ligand in pdb
3V3J	No ligand in pdb
1TBT	No ligand in pdb
3V3H	No ligand in pdb
3V3I	No ligand in pdb
3V3F	No ligand in pdb
3V3G	No ligand in pdb
1TEU	No ligand in pdb
1H4N	No ligand in pdb
3TVO	No ligand in pdb
1CVF	No ligand in pdb
1CVD	No ligand in pdb
1CVE	No ligand in pdb
1CVB	No ligand in pdb
1CVC	No ligand in pdb
1CVA	No ligand in pdb
1CVH	No ligand in pdb
3KS3	No ligand in pdb
4CAC	No ligand in pdb
1TG9	No ligand in pdb
3RGE	No ligand in pdb
3RG4	No ligand in pdb
3MNJ	No ligand in pdb
1CA2	No ligand in pdb
3DC9	No ligand in pdb
1CAZ	No ligand in pdb
1CAY	No ligand in pdb
1FSN	No ligand in pdb
1CAO	No ligand in pdb
1CAM	No ligand in pdb
1CAL	No ligand in pdb
1CAJ	No ligand in pdb
1CAI	No ligand in pdb
1CAH	No ligand in pdb
1XEG	No ligand in pdb
4HF3	No ligand in pdb
1RAY	No ligand in pdb
5G0B	No ligand in pdb
5G0C	No ligand in pdb
3GZ0	No ligand in pdb
1CAK	No ligand in pdb
4JSW	No ligand in pdb
3M5S	No ligand in pdb
2AX2	No ligand in pdb
1HEC	No ligand in pdb
1RZD	No ligand in pdb
3KON	No ligand in pdb
3KOK	No ligand in pdb
