PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2XYH, TQ9, BINDING_DB, NA, NA, NA, NA
1RE1, NA3, PDB_BIND, IC50, =, 6117, nM
1RE1, NA3, BINDING_DB, NA, NA, NA, NA
1RHJ, PZN, PDB_BIND, IC50, =, 9.17, nM
1RHJ, PZN, BINDING_DB, NA, NA, NA, NA
1RHU, 3CY, PDB_BIND, IC50, =, 3.00, nM
1RHU, 3CY, BINDING_DB, NA, NA, NA, NA
3KJF, B92, PDB_BIND, Ki, =, 13.4, uM
1RHR, CNE, PDB_BIND, IC50, =, 7.95, nM
1RHR, CNE, BINDING_DB, NA, NA, NA, NA
1GFW, MSI, PDB_BIND, Ki, =, 15, nM
1GFW, MSI, BINDING_DB, NA, NA, NA, NA
1NME, 159, BINDING_MOAD, , , , 
1RHM, NA4, PDB_BIND, IC50, =, 1735, nM
1RHM, NA4, BINDING_DB, NA, NA, NA, NA
1RHK, FPR, BINDING_DB, NA, NA, NA, NA
