PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3RNI, 21Z, PDB_BIND, IC50, =, 6.7, uM
3S00, Z60, PDB_BIND, IC50, =, 12, uM
1FQ1, ATP, BINDING_DB, NA, NA, NA, NA
3S0O, 50Z, PDB_BIND, IC50, =, 33, uM
3DOG, NNN, PDB_BIND, IC50, =, 0.04, uM
3DOG, NNN, BINDING_DB, NA, NA, NA, NA
1PF8, SU9, PDB_BIND, Ki, =, 0.031, uM
1PF8, SU9, BINDING_DB, NA, NA, NA, NA
2A0C, CK9, PDB_BIND, IC50, =, 50, nM
2A0C, CK9, BINDING_MOAD, , , , 
2A0C, CK9, BINDING_DB, NA, NA, NA, NA
2BHE, BRY, BINDING_MOAD, ic50, 1, =, uM
2BHE, BRY, BINDING_DB, NA, NA, NA, NA
3TNW, F18, BINDING_MOAD, , , , 
3TNW, F18, BINDING_MOAD, , , , 
3TNW, F18, BINDING_DB, NA, NA, NA, NA
2WXV, WXV, PDB_BIND, IC50, =, 2, nM
1GZ8, MBP, BINDING_MOAD, , , , 
2V0D, C53, BINDING_MOAD, , , , 
3QU0, X40, PDB_BIND, IC50, =, 0.02, uM
2DS1, 1CD, PDB_BIND, IC50, =, 3.4, nM
2DS1, 1CD, BINDING_MOAD, ic50, 6.4, =, nM
2DS1, 1CD, BINDING_DB, NA, NA, NA, NA
3F5X, EZV, BINDING_MOAD, ic50, 1040, =, nM
3F5X, EZV, BINDING_MOAD, ic50, 1040, =, nM
2C5X, MTW, PDB_BIND, IC50, =, 0.25, uM
2C5Y, MTW, PDB_BIND, IC50, =, 0.25, uM
2C5Y, MTW, BINDING_MOAD, ic50, 0.25, =, uM
2C5V, CK4, BINDING_DB, NA, NA, NA, NA
2C5N, CK8, PDB_BIND, IC50, =, 0.22, uM
2C5N, CK8, BINDING_MOAD, ic50, 0.22, =, uM
2C5N, CK8, BINDING_MOAD, ic50, 0.22, =, uM
2C5N, CK8, BINDING_DB, NA, NA, NA, NA
2UUE, MTZ, PDB_BIND, IC50, =, 0.74, uM
2UUE, MTZ, BINDING_MOAD, , , , 
2UUE, MTZ, BINDING_MOAD, , , , 
2VTP, LZ9, PDB_BIND, IC50, =, 3, nM
2VTP, LZ9, BINDING_MOAD, ic50, 0.003, =, uM
2VTP, LZ9, BINDING_DB, NA, NA, NA, NA
2VTQ, LZA, PDB_BIND, IC50, =, 140, nM
2VTQ, LZA, BINDING_MOAD, ic50, 0.14, =, uM
2VTQ, LZA, BINDING_DB, NA, NA, NA, NA
2VTR, LZB, PDB_BIND, IC50, =, 1.5, uM
2VTR, LZB, BINDING_MOAD, ic50, 1.5, =, uM
2VTR, LZB, BINDING_DB, NA, NA, NA, NA
2VTS, LZC, PDB_BIND, IC50, =, 30, nM
2VTS, LZC, BINDING_MOAD, ic50, 0.03, =, uM
2VTS, LZC, BINDING_DB, NA, NA, NA, NA
2VTT, LZD, PDB_BIND, IC50, =, 44, nM
2VTT, LZD, BINDING_MOAD, ic50, 0.044, =, uM
2VTT, LZD, BINDING_DB, NA, NA, NA, NA
2B55, D31, PDB_BIND, IC50, =, 96, nM
2B55, D31, BINDING_MOAD, ic50, 96, =, nM
2B55, D31, BINDING_DB, NA, NA, NA, NA
2VTH, LZ2, PDB_BIND, IC50, =, 120, uM
2VTH, LZ2, BINDING_MOAD, ic50, 120, =, uM
2VTH, LZ2, BINDING_DB, NA, NA, NA, NA
2VTI, LZ3, PDB_BIND, IC50, =, 660, nM
2VTI, LZ3, BINDING_MOAD, ic50, 0.66, =, uM
2VTI, LZ3, BINDING_DB, NA, NA, NA, NA
2VTJ, LZ4, PDB_BIND, IC50, =, 1.9, uM
2VTJ, LZ4, BINDING_MOAD, ic50, 1.9, =, uM
2VTJ, LZ4, BINDING_DB, NA, NA, NA, NA
2VTL, LZ5, PDB_BIND, IC50, =, 97, uM
2VTL, LZ5, BINDING_MOAD, ic50, 97, =, uM
2VTL, LZ5, BINDING_DB, NA, NA, NA, NA
3ULI, 1N3, PDB_BIND, IC50, =, 70, nM
3ULI, 1N3, BINDING_MOAD, ic50, 0.07, =, uM
3ULI, 1N3, BINDING_DB, NA, NA, NA, NA
2VTN, LZ7, PDB_BIND, IC50, =, 850, nM
2VTN, LZ7, BINDING_MOAD, ic50, 0.85, =, uM
2VTN, LZ7, BINDING_DB, NA, NA, NA, NA
2VTO, LZ8, PDB_BIND, IC50, =, 140, nM
2VTO, LZ8, BINDING_MOAD, ic50, 0.14, =, uM
2VTO, LZ8, BINDING_DB, NA, NA, NA, NA
2WEV, CK7, PDB_BIND, IC50, =, 0.01, uM
2WEV, CK7, BINDING_MOAD, , , , 
2WEV, CK7, BINDING_MOAD, , , , 
2WEV, CK7, BINDING_DB, NA, NA, NA, NA
3EZV, EZV, PDB_BIND, IC50, =, 1.04, uM
3EZV, EZV, BINDING_MOAD, , , , 
3EZR, EZR, PDB_BIND, IC50, =, 10, uM
3EZR, EZR, BINDING_MOAD, , , , 
3EZR, EZR, BINDING_MOAD, , , , 
3EZR, EZR, BINDING_DB, NA, NA, NA, NA
1OI9, N20, PDB_BIND, IC50, =, 69, nM
1OI9, N20, BINDING_MOAD, ic50, 69, =, nM
1OI9, N20, BINDING_MOAD, ic50, 69, =, nM
1OI9, N20, BINDING_DB, NA, NA, NA, NA
2R3H, SCE, PDB_BIND, IC50, =, 20, uM
2R3H, SCE, BINDING_MOAD, ic50, 20000, =, nM
1OIR, HDY, PDB_BIND, IC50, =, 0.032, uM
1OIR, HDY, BINDING_MOAD, ic50, 0.032, =, uM
1OIR, HDY, BINDING_DB, NA, NA, NA, NA
1OIQ, HDU, PDB_BIND, IC50, =, 2.9, uM
1OIQ, HDU, BINDING_MOAD, ic50, 2.9, =, uM
1OIQ, HDU, BINDING_DB, NA, NA, NA, NA
3RMF, 20Z, PDB_BIND, IC50, =, 82, uM
1OIT, HDT, PDB_BIND, IC50, <, 0.003, uM
1OIT, HDT, BINDING_MOAD, ic50, 0.003, <, uM
1OIT, HDT, BINDING_DB, NA, NA, NA, NA
1OIY, N41, PDB_BIND, IC50, =, 64, nM
1OIY, N41, BINDING_MOAD, ic50, 64, ~, nM
1OIY, N41, BINDING_MOAD, ic50, 64, ~, nM
1OIY, N41, BINDING_DB, NA, NA, NA, NA
1DM2, HMD, PDB_BIND, IC50, =, 70, nM
1DM2, HMD, BINDING_MOAD, , , , 
4BCO, T6Q, PDB_BIND, Ki, =, 0.131, uM
4BCO, T6Q, BINDING_MOAD, Ki, 0.131, =, uM
4BCO, T6Q, BINDING_MOAD, Ki, 0.131, =, uM
4BCO, T6Q, BINDING_DB, NA, NA, NA, NA
4BCN, T9N, PDB_BIND, Ki, =, 12, nM
4BCN, T9N, BINDING_MOAD, Ki, 0.012, =, uM
4BCN, T9N, BINDING_MOAD, Ki, 0.012, =, uM
4BCN, T9N, BINDING_DB, NA, NA, NA, NA
