PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2V0M, KLN, BINDING_DB, NA, NA, NA, NA
4I4G, Z8Z, BINDING_DB, NA, NA, NA, NA
4K9T, 1RD, BINDING_MOAD, ic50, 15, =, uM
4K9T, 1RD, BINDING_MOAD, ic50, 15, =, uM
4K9T, 1RD, BINDING_DB, NA, NA, NA, NA
4K9V, 6AW, BINDING_DB, NA, NA, NA, NA
4K9W, 7AW, BINDING_MOAD, ic50, 2.8, =, uM
4K9W, 7AW, BINDING_MOAD, ic50, 2.8, =, uM
4K9W, 7AW, BINDING_MOAD, ic50, 2.8, =, uM
4K9W, 7AW, BINDING_MOAD, ic50, 2.8, =, uM
4K9W, 7AW, BINDING_DB, NA, NA, NA, NA
4K9X, 8AW, BINDING_DB, NA, NA, NA, NA
2J0D, ERY, BINDING_DB, NA, NA, NA, NA
3UA1, 08Y, BINDING_MOAD, Kd, 0.37, =, uM
3UA1, 08Y, BINDING_DB, NA, NA, NA, NA
1W0F, STR, BINDING_DB, NA, NA, NA, NA
1W0G, MYT, BINDING_DB, NA, NA, NA, NA
INDING_DB, NA, NA, NA, NA
1W0F, STR, BINDING_DB, NA, NA, NA, NA
1W0G, MYT, BINDING_DB, NA, NA, NA, NA
