PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3KRL, KRL, PDB_BIND, IC50, =, 0.8, nM
3KRL, KRL, BINDING_MOAD, ic50, 0.8, =, nM
3KRL, KRL, BINDING_DB, NA, NA, NA, NA
2I1M, 5CN, PDB_BIND, IC50, =, 24, nM
2I1M, 5CN, BINDING_MOAD, , , , 
2I1M, 5CN, BINDING_DB, NA, NA, NA, NA
4HW7, 64M, PDB_BIND, IC50, =, 0.062, uM
3LCD, BDY, PDB_BIND, IC50, =, 40, nM
3LCD, BDY, BINDING_MOAD, ic50, 40, =, nM
2I0V, 6C3, PDB_BIND, IC50, =, 160, nM
2I0V, 6C3, BINDING_DB, NA, NA, NA, NA
3BEA, IXH, PDB_BIND, IC50, =, 0.007, uM
3BEA, IXH, BINDING_MOAD, ic50, 0.003, =, uM
3DPK, 8C5, PDB_BIND, IC50, =, 4.1, nM
3DPK, 8C5, BINDING_MOAD, ic50, 4.1, =, nM
2I0Y, 5CN, PDB_BIND, IC50, =, 24, nM
2I0Y, 5CN, BINDING_MOAD, , , , 
2I0Y, 5CN, BINDING_DB, NA, NA, NA, NA
3LCO, LC0, PDB_BIND, IC50, =, 143, nM
3LCO, LC0, BINDING_DB, NA, NA, NA, NA
 
2I0Y, 5CN, BINDING_DB, NA, NA, NA, NA
3LCO, LC0, PDB_BIND, IC50, =, 143, nM
3LCO, LC0, BINDING_DB, NA, NA, NA, NA
