PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1lru, BB2, BINDING_MOAD, , , , 
1lru, BB2, BINDING_MOAD, , , , 
1lru, BB2, BINDING_MOAD, , , , 
1lru, BB2, BINDING_DB, NA, NA, NA, NA
2AI8, SB7, PDB_BIND, IC50, =, 0.16, uM
2AI8, SB7, BINDING_MOAD, ic50, 0.16, =, uM
2AI8, SB7, BINDING_MOAD, ic50, 0.16, =, uM
2AI8, SB7, BINDING_MOAD, ic50, 0.16, =, uM
2AI8, SB7, BINDING_DB, NA, NA, NA, NA
1G27, BB1, PDB_BIND, IC50, =, 7, nM
1G27, BB1, BINDING_MOAD, ic50, 7, =, nM
1G27, BB1, BINDING_MOAD, ic50, 7, =, nM
1G27, BB1, BINDING_MOAD, ic50, 7, =, nM
1G27, BB1, BINDING_DB, NA, NA, NA, NA
1BSK, MLN, PDB_BIND, Ki, =, 76, uM
1G2A, BB2, PDB_BIND, IC50, =, 10, nM
1G2A, BB2, BINDING_MOAD, ic50, 10, =, nM
1G2A, BB2, BINDING_MOAD, ic50, 10, =, nM
1G2A, BB2, BINDING_MOAD, ic50, 10, =, nM
1G2A, BB2, BINDING_DB, NA, NA, NA, NA
