PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2ONC, SY1, PDB_BIND, IC50, =, 13, nM
2ONC, SY1, BINDING_DB, NA, NA, NA, NA
2QJR, PZF, BINDING_MOAD, ic50, 6.4, =, nM
2QJR, PZF, BINDING_MOAD, ic50, 6.4, =, nM
2QJR, PZF, BINDING_DB, NA, NA, NA, NA
2I03, AXD, PDB_BIND, Ki, =, 1.0, nM
2HHA, 3TP, PDB_BIND, IC50, =, 0.122, uM
2HHA, 3TP, BINDING_MOAD, ic50, 0.122, =, uM
2HHA, 3TP, BINDING_MOAD, ic50, 0.122, =, uM
2HHA, 3TP, BINDING_DB, NA, NA, NA, NA
4LKO, 1WH, PDB_BIND, Ki, =, 6.0, nM
4LKO, 1WH, BINDING_MOAD, Ki, 8.3, =, nM
4LKO, 1WH, BINDING_MOAD, Ki, 8.3, =, nM
1U8E, FUC, BINDING_DB, NA, NA, NA, NA
2QKY, 13Z, PDB_BIND, Kd, =, 0.247, nM
3H0C, PS4, BINDING_DB, NA, NA, NA, NA
2OPH, 277, PDB_BIND, IC50, =, 16, nM
2OPH, 277, BINDING_MOAD, ic50, 0.016, =, uM
2OPH, 277, BINDING_MOAD, ic50, 0.016, =, uM
2OPH, 277, BINDING_DB, NA, NA, NA, NA
3D4L, 605, PDB_BIND, IC50, =, 32, nM
3D4L, 605, BINDING_MOAD, ic50, 32, =, nM
3D4L, 605, BINDING_MOAD, ic50, 32, =, nM
3D4L, 605, BINDING_DB, NA, NA, NA, NA
3SX4, KXA, PDB_BIND, Ki, =, 3, nM
1RWQ, 5AP, PDB_BIND, IC50, =, 0.1, nM
1RWQ, 5AP, BINDING_MOAD, ic50, 0.0001, =, uM
1RWQ, 5AP, BINDING_MOAD, ic50, 0.0001, =, uM
1RWQ, 5AP, BINDING_DB, NA, NA, NA, NA
4JH0, 1MD, PDB_BIND, Ki, =, 0.94, nM
4JH0, 1MD, BINDING_MOAD, Ki, 0.94, =, nM
4JH0, 1MD, BINDING_MOAD, Ki, 0.94, =, nM
2G63, AAF, PDB_BIND, Ki, =, 6.7, nM
2OGZ, U1N, PDB_BIND, IC50, =, 84, nM
2OGZ, U1N, BINDING_MOAD, ic50, 84, =, nM
2OGZ, U1N, BINDING_MOAD, ic50, 84, =, nM
2OGZ, U1N, BINDING_DB, NA, NA, NA, NA
3W2T, LF7, PDB_BIND, IC50, =, 29.2, nM
3W2T, LF7, BINDING_DB, NA, NA, NA, NA
2OLE, KR2, PDB_BIND, Ki, =, 56.2, nM
2OLE, KR2, BINDING_MOAD, ic50, 70, =, nM
2OLE, KR2, BINDING_MOAD, ic50, 70, =, nM
2OLE, KR2, BINDING_DB, NA, NA, NA, NA
1R9M, FUC, BINDING_DB, NA, NA, NA, NA
3Q0T, LGE, BINDING_DB, NA, NA, NA, NA
3Q8W, AZV, BINDING_DB, NA, NA, NA, NA
2QT9, 524, PDB_BIND, IC50, =, 2.3, nM
2QT9, 524, BINDING_MOAD, ic50, 0.0023, =, uM
2QT9, 524, BINDING_MOAD, ic50, 0.0023, =, uM
2QT9, 524, BINDING_DB, NA, NA, NA, NA
2G5T, ACF, PDB_BIND, Ki, =, 0.82, nM
2QTB, 474, PDB_BIND, IC50, =, 4.8, nM
2QTB, 474, BINDING_MOAD, ic50, 4.8, =, nM
2QTB, 474, BINDING_MOAD, ic50, 4.8, =, nM
2QTB, 474, BINDING_DB, NA, NA, NA, NA
2G5P, ADF, PDB_BIND, Ki, =, 3.8, nM
3KWF, B1Q, PDB_BIND, IC50, =, 6.8, nM
3KWF, B1Q, BINDING_MOAD, ic50, 6.8, =, nM
3KWF, B1Q, BINDING_MOAD, ic50, 6.8, =, nM
3KWF, B1Q, BINDING_DB, NA, NA, NA, NA
3F8S, PF2, PDB_BIND, IC50, =, 13, nM
3F8S, PF2, BINDING_MOAD, ic50, 12.9, =, nM
3F8S, PF2, BINDING_MOAD, ic50, 12.9, =, nM
3F8S, PF2, BINDING_DB, NA, NA, NA, NA
2AJL, JNH, PDB_BIND, Ki, =, 0.013, uM
2IIT, 872, PDB_BIND, IC50, =, 2.6, nM
2IIT, 872, BINDING_MOAD, ic50, 2.6, =, nM
2IIT, 872, BINDING_MOAD, ic50, 2.6, =, nM
2IIT, 872, BINDING_DB, NA, NA, NA, NA
2IIV, 565, PDB_BIND, IC50, =, 6.6, nM
2IIV, 565, BINDING_MOAD, ic50, 6.6, =, nM
2IIV, 565, BINDING_MOAD, ic50, 6.6, =, nM
2IIV, 565, BINDING_DB, NA, NA, NA, NA
2BUB, FPB, PDB_BIND, IC50, =, 90, nM
2BUB, FPB, BINDING_DB, NA, NA, NA, NA
1WCY, FUC, BINDING_DB, NA, NA, NA, NA
3G0B, T22, PDB_BIND, IC50, =, 7, nM
3G0B, T22, BINDING_MOAD, ic50, 0.007, =, uM
3G0B, T22, BINDING_MOAD, ic50, 0.007, =, uM
3G0B, T22, BINDING_MOAD, ic50, 0.007, =, uM
3G0B, T22, BINDING_MOAD, ic50, 0.007, =, uM
3G0B, T22, BINDING_DB, NA, NA, NA, NA
3G0C, RUF, PDB_BIND, IC50, =, 2, uM
2FJP, S14, PDB_BIND, IC50, =, 4.3, nM
2FJP, S14, BINDING_MOAD, ic50, 4.3, =, nM
2FJP, S14, BINDING_MOAD, ic50, 4.3, =, nM
2FJP, S14, BINDING_DB, NA, NA, NA, NA
3G0G, RUM, PDB_BIND, IC50, =, 5, nM
3G0G, RUM, BINDING_MOAD, ic50, 0.005, =, uM
3G0G, RUM, BINDING_MOAD, ic50, 0.005, =, uM
3G0G, RUM, BINDING_MOAD, ic50, 0.005, =, uM
3G0G, RUM, BINDING_MOAD, ic50, 0.005, =, uM
3G0G, RUM, BINDING_DB, NA, NA, NA, NA
3G0D, XIH, PDB_BIND, IC50, =, 5, nM
3G0D, XIH, BINDING_MOAD, ic50, 5, ~, nM
3G0D, XIH, BINDING_MOAD, ic50, 5, ~, nM
3G0D, XIH, BINDING_MOAD, ic50, 5, ~, nM
3G0D, XIH, BINDING_MOAD, ic50, 5, ~, nM
3G0D, XIH, BINDING_DB, NA, NA, NA, NA
3O95, 01T, PDB_BIND, IC50, =, 5.3, nM
3O95, 01T, BINDING_DB, NA, NA, NA, NA
1TKR, FUC, BINDING_DB, NA, NA, NA, NA
3BJM, BJM, PDB_BIND, Kd, =, 5, nM
3BJM, BJM, BINDING_DB, NA, NA, NA, NA
3CCC, 7AC, PDB_BIND, IC50, =, 8, nM
