PDB_ID	LIG_ID
2I78	lig
1N1M	A3M
1RWQ	5AP
1TKR	DFP
1X70	715
2AJL	JNH
2BUB	FPB
2FJP	S14
2G5P	ADF
2G5T	ACF
2HHA	3TP
2IIT	872
2IIV	565
2JID	GVB
2OGZ	U1N
2OLE	KR2
2ONC	SY1
2OPH	277
2OQV	MA9
2P8S	417
2QJR	PZF
2QKY	13Z
2QOE	448
2QT9	524
2QTB	474
2RGU	356
2RIP	34Q
3BJM	BJM
3C43	315
3C45	317
3CCB	B2Y
3CCC	7AC
3D4L	605
3EIO	AJH
3F8S	PF2
3G0B	T22
3G0C	RUF
3G0D	XIH
3G0G	RUM
3H0C	PS4
3HAB	677
3HAC	361
3KWF	B1Q
3KWJ	23Q
3NOX	6A5
3O95	01T
3O9V	10T
3OC0	B2Q
3OPM	LUI
3Q0T	LGE
3Q8W	AZV
3QBJ	NXZ
3SWW	KXB
3SX4	KXA
3VJK	M51
3VJL	W94
3VJM	W61
3W2T	LF7
3WQH	SKK
4A5S	N7F
4DSA	D1C
4DSZ	DC3
4DTC	D5C
4G1F	0WG
4J3J	D3C
4JH0	1MD
4LKO	1WH
4N8D	2KS
4N8E	2KV
4PNZ	2VH
4PV7	CJP
5I7U	6AJ
5ISM	6DG
5J3J	HL1
5KBY	6RL
5T4B	75N
5T4E	75L
5T4F	75M
5T4H	75J
6B1E	LF7
6B1O	C8S
