PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4M6K, FOL, BINDING_MOAD, , , , 
4M6K, FOL, BINDING_DB, NA, NA, NA, NA
4M6K, NAP, BINDING_MOAD, , , , 
4M6J, NDP, BINDING_MOAD, , , , 
3NXV, D2F, BINDING_MOAD, , , , 
3NXV, D2F, BINDING_DB, NA, NA, NA, NA
3NXV, NDP, BINDING_MOAD, , , , 
3NXR, D2D, BINDING_MOAD, Ki, 11, =, uM
3NXR, D2D, BINDING_DB, NA, NA, NA, NA
3NXR, NDP, BINDING_MOAD, , , , 
1S3U, TQD, BINDING_MOAD, , , , 
4G95, OAG, BINDING_DB, NA, NA, NA, NA
3NXY, D2H, BINDING_MOAD, , , , 
3NXY, NDP, BINDING_MOAD, , , , 
3NXX, D2D, BINDING_MOAD, Ki, 11, =, uM
3NXX, D2D, BINDING_MOAD, Ki, 11, =, uM
3NXX, D2D, BINDING_DB, NA, NA, NA, NA
3NXX, NDP, BINDING_MOAD, , , , 
1HFQ, MOT, BINDING_MOAD, Ki, 2.7, =, nM
1HFQ, MOT, BINDING_DB, NA, NA, NA, NA
1HFP, MOT, BINDING_MOAD, Ki, 1036, =, nM
1HFP, MOT, BINDING_DB, NA, NA, NA, NA
4KAK, 06U, BINDING_MOAD, ic50, 1300, =, nM
4KAK, 06U, BINDING_MOAD, ic50, 1300, =, nM
4KAK, NDP, BINDING_MOAD, , , , 
4KAK, NDP, BINDING_MOAD, , , , 
3S3V, TOP, PDB_BIND, Ki, =, 593, nM
3S3V, TOP, BINDING_MOAD, Ki, 593, =, nM
3S3V, TOP, BINDING_MOAD, Ki, 593, =, nM
3S3V, TOP, BINDING_DB, NA, NA, NA, NA
1S3V, TQD, BINDING_MOAD, , , , 
2W3M, FOL, BINDING_DB, NA, NA, NA, NA
1KMS, LIH, BINDING_MOAD, , , , 
1KMS, LIH, BINDING_DB, NA, NA, NA, NA
1KMS, NDP, BINDING_MOAD, , , , 
1U72, MTX, BINDING_MOAD, Kd, 0.0034, =, nM
1U72, MTX, BINDING_DB, NA, NA, NA, NA
1U72, NDP, BINDING_MOAD, , , , 
1U71, MXA, PDB_BIND, Ki, =, 33, nM
1U71, MXA, BINDING_MOAD, , , , 
1U71, MXA, BINDING_DB, NA, NA, NA, NA
1OHK, COP, BINDING_DB, NA, NA, NA, NA
1OHK, NDP, BINDING_MOAD, , , , 
1KMV, LII, PDB_BIND, IC50, =, 112, nM
1KMV, LII, BINDING_MOAD, , , , 
1KMV, NDP, BINDING_MOAD, , , , 
4KBN, 25U, BINDING_MOAD, ic50, 330, =, nM
4KBN, 25U, BINDING_MOAD, ic50, 330, =, nM
4KBN, NDP, BINDING_MOAD, , , , 
4KBN, NDP, BINDING_MOAD, , , , 
3GHC, GHC, BINDING_MOAD, , , , 
3GHC, GHC, BINDING_DB, NA, NA, NA, NA
3GHC, NDP, BINDING_MOAD, , , , 
1DRF, FOL, BINDING_MOAD, Kd, 0.111, =, uM
1DRF, FOL, BINDING_DB, NA, NA, NA, NA
3NXT, D2E, BINDING_MOAD, , , , 
3NXT, NDP, BINDING_MOAD, , , , 
3L3R, OAG, BINDING_DB, NA, NA, NA, NA
3NZD, D2Q, BINDING_MOAD, , , , 
3NZD, NDP, BINDING_MOAD, , , , 
2C2S, 34B, BINDING_MOAD, ic50, 0.15, =, uM
2C2S, 34B, BINDING_MOAD, ic50, 0.15, =, uM
2C2S, NDP, BINDING_MOAD, , , , 
2C2S, NDP, BINDING_MOAD, , , , 
4DDR, MMV, BINDING_MOAD, Ki, 2841, =, nM
4DDR, NDP, BINDING_MOAD, , , , 
1MVS, DTM, BINDING_MOAD, , , , 
1MVS, DTM, BINDING_DB, NA, NA, NA, NA
4M6L, 21V, BINDING_MOAD, , , , 
4M6L, NAP, BINDING_MOAD, , , , 
2C2T, 39B, BINDING_MOAD, ic50, 15, =, uM
2C2T, 39B, BINDING_MOAD, ic50, 15, =, uM
2C2T, 39E, BINDING_MOAD, ic50, 15, =, uM
