PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2JIU, AEE, PDB_BIND, Kd, =, 27.6, nM
2JIU, AEE, BINDING_DB, NA, NA, NA, NA
2GS7, ANP, BINDING_DB, NA, NA, NA, NA
4G5J, 0WM, BINDING_DB, NA, NA, NA, NA
4HJO, AQ4, BINDING_DB, NA, NA, NA, NA
4LL0, YUN, BINDING_DB, NA, NA, NA, NA
4JQ8, KJ8, PDB_BIND, IC50, =, 8, nM
4JQ8, KJ8, BINDING_DB, NA, NA, NA, NA
2EB3, ANP, BINDING_DB, NA, NA, NA, NA
4JQ7, KJQ, PDB_BIND, IC50, =, 393, nM
4JQ7, KJQ, BINDING_DB, NA, NA, NA, NA
3GT8, ANP, BINDING_DB, NA, NA, NA, NA
2J6M, AEE, PDB_BIND, Kd, =, 10.9, nM
2J6M, AEE, BINDING_DB, NA, NA, NA, NA
4I22, IRE, BINDING_MOAD, , , , 
4I22, IRE, BINDING_DB, NA, NA, NA, NA
2J5F, DJK, BINDING_DB, NA, NA, NA, NA
3W2O, 03P, PDB_BIND, IC50, =, 8400, nM
3W2O, 03P, BINDING_DB, NA, NA, NA, NA
3IKA, 0UN, PDB_BIND, IC50, =, 14, nM
3IKA, 0UN, BINDING_DB, NA, NA, NA, NA
3VJN, ANP, BINDING_MOAD, , , , 
3W2P, W2P, PDB_BIND, IC50, =, 8100, nM
3W2Q, HKI, PDB_BIND, IC50, =, 66, nM
3W2R, W2R, PDB_BIND, IC50, =, 19, nM
3W2R, W2R, BINDING_DB, NA, NA, NA, NA
3W2S, W2R, PDB_BIND, IC50, =, 6.9, nM
3W2S, W2R, BINDING_DB, NA, NA, NA, NA
1XKK, FMM, PDB_BIND, Ki, =, 3, nM
1XKK, FMM, BINDING_MOAD, Ki, 3, =, nM
1XKK, FMM, BINDING_DB, NA, NA, NA, NA
3BEL, POX, PDB_BIND, IC50, =, 0.014, uM
3BEL, POX, BINDING_MOAD, ic50, 0.014, =, uM
3BEL, POX, BINDING_DB, NA, NA, NA, NA
3UG2, IRE, PDB_BIND, Kd, =, 5.6, nM
3UG2, IRE, BINDING_MOAD, Kd, 5.6, =, nM
3UG2, IRE, BINDING_DB, NA, NA, NA, NA
2ITZ, IRE, PDB_BIND, Kd, =, 2.6, nM
2ITZ, IRE, BINDING_DB, NA, NA, NA, NA
2ITY, IRE, PDB_BIND, Kd, =, 53.5, nM
2ITY, IRE, BINDING_DB, NA, NA, NA, NA
2ITX, ANP, BINDING_DB, NA, NA, NA, NA
2ITV, ANP, BINDING_MOAD, , , , 
2ITV, ANP, BINDING_DB, NA, NA, NA, NA
2ITT, AEE, PDB_BIND, Kd, =, 1.7, nM
2ITT, AEE, BINDING_DB, NA, NA, NA, NA
2ITP, AEE, PDB_BIND, Kd, =, 11.3, nM
2ITP, AEE, BINDING_DB, NA, NA, NA, NA
2ITO, IRE, PDB_BIND, Kd, =, 123.6, nM
2ITO, IRE, BINDING_DB, NA, NA, NA, NA
2ITN, ANP, BINDING_MOAD, , , , 
2ITN, ANP, BINDING_DB, NA, NA, NA, NA
4JRV, KJV, PDB_BIND, IC50, =, 29, nM
4JRV, KJV, BINDING_DB, NA, NA, NA, NA
4LRM, YUN, BINDING_DB, NA, NA, NA, NA
1M17, AQ4, BINDING_DB, NA, NA, NA, NA
3W33, W19, PDB_BIND, IC50, =, 36, nM
3W33, W19, BINDING_MOAD, ic50, 36, =, nM
3W33, W19, BINDING_DB, NA, NA, NA, NA
3W32, W32, PDB_BIND, IC50, =, 75, nM
3W32, W32, BINDING_MOAD, ic50, 75, =, nM
3W32, W32, BINDING_DB, NA, NA, NA, NA
4JR3, KJR, PDB_BIND, IC50, =, 218, nM
4JR3, KJR, BINDING_DB, NA, NA, NA, NA
4LI5, 1WY, PDB_BIND, IC50, =, 0.55, uM
3POZ, 03P, PDB_BIND, IC50, =, 23, nM
3POZ, 03P, BINDING_MOAD, ic50, 23, =, nM
3POZ, 03P, BINDING_DB, NA, NA, NA, NA
4LQM, DJK, BINDING_DB, NA, NA, NA, NA
, nM
3POZ, 03P, BINDING_DB, NA, NA, NA, NA
4LQM, DJK, BINDING_DB, NA, NA, NA, NA
