PDB_ID	LIG_ID
2RGP	lig
1M17	AQ4
2EB3	ANP
2GS6	112
2GS7	ANP
2ITN	ANP
2ITO	IRE
2ITP	AEE
2ITQ	ITQ
2ITT	AEE
2ITU	ITQ
2ITV	ANP
2ITW	ITQ
2ITX	ANP
2ITY	IRE
2ITZ	IRE
2J5F	DJK
2J6M	AEE
2JIU	AEE
2JIV	HKI
3BEL	POX
3IKA	0UN
3POZ	03P
3UG2	IRE
3VJN	ANP
3VJO	ANP
3W2O	03P
3W2P	W2P
3W2Q	HKI
3W2R	W2R
3W2S	W2R
3W32	W32
3W33	W19
4G5J	0WN
4G5P	0WN
4HJO	AQ4
4I22	IRE
4I23	1C9
4I24	1C9
4JQ7	KJQ
4JQ8	KJ8
4JR3	KJR
4JRV	KJV
4LI5	1WY
4LL0	YUN
4LQM	DJK
4LRM	YUN
4R5S	FI3
4RIW	ANP
4RIX	ANP
4RIY	ANP
4RJ4	3QW
4RJ5	3QY
4RJ6	3R0
4RJ7	3R1
4RJ8	3QS
4WD5	3LH
4WKQ	IRE
4ZAU	YY3
4ZSE	ANP
5C8K	4YV
5C8M	4YW
5C8N	4YX
5CAL	4Z8
5CAN	4ZB
5CAO	4ZG
5CAP	4ZH
5CAQ	4ZJ
5CAS	4ZQ
5CAU	4ZR
5CAV	4ZQ
5CNN	ANP
5CNO	ANP
5EDQ	5N3
5EDR	5N4
5EM5	5Q2
5EM6	5Q3
5EM7	5Q4
5EM8	5Q4
5FED	5X4
5FEE	5X4
5FEQ	5XH
5GMP	F62
5GTY	816
5HCX	60B
5HCY	60D
5HCZ	60E
5HG5	633
5HG7	630
5HG8	634
5HG9	63A
5HIB	63M
5HIC	63N
5J9Y	6HL
5J9Z	6HJ
5JEB	6JS
5U8L	O44
5UG9	8AM
5UGA	8BM
5UGB	8BM
5UGC	8BS
5UWD	8OV
5XGM	85X
5XGN	85X
