PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1XQC, AEJ, PDB_BIND, IC50, =, 63, nM
1XQC, AEJ, BINDING_MOAD, ic50, 63, =, nM
1XQC, AEJ, BINDING_MOAD, ic50, 63, =, nM
1XQC, AEJ, BINDING_MOAD, ic50, 63, =, nM
1XQC, AEJ, BINDING_MOAD, ic50, 63, =, nM
1XQC, AEJ, BINDING_DB, NA, NA, NA, NA
2FAI, 459, PDB_BIND, Ki, =, 570, nM
2FAI, 459, BINDING_MOAD, Ki, 570, =, nM
2FAI, 459, BINDING_MOAD, Ki, 570, =, nM
2QR9, HZ3, BINDING_MOAD, , , , 
2QR9, HZ3, BINDING_MOAD, , , , 
2YJA, EST, BINDING_MOAD, , , , 
2YJA, EST, BINDING_DB, NA, NA, NA, NA
2R6Y, LLC, PDB_BIND, Ki, =, 0.32, nM
2R6Y, LLC, BINDING_MOAD, Ki, 0.32, =, nM
2R6Y, LLC, BINDING_MOAD, Ki, 0.32, =, nM
2R6W, LLB, PDB_BIND, Ki, =, 0.44, nM
2R6W, LLB, BINDING_MOAD, Ki, 0.44, =, nM
2R6W, LLB, BINDING_MOAD, Ki, 0.44, =, nM
2QE4, JJ3, PDB_BIND, Ki, =, 11.0, nM
2QE4, JJ3, BINDING_MOAD, Ki, 0.28, =, nM
2QE4, JJ3, BINDING_MOAD, Ki, 0.28, =, nM
2QE4, JJ3, BINDING_DB, NA, NA, NA, NA
1GWR, EST, BINDING_MOAD, , , , 
1GWR, EST, BINDING_MOAD, , , , 
1GWR, EST, BINDING_DB, NA, NA, NA, NA
1YIN, CM3, BINDING_MOAD, ic50, 1.4, =, nM
1YIN, CM3, BINDING_DB, NA, NA, NA, NA
2QZO, KN1, BINDING_MOAD, , , , 
2QZO, KN1, BINDING_MOAD, , , , 
2QZO, KN1, BINDING_DB, NA, NA, NA, NA
1G50, EST, PDB_BIND, Kd, =, 0.53, uM
1G50, EST, BINDING_DB, NA, NA, NA, NA
3DT3, 369, BINDING_MOAD, , , , 
3DT3, 369, BINDING_MOAD, , , , 
2IOK, IOK, PDB_BIND, IC50, =, 1, nM
2IOK, IOK, BINDING_MOAD, ic50, 1, =, nM
2IOK, IOK, BINDING_MOAD, ic50, 1, =, nM
2IOK, IOK, BINDING_DB, NA, NA, NA, NA
2AYR, L4G, PDB_BIND, Ki, =, 0.51, nM
2AYR, L4G, BINDING_MOAD, Ki, 0.52, =, nM
2AYR, L4G, BINDING_DB, NA, NA, NA, NA
2OUZ, C3D, BINDING_MOAD, , , , 
2OUZ, C3D, BINDING_DB, NA, NA, NA, NA
4IW6, 1GU, BINDING_MOAD, , , , 
4IW6, 1GU, BINDING_MOAD, , , , 
2BJ4, OHT, BINDING_MOAD, , , , 
2BJ4, OHT, BINDING_MOAD, , , , 
2BJ4, OHT, BINDING_DB, NA, NA, NA, NA
2QGW, EES, BINDING_MOAD, , , , 
2QGW, EES, BINDING_MOAD, , , , 
4IVY, 1GT, BINDING_MOAD, , , , 
4IVY, 1GT, BINDING_MOAD, , , , 
4IVW, 1GJ, BINDING_MOAD, , , , 
4IVW, 1GJ, BINDING_MOAD, , , , 
2IOG, IOG, PDB_BIND, IC50, =, 8, nM
2IOG, IOG, BINDING_MOAD, ic50, 8, =, nM
2IOG, IOG, BINDING_DB, NA, NA, NA, NA
4DMA, 0L8, BINDING_MOAD, , , , 
4DMA, 0L8, BINDING_MOAD, , , , 
4IV4, 1GS, BINDING_MOAD, , , , 
4IV4, 1GS, BINDING_MOAD, , , , 
4IV2, 1GR, BINDING_MOAD, , , , 
4IV2, 1GR, BINDING_MOAD, , , , 
2B1V, 458, PDB_BIND, Ki, =, 1.8, uM
2B1V, 458, BINDING_MOAD, Ki, 1.8, =, uM
2B1V, 458, BINDING_MOAD, Ki, 1.8, =, uM
1QKU, EST, PDB_BIND, Kd, =, 0.26, nM
1QKU, EST, BINDING_DB, NA, NA, NA, NA
1QKT, EST, PDB_BIND, Kd, =, 0.92, nM
1QKT, EST, BINDING_MOAD, Kd, 0.92, =, nM
1QKT, EST, BINDING_DB, NA, NA, NA, NA
2B1Z, 17M, PDB_BIND, IC50, =, 79, nM
2B1Z, 17M, BINDING_MOAD, ic50, 79, =, nM
2B1Z, 17M, BINDING_MOAD, ic50, 79, =, nM
1X7R, GEN, PDB_BIND, IC50, =, 9, nM
1X7R, GEN, BINDING_MOAD, ic50, 360, =, nM
1X7R, GEN, BINDING_DB, NA, NA, NA, NA
4IWC, 1GV, BINDING_MOAD, , , , 
4IWC, 1GV, BINDING_MOAD, , , , 
4IWC, 1GV, BINDING_DB, NA, NA, NA, NA
1L2I, ETC, BINDING_MOAD, , , , 
1L2I, ETC, BINDING_MOAD, , , , 
1L2I, ETC, BINDING_DB, NA, NA, NA, NA
1YIM, CM4, BINDING_MOAD, ic50, 1.5, =, nM
1YIM, CM4, BINDING_DB, NA, NA, NA, NA
4IU7, 1GM, BINDING_MOAD, , , , 
4IU7, 1GM, BINDING_MOAD, , , , 
3Q95, ESL, BINDING_DB, NA, NA, NA, NA
1XPC, AIT, PDB_BIND, IC50, =, 1.7, nM
1XPC, AIT, BINDING_MOAD, ic50, 1.7, =, nM
1XPC, AIT, BINDING_DB, NA, NA, NA, NA
3UU7, 2OH, BINDING_MOAD, , , , 
3UU7, 2OH, BINDING_MOAD, , , , 
3UU7, 2OH, BINDING_DB, NA, NA, NA, NA
2JFA, RAL, BINDING_DB, NA, NA, NA, NA
3OSA, KN3, BINDING_MOAD, , , , 
3OSA, KN3, BINDING_MOAD, , , , 
3OSA, KN3, BINDING_MOAD, , , , 
3OSA, KN3, BINDING_MOAD, , , , 
2QAB, EI1, BINDING_MOAD, , , , 
2QAB, EI1, BINDING_MOAD, , , , 
2QA8, GEN, PDB_BIND, IC50, =, 0.99, uM
2QA8, GEN, BINDING_MOAD, , , , 
2QA8, GEN, BINDING_MOAD, , , , 
2QA8, GEN, BINDING_DB, NA, NA, NA, NA
3ERT, OHT, PDB_BIND, Ki, =, 0.249, nM
3ERT, OHT, BINDING_MOAD, , , , 
3ERT, OHT, BINDING_DB, NA, NA, NA, NA
1X7E, 244, PDB_BIND, IC50, =, 1062.5, nM
1X7E, 244, BINDING_DB, NA, NA, NA, NA
2JF9, OHT, BINDING_MOAD, A, NA, NA, NA
1X7E, 244, PDB_BIND, IC50, =, 1062.5, nM
1X7E, 244, BINDING_DB, NA, NA, NA, NA
2JF9, OHT, BINDING_MOAD, , , , 
2JF9, OHT, BINDING_MOAD, , , , 
2JF9, OHT, BINDING_MOAD, , , , 
2JF9, OHT, BINDING_DB, NA, NA, NA, NA
3OS9, KN1, BINDING_MOAD, , , , 
3OS9, KN1, BINDING_MOAD, , , , 
3OS9, KN1, BINDING_MOAD, , , , 
3OS9, KN1, BINDING_MOAD, , , , 
3OS9, KN1, BINDING_MOAD, , , , 
3OS9, KN1, BINDING_MOAD, , , , 
3OS9, KN1, BINDING_MOAD, , , , 
3OS9, KN1, BINDING_MOAD, , , , 
3OS9, KN1, BINDING_DB, NA, NA, NA, NA
3ERD, DES, PDB_BIND, Ki, =, 0.126, nM
3ERD, DES, BINDING_MOAD, , , , 
3ERD, DES, BINDING_MOAD, , , , 
3ERD, DES, BINDING_DB, NA, NA, NA, NA
3UUC, 0D1, BINDING_MOAD, , , , 
3UUC, 0D1, BINDING_MOAD, , , , 
3UUC, 0D1, BINDING_MOAD, , , , 
3UUC, 0D1, BINDING_MOAD, , , , 
3HM1, J3Z, BINDING_DB, NA, NA, NA, NA
1PCG, EST, BINDING_DB, NA, NA, NA, NA
1XP6, AIU, PDB_BIND, IC50, =, 0.4, nM
1XP6, AIU, BINDING_MOAD, ic50, 0.4, =, nM
1XP6, AIU, BINDING_DB, NA, NA, NA, NA
1ERR, RAL, PDB_BIND, IC50, =, 7.7, nM
1ERR, RAL, BINDING_DB, NA, NA, NA, NA
1XP1, AIH, PDB_BIND, IC50, =, 0.5, nM
1XP1, AIH, BINDING_MOAD, ic50, 0.5, =, nM
1XP1, AIH, BINDING_DB, NA, NA, NA, NA
1ZKY, 689, PDB_BIND, Ki, =, 560, nM
1ZKY, 689, BINDING_MOAD, Ki, 560, =, nM
1ZKY, 689, BINDING_MOAD, Ki, 560, =, nM
1XP9, AIJ, PDB_BIND, IC50, =, 1.3, nM
1XP9, AIJ, BINDING_MOAD, ic50, 1.3, =, nM
1XP9, AIJ, BINDING_DB, NA, NA, NA, NA
4IUI, 1GQ, BINDING_MOAD, , , , 
4IUI, 1GQ, BINDING_MOAD, , , , 
1A52, EST, PDB_BIND, Ki, =, 0.138, nM
1A52, EST, BINDING_DB, NA, NA, NA, NA
3UUA, 0CZ, BINDING_MOAD, , , , 
3UUA, 0CZ, BINDING_MOAD, , , , 
2QSE, 1HP, BINDING_MOAD, , , , 
2QSE, 1HP, BINDING_MOAD, , , , 
2QXS, RAL, BINDING_MOAD, , , , 
2QXS, RAL, BINDING_MOAD, , , , 
2QXS, RAL, BINDING_DB, NA, NA, NA, NA
1GWQ, ZTW, BINDING_MOAD, , , , 
1GWQ, ZTW, BINDING_MOAD, , , , 
1GWQ, ZTW, BINDING_DB, NA, NA, NA, NA
1R5K, GW5, BINDING_DB, NA, NA, NA, NA
4IW8, KN3, BINDING_MOAD, , , , 
4IW8, KN3, BINDING_MOAD, , , , 
1UOM, PTI, PDB_BIND, IC50, =, 19, nM
1UOM, PTI, BINDING_MOAD, ic50, 19, =, nM
1UOM, PTI, BINDING_DB, NA, NA, NA, NA
2I0J, I0G, PDB_BIND, Ki, =, 2.68, nM
2I0J, I0G, BINDING_DB, NA, NA, NA, NA
2QGT, EED, BINDING_MOAD, , , , 
2QGT, EED, BINDING_MOAD, , , , 
2POG, WST, PDB_BIND, Ki, =, 0.29, nM
2POG, WST, BINDING_MOAD, Ki, 0.29, =, nM
2POG, WST, BINDING_MOAD, Ki, 0.29, =, nM
2POG, WST, BINDING_DB, NA, NA, NA, NA
2QA6, KN2, BINDING_DB, NA, NA, NA, NA
2P15, EZT, PDB_BIND, Kd, =, 50, pM
2P15, EZT, BINDING_MOAD, , , , 
2P15, EZT, BINDING_MOAD, , , , 
3OS8, KN0, BINDING_MOAD, , , , 
3OS8, KN0, BINDING_MOAD, , , , 
3OS8, KN0, BINDING_MOAD, , , , 
3OS8, KN0, BINDING_MOAD, , , , 
4IWF, 15Q, BINDING_MOAD, , , , 
4IWF, 15Q, BINDING_MOAD, , , , 
4IWF, 15Q, BINDING_DB, NA, NA, NA, NA
2QH6, ODE, PDB_BIND, IC50, =, 1, uM
2Q70, DC8, PDB_BIND, Ki, =, 8.3, nM
2Q70, DC8, BINDING_MOAD, Ki, 8.3, =, nM
2Q70, DC8, BINDING_MOAD, Ki, 8.3, =, nM
2Q70, DC8, BINDING_DB, NA, NA, NA, NA
2QXM, PIQ, BINDING_MOAD, , , , 
2QXM, PIQ, BINDING_MOAD, , , , 
1ERE, EST, BINDING_DB, NA, NA, NA, NA
3UUD, EST, BINDING_MOAD, , , , 
3UUD, EST, BINDING_MOAD, , , , 
3UUD, EST, BINDING_DB, NA, NA, NA, NA
