PDB_ID	LIG_ID
1SJ0	lig
1A52	EST
1ERR	RAL
1G50	EST
1GWQ	ZTW
1GWR	EST
1L2I	ETC
1PCG	EST
1QKT	EST
1QKU	EST
1R5K	GW5
1UOM	PTI
1X7E	244
1X7R	GEN
1XP1	AIH
1XP6	AIU
1XP9	AIJ
1XPC	AIT
1XQC	AEJ
1YIM	CM4
1YIN	CM3
1ZKY	689
2AYR	L4G
2B1V	458
2B1Z	17M
2BJ4	OHT
2FAI	459
2G44	T3O
2G5O	DRQ
2I0J	I0G
2IOG	IOG
2IOK	IOK
2JF9	OHT
2JFA	RAL
2OUZ	C3D
2P15	EZT
2POG	WST
2Q6J	A48
2Q70	DC8
2QA6	KN2
2QA8	GEN
2QAB	EI1
2QE4	JJ3
2QGT	EED
2QGW	EES
2QH6	ODE
2QR9	HZ3
2QSE	1HP
2QXM	PIQ
2QXS	RAL
2QZO	KN1
2R6W	LLB
2R6Y	LLC
2YAT	EEU
3DT3	369
3ERD	DES
3ERT	OHT
3HLV	J2Z
3HM1	J3Z
3L03	4OH
3OS8	KN0
3OSA	KN3
3Q95	ESL
3UU7	2OH
3UUA	0CZ
3UUC	0D1
3UUD	EST
4DMA	0L8
4IU7	1GM
4IUI	1GQ
4IV2	1GR
4IV4	1GS
4IVW	1GJ
4IVY	1GT
4IW6	1GU
4IW8	KN3
4IWC	1GV
4IWF	15Q
4MG5	27E
4MG6	27G
4MG7	27H
4MG8	27J
4MG9	27K
4MGA	27L
4MGB	XDH
4MGC	27M
4MGD	27N
4PP6	STL
4PPP	FSV
4PPS	ESE
4PXM	EST
4TUZ	36J
4TV1	36M
4XI3	29S
4ZN7	DES
4ZN9	OBH
4ZNS	OFB
4ZNT	OBB
4ZNU	4Q9
4ZNV	4Q7
4ZNW	OBM
5AAU	XBR
5AAV	GW5
5ACC	KE9
5AK2	85Z
5DI7	5CQ
5DID	5CK
5DIE	5CJ
5DIG	5CE
5DK9	5CC
5DKE	5C8
5DKG	5C7
5DKS	5C6
5DL4	5C4
5DLR	5DJ
5DMC	5DH
5DMF	5DG
5DP0	5ES
5DRJ	5EU
5DRM	5ET
5DTV	5FS
5DU5	5G2
5DUE	5FY
5DUG	5FV
5DUH	5FT
5DVS	5G7
5DVV	5G6
5DWE	5G5
5DWG	5G4
5DWI	5G3
5DWJ	5J2
5DX3	EST
5DXE	EST
5DXK	5J1
5DXM	5J0
5DXP	5HX
5DXQ	5HZ
5DXR	5HW
5DY8	5K4
5DYB	5K2
5DYD	5K1
5DZ0	5K0
5DZ1	5JY
5DZ3	5JX
5DZH	5KG
5DZI	5KF
5E0W	5KE
5E0X	5KD
5E14	5KB
5E15	5KA
5E19	5K7
5E1C	5K8
5EGV	5OS
5EHJ	5K5
5EI1	5OR
5EIT	5P1
5FQP	GQD
5FQR	QHG
5FQS	J0W
5FQT	7QN
5FQV	VQI
5GS4	EST
5GTR	EST
5HYR	EST
5JMM	QSO
5KCC	OB1
5KCD	OB2
5KCF	OB5
5KCT	OB7
5KCU	OB8
5KCW	OB9
5KD9	OBT
5KR9	CUE
5KRA	6WS
5KRC	ZER
5KRF	6WL
5KRH	6WN
5KRI	6WM
5KRJ	6WP
5KRK	6WQ
5KRL	6WR
5KRM	6WU
5KRO	6WW
5T1Z	Q97
5T92	77W
5T97	782
5TLD	6WV
5TLF	7EF
5TLG	7EG
5TLL	7EL
5TLM	7EM
5TLO	7EE
5TLP	7EH
5TLT	7ED
5TLU	7EE
5TLV	7ES
5TLY	7ER
5TM1	7EQ
5TM2	7EO
5TM3	7EN
5TM4	7E3
5TM5	7EV
5TM6	7J9
5TM7	7JY
5TM8	7K6
5TM9	7KL
5TML	7E1
5TMM	7M4
5TMO	7M1
5TMQ	7M7
5TMR	7FD
5TMS	7FG
5TMT	7FJ
5TMU	7FL
5TMV	7FO
5TMW	7FP
5TMZ	7FQ
5TN1	7FR
5TN3	7FS
5TN4	7FZ
5TN5	7G0
5TN6	7G1
5TN8	7G3
5TN9	7EC
5TNB	7EB
5U2B	6WV
5U2D	OBH
5W9D	9XY
