PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1WQV, BGC, BINDING_DB, NA, NA, NA, NA
1WQV, CGU, BINDING_DB, NA, NA, NA, NA
1WQV, FUC, BINDING_DB, NA, NA, NA, NA
1WQV, PSM, PDB_BIND, IC50, =, 130, nM
1WQV, PSM, BINDING_MOAD, ic50, 130, =, nM
2B8O, CGU, BINDING_DB, NA, NA, NA, NA
2B8O, FUC, BINDING_DB, NA, NA, NA, NA
2ZP0, BGC, BINDING_DB, NA, NA, NA, NA
2ZP0, CGU, BINDING_DB, NA, NA, NA, NA
2ZP0, FUC, BINDING_DB, NA, NA, NA, NA
2ZP0, PI0, PDB_BIND, IC50, =, 25, nM
2FIR, CGU, BINDING_DB, NA, NA, NA, NA
2FIR, FUC, BINDING_DB, NA, NA, NA, NA
2BZ6, 346, PDB_BIND, Ki, =, 0.081, uM
2BZ6, 346, BINDING_MOAD, Ki, 0.081, =, uM
2BZ6, 346, BINDING_DB, NA, NA, NA, NA
4JZD, 1NJ, PDB_BIND, IC50, =, 5, nM
4JZD, 1NJ, BINDING_MOAD, ic50, 0.005, =, uM
4JZD, 1NJ, BINDING_MOAD, ic50, 0.005, =, uM
4JZE, 1NK, PDB_BIND, IC50, =, 7, nM
4JZE, 1NK, BINDING_MOAD, ic50, 0.007, =, uM
4JZE, 1NK, BINDING_DB, NA, NA, NA, NA
2EC9, 24X, BINDING_MOAD, ic50, 0.0043, =, uM
2EC9, ASO, BINDING_DB, NA, NA, NA, NA
2EC9, CGU, BINDING_DB, NA, NA, NA, NA
2EC9, FUC, BINDING_DB, NA, NA, NA, NA
2B7D, C1B, PDB_BIND, Ki, =, 2, nM
2B7D, C1B, BINDING_MOAD, Ki, 0.002, =, uM
1WV7, 5PI, PDB_BIND, IC50, =, 55, nM
1WV7, BGC, BINDING_DB, NA, NA, NA, NA
1WV7, CGU, BINDING_DB, NA, NA, NA, NA
1WV7, FUC, BINDING_DB, NA, NA, NA, NA
1W2K, 380, PDB_BIND, Ki, =, 0.35, uM
1W2K, 380, BINDING_DB, NA, NA, NA, NA
