PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3JSQ, HNE, BINDING_MOAD, , , , 
3FR2, 8CA, PDB_BIND, IC50, =, 0.59, uM
3FR2, 8CA, BINDING_MOAD, ic50, 0.59, =, uM
3FR2, 8CA, BINDING_DB, NA, NA, NA, NA
3FR5, I4A, PDB_BIND, IC50, =, 0.45, uM
3FR5, I4A, BINDING_MOAD, ic50, 0.069, =, uM
3FR5, I4A, BINDING_DB, NA, NA, NA, NA
1TOW, CRZ, PDB_BIND, IC50, =, 0.57, uM
1TOW, CRZ, BINDING_MOAD, ic50, 0.57, =, uM
1TOW, CRZ, BINDING_DB, NA, NA, NA, NA
1ADL, ACD, PDB_BIND, Kd, =, 4.4, uM
1ADL, ACD, BINDING_MOAD, Kd, 4.4, =, uM
1ADL, ACD, BINDING_DB, NA, NA, NA, NA
1TOU, B1V, PDB_BIND, IC50, =, 1, uM
1TOU, B1V, BINDING_MOAD, ic50, 1, =, uM
1TOU, B1V, BINDING_DB, NA, NA, NA, NA
2HNX, PLM, PDB_BIND, Kd, =, 83, nM
2HNX, PLM, BINDING_MOAD, , , , 
2HNX, PLM, BINDING_DB, NA, NA, NA, NA
3HK1, B64, PDB_BIND, Ki, =, 0.67, uM
3HK1, B64, BINDING_MOAD, Ki, 0.67, =, uM
3HK1, B64, BINDING_DB, NA, NA, NA, NA
2ANS, 2AN, PDB_BIND, Kd, =, 1.2, uM
2ANS, 2AN, BINDING_MOAD, Kd, 1.2, =, uM
2ANS, 2AN, BINDING_MOAD, Kd, 1.2, =, uM
2ANS, 2AN, BINDING_DB, NA, NA, NA, NA
1LIC, HDS, BINDING_MOAD, , , , 
1LID, OLA, BINDING_MOAD, , , , 
1LID, OLA, BINDING_DB, NA, NA, NA, NA
1LIE, PLM, BINDING_MOAD, , , , 
1LIE, PLM, BINDING_DB, NA, NA, NA, NA
1LIF, STE, BINDING_MOAD, , , , 
1LIF, STE, BINDING_DB, NA, NA, NA, NA
3P6C, CIT, BINDING_DB, NA, NA, NA, NA
3P6H, IBP, BINDING_DB, NA, NA, NA, NA
3P6G, IZP, BINDING_DB, NA, NA, NA, NA
1G74, OLA, PDB_BIND, Kd, =, 0.30, uM
1G74, OLA, BINDING_MOAD, Kd, 0.3, =, uM
1G74, OLA, BINDING_DB, NA, NA, NA, NA
3FR4, F8A, PDB_BIND, IC50, =, 0.65, uM
3FR4, F8A, BINDING_MOAD, ic50, 0.049, =, uM
BINDING_DB, NA, NA, NA, NA
3FR4, F8A, PDB_BIND, IC50, =, 0.65, uM
3FR4, F8A, BINDING_MOAD, ic50, 0.049, =, uM
