PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4BRX, KGW, PDB_BIND, IC50, =, 0.32, uM
4BRX, KGW, BINDING_MOAD, ic50, 0.32, =, uM
4BRX, KGW, BINDING_DB, NA, NA, NA, NA
4EBW, 0PF, PDB_BIND, IC50, =, 8.7, uM
4EBW, 0PF, BINDING_DB, NA, NA, NA, NA
4EBV, 0O7, PDB_BIND, IC50, =, 4.2, uM
4EBV, 0O7, BINDING_MOAD, ic50, 0.99, =, uM
4EBV, 0O7, BINDING_DB, NA, NA, NA, NA
2JKK, BI9, PDB_BIND, IC50, =, 6.24, nM
2JKK, BI9, BINDING_MOAD, ic50, 6.24, =, nM
2JKK, BI9, BINDING_DB, NA, NA, NA, NA
2JKM, BII, PDB_BIND, IC50, =, 17.76, nM
2JKM, BII, BINDING_MOAD, ic50, 17.76, =, nM
2JKO, BIJ, PDB_BIND, IC50, =, 7.7, nM
2JKO, BIJ, BINDING_MOAD, ic50, 7.7, =, nM
4I4E, 1BQ, PDB_BIND, IC50, =, 0.5, uM
4I4E, 1BQ, BINDING_MOAD, ic50, 0.5, =, uM
4I4E, 1BQ, BINDING_DB, NA, NA, NA, NA
1MP8, ADP, BINDING_MOAD, , , , 
1MP8, ADP, BINDING_DB, NA, NA, NA, NA
4I4F, 1BR, PDB_BIND, IC50, =, 0.64, uM
4I4F, 1BR, BINDING_MOAD, ic50, 0.64, =, uM
4I4F, 1BR, BINDING_DB, NA, NA, NA, NA
2J0L, ANP, BINDING_MOAD, , , , 
2J0L, ANP, BINDING_DB, NA, NA, NA, NA
2J0L, PTR, BINDING_DB, NA, NA, NA, NA
4K9Y, K9Y, PDB_BIND, Kd, =, 0.111, uM
4K9Y, K9Y, BINDING_MOAD, Kd, 0.111, =, uM
4GU9, 4GU, PDB_BIND, Kd, =, 43, uM
4GU9, 4GU, BINDING_MOAD, Kd, 43, =, uM
4GU9, 4GU, BINDING_MOAD, Kd, 43, =, uM
4GU9, 4GU, BINDING_DB, NA, NA, NA, NA
2JKQ, VG8, PDB_BIND, IC50, =, 7.7, nM
4GU6, 10N, PDB_BIND, Kd, =, 44, nM
4GU6, 10N, BINDING_MOAD, Kd, 44, =, nM
4GU6, 10N, BINDING_MOAD, Kd, 44, =, nM
4GU6, 10N, BINDING_DB, NA, NA, NA, NA
4KAO, KAO, PDB_BIND, Kd, =, 0.77, uM
4KAO, KAO, BINDING_MOAD, Kd, 0.77, =, uM
4KAO, KAO, BINDING_MOAD, Kd, 0.77, =, uM
2IJM, ADP, BINDING_DB, NA, NA, NA, NA
2IJM, ATP, BINDING_DB, NA, NA, NA, NA
2ETM, 7PY, PDB_BIND, IC50, =, 0.212, uM
2ETM, 7PY, BINDING_DB, NA, NA, NA, NA
4K8A, K8A, PDB_BIND, Kd, =, 95, uM
, NA
2ETM, 7PY, PDB_BIND, IC50, =, 0.212, uM
2ETM, 7PY, BINDING_DB, NA, NA, NA, NA
4K8A, K8A, PDB_BIND, Kd, =, 95, uM
