PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3FAP, ARD, BINDING_MOAD, , , , 
2FAP, RAD, BINDING_MOAD, , , , 
2FAP, RAD, BINDING_DB, NA, NA, NA, NA
3H9R, TAK, BINDING_MOAD, , , , 
3H9R, TAK, BINDING_DB, NA, NA, NA, NA
1TCO, FK5, BINDING_MOAD, , , , 
1TCO, FK5, BINDING_DB, NA, NA, NA, NA
1TCO, MYR, BINDING_DB, NA, NA, NA, NA
1NSG, RAD, BINDING_MOAD, , , , 
1NSG, RAD, BINDING_DB, NA, NA, NA, NA
2DG9, RAP, BINDING_MOAD, , , , 
2DG9, RAP, BINDING_DB, NA, NA, NA, NA
1FKB, RAP, PDB_BIND, Kd, =, 0.2, nM
1FKB, RAP, BINDING_MOAD, Kd, 0.2, =, nM
1FKB, RAP, BINDING_DB, NA, NA, NA, NA
1A7X, FKA, PDB_BIND, Kd, =, 0.2, nM
1A7X, FKA, BINDING_MOAD, Kd, 0.2, =, nM
1J4I, TST, BINDING_MOAD, , , , 
1BL4, AP1, PDB_BIND, IC50, =, 1.8, nM
1BL4, AP1, BINDING_MOAD, ic50, 1.8, =, nM
1BL4, AP1, BINDING_MOAD, ic50, 1.8, =, nM
1BL4, AP1, BINDING_DB, NA, NA, NA, NA
1FKD, 818, BINDING_MOAD, , , , 
1J4R, 001, PDB_BIND, Ki, =, 0.019, uM
1J4R, 001, BINDING_MOAD, Ki, 0.019, =, uM
1J4R, 001, BINDING_MOAD, Ki, 0.019, =, uM
1J4R, 001, BINDING_MOAD, Ki, 0.019, =, uM
2FKE, FK5, BINDING_MOAD, , , , 
2FKE, FK5, BINDING_DB, NA, NA, NA, NA
3MDY, LDN, BINDING_DB, NA, NA, NA, NA
1QPL, 587, PDB_BIND, IC50, =, 3.1, nM
1QPF, 858, PDB_BIND, IC50, =, 27, nM
1QPF, 858, BINDING_MOAD, ic50, 27, =, nM
1QPF, 858, BINDING_MOAD, ic50, 27, =, nM
1FKH, SBX, PDB_BIND, Ki, =, 7, nM
1FKH, SBX, BINDING_MOAD, Ki, 7, =, nM
1FKJ, FK5, BINDING_MOAD, , , , 
1FKJ, FK5, BINDING_DB, NA, NA, NA, NA
1FKL, RAP, BINDING_MOAD, , , , 
1FKL, RAP, BINDING_DB, NA, NA, NA, NA
1FKF, FK5, PDB_BIND, Kd, =, 0.4, nM
1FKF, FK5, BINDING_MOAD, Kd, 0.4, =, nM
1FKF, FK5, BINDING_DB, NA, NA, NA, NA
1FKG, SB3, PDB_BIND, Ki, =, 10, nM
1FKG, SB3, BINDING_MOAD, Ki, 10, =, nM
1FKG, SB3, BINDING_DB, NA, NA, NA, NA
2DG4, RAP, BINDING_MOAD, , , , 
2DG4, RAP, BINDING_DB, NA, NA, NA, NA
2DG3, RAP, BINDING_MOAD, , , , 
2DG3, RAP, BINDING_DB, NA, NA, NA, NA
1FKI, SB1, PDB_BIND, Ki, =, 100, nM
1FKI, SB1, BINDING_MOAD, Ki, 100, =, nM
1FKI, SB1, BINDING_MOAD, Ki, 100, =, nM
1FKI, SB1, BINDING_DB, NA, NA, NA, NA
1BKF, FK5, BINDING_MOAD, Ki, 2.1, =, nM
1BKF, FK5, BINDING_DB, NA, NA, NA, NA
1FAP, RAP, BINDING_DB, NA, NA, NA, NA
1F40, GPI, PDB_BIND, Kd, =, 1, uM
1F40, GPI, BINDING_DB, NA, NA, NA, NA
GPI, BINDING_DB, NA, NA, NA, NA
