PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4GTO, 7TO, PDB_BIND, IC50, =, 10.5, nM
4GTO, 7TO, BINDING_MOAD, ic50, 10.5, =, nM
4GTO, FPP, BINDING_MOAD, , , , 
2IEJ, FII, BINDING_MOAD, , , , 
2IEJ, S48, BINDING_MOAD, , , , 
1JCQ, 739, BINDING_MOAD, , , , 
1JCQ, FPP, BINDING_MOAD, , , , 
1JCQ, SUC, BINDING_MOAD, , , , 
1JCR, FPP, BINDING_MOAD, , , , 
1JCS, FII, BINDING_MOAD, , , , 
2ZIS, NH8, PDB_BIND, IC50, =, 2.8, nM
2ZIR, FPP, BINDING_MOAD, , , , 
2ZIR, NH7, PDB_BIND, IC50, =, 6.4, nM
2ZIR, NH7, BINDING_MOAD, ic50, 6.4, =, nM
1S63, 778, PDB_BIND, Ki, =, 0.9, nM
1S63, 778, BINDING_MOAD, Ki, 0.9, =, nM
1S63, 778, BINDING_DB, NA, NA, NA, NA
1S63, FPP, BINDING_MOAD, , , , 
1QBQ, HFP, PDB_BIND, Ki, =, 5, nM
1QBQ, HFP, BINDING_MOAD, Ki, 5, =, nM
4GTR, 7TR, PDB_BIND, IC50, <, 5, nM
4GTR, 7TR, BINDING_MOAD, , , , 
4GTR, FPP, BINDING_MOAD, , , , 
4GTQ, 7TQ, PDB_BIND, IC50, <, 5, nM
4GTP, 7TP, PDB_BIND, IC50, =, 11.4, nM
1TN8, FII, BINDING_MOAD, , , , 
1TN7, FII, BINDING_MOAD, , , , 
1TN6, FII, BINDING_MOAD, , , , 
4GTM, 7TM, PDB_BIND, IC50, =, 9.2, nM
4GTM, 7TM, BINDING_MOAD, ic50, 9.2, =, nM
4GTM, FPP, BINDING_MOAD, , , , 
3KSL, SZH, PDB_BIND, IC50, =, 30, uM
3KSL, SZH, BINDING_MOAD, , , , 
1O5M, 336, PDB_BIND, IC50, =, 1.9, nM
1O5M, 336, BINDING_MOAD, ic50, 1.9, =, nM
1O5M, 336, BINDING_DB, NA, NA, NA, NA
1O5M, FPP, BINDING_MOAD, , , , 
2BED, 736, PDB_BIND, IC50, =, 0.007, uM
3EU5, GBO, PDB_BIND, Kd, =, 32, nM
2R2L, FPP, BINDING_MOAD, , , , 
2R2L, PB9, PDB_BIND, IC50, =, 1, nM
2R2L, PB9, BINDING_MOAD, ic50, 0.58, =, nM
1NI1, 2C5, PDB_BIND, IC50, =, 0.90, nM
1NI1, 2C5, BINDING_MOAD, ic50, 0.9, =, nM
1NI1, HFP, BINDING_MOAD, , , , 
1SA5, BMV, BINDING_DB, NA, NA, NA, NA
1SA4, FPP, BINDING_MOAD, , , , 
1SA4, JAN, BINDING_MOAD, , , , 
1SA4, JAN, BINDING_DB, NA, NA, NA, NA
1D8D, FII, BINDING_MOAD, , , , 
1O1S, 1NH, PDB_BIND, Ki, =, 49, nM
1O1S, 1NH, BINDING_MOAD, Ki, 49, =, nM
1O1R, GRG, BINDING_MOAD, , , , 
3KSQ, FPP, BINDING_MOAD, , , , 
3KSQ, Z96, PDB_BIND, IC50, =, 0.38, nM
3KSQ, Z96, BINDING_MOAD, ic50, 0.38, =, nM
1N95, FTH, PDB_BIND, IC50, =, 1.2, nM
1N95, FTH, BINDING_MOAD, , , , 
1N95, FTH, BINDING_DB, NA, NA, NA, NA
1N95, HFP, BINDING_MOAD, , , , 
1O1T, 2NH, BINDING_MOAD, , , , 
3E30, ED4, BINDING_MOAD, , , , 
3E30, ED4, BINDING_DB, NA, NA, NA, NA
3E30, FPP, BINDING_MOAD, , , , 
3E33, ED7, BINDING_MOAD, , , , 
3E33, ED7, BINDING_DB, NA, NA, NA, NA
3E33, FPP, BINDING_MOAD, , , , 
3E32, ED2, BINDING_MOAD, , , , 
3E32, ED2, BINDING_DB, NA, NA, NA, NA
3E32, FPP, BINDING_MOAD, , , , 
1FPP, FPP, PDB_BIND, Kd, =, 10, nM
3E34, ED1, BINDING_MOAD, , , , 
3E34, ED1, BINDING_DB, NA, NA, NA, NA
3E34, FPP, BINDING_MOAD, , , , 
1MZC, BNE, PDB_BIND, IC50, =, 0.06, nM
1MZC, BNE, BINDING_MOAD, ic50, 0.06, =, nM
1MZC, BNE, BINDING_DB, NA, NA, NA, NA
1MZC, FPP, BINDING_MOAD, , , , 
1MZC, SUC, BINDING_MOAD, , , , 
1LD8, FPP, BINDING_MOAD, , , , 
1LD8, SUC, BINDING_MOAD, , , , 
1LD8, U49, PDB_BIND, IC50, =, 3.5, nM
1LD8, U49, BINDING_MOAD, ic50, 3.5, =, nM
1LD8, U49, BINDING_DB, NA, NA, NA, NA
1N9A, FTI, PDB_BIND, IC50, =, 2.2, nM
1N9A, FTI, BINDING_DB, NA, NA, NA, NA
1N94, TIN, PDB_BIND, IC50, =, 1.1, nM
1N94, TIN, BINDING_DB, NA, NA, NA, NA
1NL4, FTL, PDB_BIND, IC50, =, 0.39, nM
1NL4, FTL, BINDING_DB, NA, NA, NA, NA
3PZ4, 3PZ, PDB_BIND, IC50, =, 6, nM
3PZ4, 3PZ, BINDING_MOAD, ic50, 6, =, nM
3PZ4, FPP, PDB_BIND, IC50, =, 6, nM
3PZ4, FPP, BINDING_MOAD, , , , 
1LD7, FPP, BINDING_MOAD, , , , 
1LD7, SUC, BINDING_MOAD, , , , 
1LD7, U66, PDB_BIND, IC50, =, 1.1, nM
1LD7, U66, BINDING_MOAD, ic50, 1.1, =, nM
1LD7, U66, BINDING_DB, NA, NA, NA, NA
1KZO, FPP, BINDING_MOAD, Kd, 5, =, nM
1X81, JAN, PDB_BIND, IC50, =, 0.65, nM
1X81, JAN, BINDING_DB, NA, NA, NA, NA
, NA
1KZO, FPP, BINDING_MOAD, Kd, 5, =, nM
1X81, JAN, PDB_BIND, IC50, =, 0.65, nM
1X81, JAN, BINDING_DB, NA, NA, NA, NA
