PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1zw5, ZOL, BINDING_MOAD, , , , 
1zw5, ZOL, BINDING_DB, NA, NA, NA, NA
2F8Z, ZOL, BINDING_DB, NA, NA, NA, NA
2QIS, RIS, BINDING_DB, NA, NA, NA, NA
4DEM, YS4, PDB_BIND, IC50, =, 28, nM
4DEM, YS4, BINDING_MOAD, ic50, 28, =, nM
4DEM, YS4, BINDING_DB, NA, NA, NA, NA
3N6K, BFH, PDB_BIND, Kd, =, 180, nM
3N6K, BFH, BINDING_MOAD, ic50, 0.2, =, uM
3N6K, BFH, BINDING_DB, NA, NA, NA, NA
1YQ7, RIS, PDB_BIND, Ki, =, 82.2, nM
1YQ7, RIS, BINDING_MOAD, , , , 
1YQ7, RIS, BINDING_DB, NA, NA, NA, NA
2F8C, ZOL, BINDING_MOAD, , , , 
2F8C, ZOL, BINDING_DB, NA, NA, NA, NA
2VF6, M0N, PDB_BIND, IC50, =, 3, nM
2VF6, M0N, BINDING_DB, NA, NA, NA, NA
2F92, AHD, BINDING_MOAD, , , , 
2F92, AHD, BINDING_DB, NA, NA, NA, NA
4JVJ, 1MV, BINDING_DB, NA, NA, NA, NA
2F94, BFQ, PDB_BIND, Ki, =, 195, nM
2F94, BFQ, BINDING_MOAD, , , , 
2F94, BFQ, BINDING_DB, NA, NA, NA, NA
3B7L, M0N, BINDING_DB, NA, NA, NA, NA
2F9K, ZOL, PDB_BIND, Ki, =, 85.9, nM
2F9K, ZOL, BINDING_MOAD, , , , 
2F9K, ZOL, BINDING_DB, NA, NA, NA, NA
3N1V, 3N1, PDB_BIND, IC50, =, 500, uM
3N1V, 3N1, BINDING_MOAD, ic50, 500, >, uM
3N1V, 3N1, BINDING_MOAD, ic50, 500, >, uM
4H5C, YS4, PDB_BIND, IC50, =, 28, nM
4H5C, YS4, BINDING_MOAD, , , , 
4H5C, YS4, BINDING_DB, NA, NA, NA, NA
2OPM, NI9, BINDING_MOAD, , , , 
2OPM, NI9, BINDING_DB, NA, NA, NA, NA
4H5E, IPR, PDB_BIND, Kd, =, 0.86, uM
4H5E, IPR, BINDING_MOAD, , , , 
4H5E, YS4, PDB_BIND, Kd, =, 0.86, uM
4H5E, YS4, BINDING_MOAD, Kd, 0.86, =, uM
4H5E, YS4, BINDING_DB, NA, NA, NA, NA
2OPN, SUF, BINDING_DB, NA, NA, NA, NA
3N5H, GO0, PDB_BIND, IC50, =, 2, uM
3N5H, GO0, BINDING_MOAD, ic50, 2, =, uM
3N5H, GO0, BINDING_MOAD, ic50, 2, =, uM
3N5H, GO0, BINDING_DB, NA, NA, NA, NA
3N5J, GO1, PDB_BIND, IC50, =, 6, uM
3N5J, GO1, BINDING_MOAD, ic50, 8, =, uM
3N5J, GO1, BINDING_MOAD, ic50, 8, =, uM
3N5J, GO1, BINDING_DB, NA, NA, NA, NA
3N45, 3N3, BINDING_MOAD, , , , 
3N45, ZOL, BINDING_MOAD, , , , 
3N45, ZOL, BINDING_DB, NA, NA, NA, NA
1YV5, RIS, BINDING_MOAD, , , , 
1YV5, RIS, BINDING_DB, NA, NA, NA, NA
3N49, 3N4, PDB_BIND, IC50, =, 7, uM
3N49, 3N4, BINDING_MOAD, ic50, 7, =, uM
3N49, 3N4, BINDING_DB, NA, NA, NA, NA
2F89, 210, PDB_BIND, Ki, =, 331, nM
2F89, 210, BINDING_DB, NA, NA, NA, NA
4LFV, YS4, BINDING_DB, NA, NA, NA, NA
3N46, 3N5, PDB_BIND, IC50, =, 50, uM
3N46, 3N5, BINDING_MOAD, , , , 
3N46, 3N5, BINDING_DB, NA, NA, NA, NA
3N46, ZOL, BINDING_MOAD, , , , 
3N46, ZOL, BINDING_DB, NA, NA, NA, NA
3RYE, UNR, BINDING_DB, NA, NA, NA, NA
4H5D, POP, PDB_BIND, Kd, =, 0.58, uM
4H5D, POP, BINDING_MOAD, , , , 
4H5D, YS4, PDB_BIND, Kd, =, 0.58, uM
4H5D, YS4, BINDING_MOAD, Kd, 0.58, =, uM
4H5D, YS4, BINDING_DB, NA, NA, NA, NA
