PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3MNP, DEX, BINDING_MOAD, , , , 
3MNP, DEX, BINDING_DB, NA, NA, NA, NA
1NHZ, 486, PDB_BIND, Ki, =, 0.84, uM
1NHZ, 486, BINDING_MOAD, , , , 
1NHZ, 486, BINDING_DB, NA, NA, NA, NA
3MNE, DEX, BINDING_MOAD, , , , 
3MNE, DEX, BINDING_DB, NA, NA, NA, NA
3E7C, 866, BINDING_MOAD, , , , 
3E7C, 866, BINDING_MOAD, , , , 
3MNO, DEX, BINDING_MOAD, , , , 
3MNO, DEX, BINDING_DB, NA, NA, NA, NA
3K22, JZS, PDB_BIND, IC50, =, 12.59, nM
3K22, JZS, BINDING_MOAD, , , , 
3K22, JZS, BINDING_MOAD, , , , 
3K23, JZN, PDB_BIND, IC50, =, 6.3, nM
3CLD, GW6, BINDING_DB, NA, NA, NA, NA
3H52, 486, BINDING_DB, NA, NA, NA, NA
1M2Z, BOG, BINDING_MOAD, , , , 
1M2Z, BOG, BINDING_MOAD, , , , 
1M2Z, BOG, BINDING_MOAD, , , , 
1M2Z, DEX, BINDING_MOAD, , , , 
1M2Z, DEX, BINDING_MOAD, , , , 
1M2Z, DEX, BINDING_DB, NA, NA, NA, NA
4LSJ, LSJ, BINDING_DB, NA, NA, NA, NA
1P93, DEX, PDB_BIND, Kd, =, 19, nM
1P93, DEX, BINDING_DB, NA, NA, NA, NA
DEX, BINDING_DB, NA, NA, NA, NA
