PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2WCG, MT5, PDB_BIND, Ki, =, 0.42, uM
2WCG, MT5, BINDING_MOAD, ic50, 4, =, uM
2WCG, MT5, BINDING_MOAD, ic50, 4, =, uM
2VT0, FUC, BINDING_DB, NA, NA, NA, NA
3RIL, 3RK, PDB_BIND, IC50, =, 146, uM
3RIL, 3RK, BINDING_MOAD, ic50, 146, =, uM
3RIL, 3RK, BINDING_MOAD, ic50, 146, =, uM
3RIL, 3RK, BINDING_MOAD, ic50, 146, =, uM
3RIL, 3RK, BINDING_MOAD, ic50, 146, =, uM
3RIL, 3RK, BINDING_DB, NA, NA, NA, NA
2XWE, AMF, PDB_BIND, Ki, =, 0.95, uM
2XWE, AMF, BINDING_MOAD, Ka, 2113, =, M^-1
2XWE, AMF, BINDING_MOAD, Ka, 2113, =, M^-1
2XWD, LGS, PDB_BIND, Ki, =, 0.11, uM
2V3E, FUC, BINDING_DB, NA, NA, NA, NA
2V3E, NND, PDB_BIND, Ki, =, 0.3, uM
2V3E, NND, BINDING_MOAD, Ki, 0.3, =, uM
2V3E, NND, BINDING_MOAD, Ki, 0.3, =, uM
2V3E, NND, BINDING_DB, NA, NA, NA, NA
2V3D, FUC, BINDING_DB, NA, NA, NA, NA
2V3D, NBV, PDB_BIND, Ki, =, 116, uM
2V3D, NBV, BINDING_MOAD, Ki, 116, =, uM
2V3D, NBV, BINDING_MOAD, Ki, 116, =, uM
2V3D, NBV, BINDING_DB, NA, NA, NA, NA
3RIK, 3RI, PDB_BIND, IC50, =, 3.4, mM
3RIK, 3RI, BINDING_MOAD, ic50, 3.4, =, mM
3RIK, 3RI, BINDING_MOAD, ic50, 3.4, =, mM
, 3RI, BINDING_MOAD, ic50, 3.4, =, mM
