PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4IY6, MQR, BINDING_MOAD, , , , 
4IY6, MQS, BINDING_MOAD, , , , 
4IY6, MQS, BINDING_MOAD, , , , 
4IY5, CX5, BINDING_MOAD, , , , 
1SYI, CPW, PDB_BIND, Ki, =, 3590, nM
1SYI, CPW, BINDING_MOAD, Ki, 3330, =, nM
1SYI, CPW, BINDING_MOAD, Ki, 3330, =, nM
1SYI, CPW, BINDING_DB, NA, NA, NA, NA
3RNN, RNN, BINDING_MOAD, , , , 
3RNN, RNN, BINDING_MOAD, , , , 
4GXS, 0YS, BINDING_MOAD, , , , 
4GXS, 0YS, BINDING_MOAD, , , , 
3PMW, G69, BINDING_MOAD, , , , 
3PMW, G69, BINDING_DB, NA, NA, NA, NA
3BFU, R2P, PDB_BIND, Ki, =, 531, nM
3BFU, R2P, BINDING_MOAD, Ki, 531, =, nM
3BFU, R2P, BINDING_MOAD, Ki, 531, =, nM
3BFU, R2P, BINDING_MOAD, Ki, 531, =, nM
3BFU, R2P, BINDING_MOAD, Ki, 531, =, nM
3BFU, R2P, BINDING_DB, NA, NA, NA, NA
3O2A, O30, BINDING_MOAD, , , , 
3PMX, 808, BINDING_MOAD, , , , 
3PMX, 808, BINDING_DB, NA, NA, NA, NA
4F1Y, CNI, BINDING_MOAD, Kd, 0.96, =, uM
4F1Y, CNI, BINDING_MOAD, Kd, 0.96, =, uM
4F1Y, CNI, BINDING_DB, NA, NA, NA, NA
1MQD, SHI, PDB_BIND, IC50, =, 0.17, uM
1MQD, SHI, BINDING_MOAD, ic50, 0.17, =, uM
1MQD, SHI, BINDING_MOAD, ic50, 0.17, =, uM
1MQD, SHI, BINDING_MOAD, ic50, 0.17, =, uM
1MQD, SHI, BINDING_MOAD, ic50, 0.17, =, uM
1MQG, IWD, PDB_BIND, IC50, =, 0.52, uM
1MQG, IWD, BINDING_MOAD, ic50, 0.52, =, uM
1MQG, IWD, BINDING_MOAD, ic50, 0.52, =, uM
1MQG, IWD, BINDING_DB, NA, NA, NA, NA
3IJO, B4D, BINDING_MOAD, , , , 
3IJO, B4D, BINDING_MOAD, , , , 
3IJO, B4D, BINDING_MOAD, , , , 
3T96, IWD, BINDING_MOAD, , , , 
3T96, IWD, BINDING_MOAD, , , , 
3T96, IWD, BINDING_MOAD, , , , 
3T96, IWD, BINDING_DB, NA, NA, NA, NA
1SYH, CPW, PDB_BIND, Ki, =, 393, nM
1SYH, CPW, BINDING_MOAD, Ki, 393, =, nM
1SYH, CPW, BINDING_DB, NA, NA, NA, NA
1MQI, FWD, PDB_BIND, IC50, =, 23.53, nM
1MQI, FWD, BINDING_MOAD, ic50, 23.53, =, nM
1MQI, FWD, BINDING_DB, NA, NA, NA, NA
1MQH, BWD, PDB_BIND, IC50, =, 0.30, uM
1MQH, BWD, BINDING_MOAD, ic50, 0.3, =, uM
1MQH, BWD, BINDING_DB, NA, NA, NA, NA
1MQJ, HWD, PDB_BIND, IC50, =, 4.76, uM
1MQJ, HWD, BINDING_MOAD, ic50, 4.76, =, uM
1MQJ, HWD, BINDING_DB, NA, NA, NA, NA
4L17, DNQ, BINDING_DB, NA, NA, NA, NA
3IJX, HCZ, BINDING_DB, NA, NA, NA, NA
3H06, VBP, PDB_BIND, IC50, =, 292, uM
3H06, VBP, BINDING_DB, NA, NA, NA, NA
3H03, UBP, PDB_BIND, IC50, =, 135, uM
3H03, UBP, BINDING_MOAD, ic50, 135, =, uM
3H03, UBP, BINDING_MOAD, ic50, 135, =, uM
3H03, UBP, BINDING_MOAD, ic50, 135, =, uM
3H03, UBP, BINDING_MOAD, ic50, 135, =, uM
3H03, UBP, BINDING_DB, NA, NA, NA, NA
3T9V, CNI, BINDING_MOAD, , , , 
3T9V, CNI, BINDING_MOAD, , , , 
3T9V, CNI, BINDING_DB, NA, NA, NA, NA
3T9U, CNI, BINDING_MOAD, , , , 
3T9U, CNI, BINDING_MOAD, , , , 
3T9U, CNI, BINDING_MOAD, , , , 
3T9U, CNI, BINDING_DB, NA, NA, NA, NA
1FW0, KAI, PDB_BIND, Ki, =, 3690, nM
1FW0, KAI, BINDING_MOAD, , , , 
1FW0, KAI, BINDING_DB, NA, NA, NA, NA
3T9H, KAI, BINDING_MOAD, , , , 
3T9H, KAI, BINDING_MOAD, , , , 
3T9H, KAI, BINDING_MOAD, , , , 
3T9H, KAI, BINDING_DB, NA, NA, NA, NA
1MXU, BWD, PDB_BIND, IC50, =, 4.0, uM
1MXU, BWD, BINDING_MOAD, ic50, 4, =, uM
1MXU, BWD, BINDING_MOAD, ic50, 4, =, uM
1MXU, BWD, BINDING_MOAD, ic50, 4, =, uM
1MXU, BWD, BINDING_DB, NA, NA, NA, NA
3PMV, 557, BINDING_MOAD, , , , 
3O28, O28, BINDING_MOAD, , , , 
3O29, O29, BINDING_MOAD, , , , 
3RN8, RN8, BINDING_MOAD, , , , 
3RN8, RN8, BINDING_MOAD, , , , 
3EN3, KAI, BINDING_MOAD, , , , 
3EN3, KAI, BINDING_DB, NA, NA, NA, NA
1MY3, BWD, PDB_BIND, IC50, =, 4.0, uM
1MY3, BWD, BINDING_MOAD, , , , 
1MY3, BWD, BINDING_MOAD, , , , 
1MY3, BWD, BINDING_MOAD, , , , 
1MY3, BWD, BINDING_DB, NA, NA, NA, NA
1MY2, AMQ, PDB_BIND, Ki, =, 17, nM
1MY2, AMQ, BINDING_MOAD, , , , 
1MY2, AMQ, BINDING_MOAD, , , , 
1MY2, AMQ, BINDING_MOAD, , , , 
1MY2, AMQ, BINDING_DB, NA, NA, NA, NA
1NNK, CE2, PDB_BIND, IC50, =, 3.5, uM
1NNK, CE2, BINDING_MOAD, ic50, 3.5, =, uM
1NNK, CE2, BINDING_DB, NA, NA, NA, NA
4LZ8, 1YX, BINDING_MOAD, , , , 
4LZ8, 1YX, BINDING_MOAD, , , , 
1M5F, AM1, PDB_BIND, IC50, =, 14.8, nM
1M5F, AM1, BINDING_MOAD, ic50, 14.8, =, nM
1M5F, AM1, BINDING_MOAD, ic50, 14.8, =, nM
1M5F, AM1, BINDING_MOAD, ic50, 14.8, =, nM
1M5F, AM1, BINDING_DB, NA, NA, NA, NA
1NNP, CE2, BINDING_MOAD, , , , 
1NNP, CE2, BINDING_MOAD, , , , 
1NNP, CE2, BINDING_DB, NA, NA, NA, NA
3PD9, HA5, PDB_BIND, Ki, =, 600, nM
3PD9, HA5, BINDING_MOAD, Ki, 494, =, nM
3PD9, HA5, BINDING_MOAD, Ki, 494, =, nM
3PD8, HA7, PDB_BIND, Ki, =, 348, nM
3PD8, HA7, BINDING_MOAD, Ki, 108, =, nM
3PD8, HA7, BINDING_MOAD, Ki, 108, =, nM
3PD8, HA7, BINDING_MOAD, Ki, 108, =, nM
3ILT, TRU, BINDING_MOAD, , , , 
3ILT, TRU, BINDING_MOAD, , , , 
3ILT, TRU, BINDING_MOAD, , , , 
3ILU, HFZ, BINDING_MOAD, , , , 
3ILU, HFZ, BINDING_MOAD, , , , 
3ILU, HFZ, BINDING_MOAD, , , , 
3ILU, HFZ, BINDING_DB, NA, NA, NA, NA
2XHD, 7T9, BINDING_MOAD, , , , 
2XHD, 7T9, BINDING_DB, NA, NA, NA, NA
4IGT, 3ZA, PDB_BIND, Kd, =, 12.8, nM
4IGT, 3ZA, BINDING_MOAD, Ki, 40.8, =, uM
4IGT, 3ZA, BINDING_DB, NA, NA, NA, NA
3IL1, B5D, BINDING_MOAD, , , , 
3IL1, B5D, BINDING_MOAD, , , , 
3IL1, B5D, BINDING_MOAD, , , , 
3FAT, AMQ, PDB_BIND, Kd, =, 22.8, nM
3FAT, AMQ, BINDING_MOAD, Ki, 22.8, =, nM
3FAT, AMQ, BINDING_MOAD, Ki, 22.8, =, nM
3FAT, AMQ, BINDING_MOAD, Ki, 22.8, =, nM
3FAT, AMQ, BINDING_DB, NA, NA, NA, NA
1M5C, BRH, PDB_BIND, IC50, =, 0.5, uM
1M5C, BRH, BINDING_MOAD, ic50, 0.5, =, uM
1M5C, BRH, BINDING_DB, NA, NA, NA, NA
1M5B, BN1, PDB_BIND, IC50, =, 9.7, nM
1M5B, BN1, BINDING_MOAD, ic50, 9.7, =, nM
1M5B, BN1, BINDING_MOAD, ic50, 9.7, =, nM
1M5B, BN1, BINDING_MOAD, ic50, 9.7, =, nM
1M5B, BN1, BINDING_DB, NA, NA, NA, NA
1M5E, AM1, PDB_BIND, IC50, =, 20.1, nM
1M5E, AM1, BINDING_MOAD, ic50, 20.1, =, nM
1M5E, AM1, BINDING_MOAD, ic50, 20.1, =, nM
1M5E, AM1, BINDING_MOAD, ic50, 20.1, =, nM
1M5E, AM1, BINDING_DB, NA, NA, NA, NA
1M5D, BRH, PDB_BIND, IC50, =, 9.2, uM
1M5D, BRH, BINDING_MOAD, ic50, 9.2, =, uM
1M5D, BRH, BINDING_DB, NA, NA, NA, NA
1MY4, IWD, PDB_BIND, Ki, =, 105, nM
1MY4, IWD, BINDING_MOAD, , , , 
1MY4, IWD, BINDING_MOAD, , , , 
1MY4, IWD, BINDING_MOAD, , , , 
1MY4, IWD, BINDING_DB, NA, NA, NA, NA
3H6W, NS7, BINDING_MOAD, , , , 
3H6W, NS7, BINDING_MOAD, , , , 
3H6V, NS6, BINDING_MOAD, , , , 
3H6V, NS6, BINDING_MOAD, , , , 
3H6U, NS3, BINDING_MOAD, , , , 
3M3L, P99, BINDING_MOAD, , , , 
3M3L, P99, BINDING_MOAD, , , , 
4N07, 2J9, PDB_BIND, Kd, =, 0.35, uM
4N07, 2J9, BINDING_MOAD, Kd, 0.35, =, uM
4N07, 2J9, BINDING_MOAD, Kd, 0.35, =, uM
4N07, 2J9, BINDING_MOAD, Kd, 0.35, =, uM
3TDJ, 3TJ, PDB_BIND, Kd, =, 5.6, uM
3TDJ, 3TJ, BINDING_MOAD, , , , 
3TDJ, 3TJ, BINDING_MOAD, , , , 
2AIX, U1K, BINDING_MOAD, , , , 
2AIX, U1K, BINDING_DB, NA, NA, NA, NA
1GR2, KAI, BINDING_MOAD, , , , 
1GR2, KAI, BINDING_DB, NA, NA, NA, NA
4FAT, 496, BINDING_MOAD, , , , 
1FTM, AMQ, PDB_BIND, Kd, =, 24.8, nM
1FTM, AMQ, BINDING_MOAD, Kd, 24.8, =, nM
1FTM, AMQ, BINDING_MOAD, Kd, 24.8, =, nM
1FTM, AMQ, BINDING_MOAD, Kd, 24.8, =, nM
1FTM, AMQ, BINDING_DB, NA, NA, NA, NA
1FTL, DNQ, PDB_BIND, IC50, =, 998, nM
1FTL, DNQ, BINDING_MOAD, ic50, 998, =, nM
1FTL, DNQ, BINDING_MOAD, ic50, 998, =, nM
