PDB_ID	LIG_ID
3KGC	lig
1FTK	KAI
1FTL	DNQ
1FTM	AMQ
1FW0	KAI
1GR2	KAI
1LB8	AMQ
1LB9	DNQ
1LBB	KAI
1M5B	BN1
1M5C	BRH
1M5D	BRH
1M5E	AM1
1M5F	AM1
1MM6	QUS
1MM7	QUS
1MQD	SHI
1MQG	IWD
1MQH	BWD
1MQI	FWD
1MQJ	HWD
1MS7	SHI
1MXU	BWD
1MY2	AMQ
1MY3	BWD
1MY4	IWD
1N0T	AT1
1NNK	CE2
1NNP	CE2
1P1N	KAI
1P1O	QUS
1P1Q	AMQ
1P1U	AMQ
1P1W	AMQ
1SYH	CPW
1SYI	CPW
1WVJ	IBC
1XHY	KAI
2AIX	U1K
2AL4	QUS
2AL5	FWD
2ANJ	KAI
3B6T	QUS
3BFT	S2P
3BFU	R2P
3BKI	FQX
3DP4	AMQ
3EN3	KAI
3FAT	AMQ
3H03	UBP
3H06	VBP
3KFM	KAI
3PD8	HA7
3PD9	HA5
3R7X	QSN
3RT6	FWD
3RT8	CWD
3RTF	CWD
3RTW	NWD
3T96	IWD
3T9H	KAI
3T9U	CNI
3T9V	CNI
3TZA	TZG
3UA8	08W
4F1Y	CNI
4F22	KAI
4F29	QUS
4F2O	QUS
4F2Q	QUS
4F31	KAI
4F39	KAI
4F3G	KAI
4G8M	G8M
4GXS	0YS
4IGT	3ZA
4L17	DNQ
4Q30	NWD
4U1O	KAI
4U1Z	KAI
4U21	FWD
4U22	FWD
4U23	FWD
5FHO	5XN
5JEI	FWD
5NIH	8VE
