PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3C33, KAI, BINDING_MOAD, , , , 
3C33, KAI, BINDING_MOAD, , , , 
3C33, KAI, BINDING_DB, NA, NA, NA, NA
3C32, KAI, BINDING_MOAD, , , , 
3C32, KAI, BINDING_MOAD, , , , 
3C32, KAI, BINDING_DB, NA, NA, NA, NA
3C31, KAI, BINDING_MOAD, , , , 
3C31, KAI, BINDING_MOAD, , , , 
3C31, KAI, BINDING_DB, NA, NA, NA, NA
3C34, KAI, BINDING_MOAD, , , , 
3C34, KAI, BINDING_MOAD, , , , 
3C34, KAI, BINDING_DB, NA, NA, NA, NA
2WKY, IBC, PDB_BIND, Ki, =, 2.57, nM
2WKY, IBC, BINDING_MOAD, Ki, 2.57, =, nM
2WKY, IBC, BINDING_MOAD, Ki, 2.57, =, nM
2WKY, IBC, BINDING_DB, NA, NA, NA, NA
4DLD, TZG, PDB_BIND, Ki, =, 1.5, uM
4DLD, TZG, BINDING_MOAD, Ki, 1.5, =, uM
4DLD, TZG, BINDING_MOAD, Ki, 1.5, =, uM
3GBB, MS8, PDB_BIND, Ki, =, 126, nM
3GBB, MS8, BINDING_MOAD, Ki, 126, =, nM
3GBB, MS8, BINDING_MOAD, Ki, 126, =, nM
2OJT, UBA, BINDING_MOAD, , , , 
2OJT, UBA, BINDING_MOAD, , , , 
2OJT, UBA, BINDING_DB, NA, NA, NA, NA
3FV1, DYH, PDB_BIND, Ki, =, 0.5, nM
3FV1, DYH, BINDING_MOAD, Ki, 0.5, =, nM
3FV1, DYH, BINDING_MOAD, Ki, 0.5, =, nM
3FVK, 8DX, PDB_BIND, Ki, =, 1.5, nM
3FVK, 8DX, BINDING_MOAD, Ki, 1.5, =, nM
3FVK, 8DX, BINDING_MOAD, Ki, 1.5, =, nM
3FV2, NDZ, PDB_BIND, Ki, =, 7.7, nM
3FV2, NDZ, BINDING_MOAD, Ki, 7.7, =, nM
3FV2, NDZ, BINDING_MOAD, Ki, 7.7, =, nM
3C36, KAI, BINDING_MOAD, , , , 
3C36, KAI, BINDING_MOAD, , , , 
3C36, KAI, BINDING_DB, NA, NA, NA, NA
3C35, KAI, BINDING_MOAD, , , , 
3C35, KAI, BINDING_MOAD, , , , 
3C35, KAI, BINDING_DB, NA, NA, NA, NA
2ZNT, DYH, PDB_BIND, Ki, =, 0.5, nM
2ZNT, DYH, BINDING_MOAD, Ki, 0.5, =, nM
2ZNU, NDZ, PDB_BIND, Ki, =, 7.7, nM
2ZNU, NDZ, BINDING_MOAD, Ki, 7.7, =, nM
2F35, UBC, PDB_BIND, Kd, =, 3.94, uM
2F35, UBC, BINDING_MOAD, Kd, 3.94, =, uM
2F35, UBC, BINDING_MOAD, Kd, 3.94, =, uM
2F35, UBC, BINDING_DB, NA, NA, NA, NA
2F34, UBA, PDB_BIND, Kd, =, 0.13, uM
2F34, UBA, BINDING_MOAD, Kd, 0.13, =, uM
2F34, UBA, BINDING_MOAD, Kd, 0.13, =, uM
2F34, UBA, BINDING_DB, NA, NA, NA, NA
3FVG, MS8, PDB_BIND, Ki, =, 128, nM
3FVG, MS8, BINDING_MOAD, Ki, 128, =, nM
3FVG, MS8, BINDING_MOAD, Ki, 128, =, nM
3GBA, DYH, PDB_BIND, Ki, =, 0.848, nM
3GBA, DYH, BINDING_MOAD, Ki, 0.848, =, nM
3GBA, DYH, BINDING_MOAD, Ki, 0.848, =, nM
3GBA, DYH, BINDING_MOAD, Ki, 0.848, =, nM
3GBA, DYH, BINDING_MOAD, Ki, 0.848, =, nM
3S2V, 3HU, PDB_BIND, Ki, =, 157, nM
3S2V, 3HU, BINDING_MOAD, Ki, 157, =, nM
3S2V, 3HU, BINDING_MOAD, Ki, 157, =, nM
3S2V, 3HU, BINDING_DB, NA, NA, NA, NA
2QS2, UBF, BINDING_MOAD, Kd, 186, =, nM
2QS2, UBF, BINDING_MOAD, Kd, 186, =, nM
2QS2, UBF, BINDING_DB, NA, NA, NA, NA
2QS4, LY5, BINDING_MOAD, Kd, 38, =, nM
2QS4, LY5, BINDING_MOAD, Kd, 38, =, nM
2QS4, LY5, BINDING_MOAD, Kd, 38, =, nM
2QS4, LY5, BINDING_MOAD, Kd, 38, =, nM
2PBW, DOQ, PDB_BIND, Ki, =, 5.56, nM
2PBW, DOQ, BINDING_MOAD, Ki, 5.56, =, nM
2PBW, DOQ, BINDING_MOAD, Ki, 5.56, =, nM
2QS3, UBE, BINDING_MOAD, Kd, 1.4, =, nM
2QS3, UBE, BINDING_MOAD, Kd, 1.4, =, nM
2QS3, UBE, BINDING_DB, NA, NA, NA, NA
2QS1, UB1, BINDING_MOAD, Kd, 33, =, nM
2QS1, UB1, BINDING_MOAD, Kd, 33, =, nM
2QS1, UB1, BINDING_DB, NA, NA, NA, NA
3FVN, 9DX, PDB_BIND, Ki, =, 169, nM
3FVN, 9DX, BINDING_MOAD, Ki, 169, =, nM
3FVN, 9DX, BINDING_MOAD, Ki, 169, =, nM
3FVN, 9DX, BINDING_DB, NA, NA, NA, NA
4E0X, KAI, PDB_BIND, Ki, =, 76, nM
4E0X, KAI, BINDING_MOAD, , , , 
4E0X, KAI, BINDING_MOAD, , , , 
4E0X, KAI, BINDING_DB, NA, NA, NA, NA
, Ki, =, 76, nM
4E0X, KAI, BINDING_MOAD, , , , 
4E0X, KAI, BINDING_MOAD, , , , 
4E0X, KAI, BINDING_DB, NA, NA, NA, NA
