PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3f07, AGE, PDB_BIND, IC50, =, 2.9, uM
3f07, AGE, BINDING_DB, NA, NA, NA, NA
3MZ7, B3N, BINDING_MOAD, , , , 
3MZ7, B3N, BINDING_DB, NA, NA, NA, NA
3MZ4, B3N, BINDING_MOAD, , , , 
3MZ4, B3N, BINDING_MOAD, , , , 
3MZ4, B3N, BINDING_DB, NA, NA, NA, NA
1W22, NHB, PDB_BIND, IC50, =, 175.5, nM
1W22, NHB, BINDING_MOAD, ic50, 175.5, =, nM
1W22, NHB, BINDING_MOAD, ic50, 175.5, =, nM
3F0R, TSN, PDB_BIND, Ki, =, 130, nM
3F0R, TSN, BINDING_DB, NA, NA, NA, NA
2V5X, V5X, PDB_BIND, Kd, =, 220, nM
2V5X, V5X, BINDING_MOAD, ic50, 100, =, nM
2V5X, V5X, BINDING_MOAD, ic50, 100, =, nM
1T64, TSN, BINDING_MOAD, , , , 
1T64, TSN, BINDING_MOAD, , , , 
1T64, TSN, BINDING_MOAD, , , , 
1T64, TSN, BINDING_MOAD, , , , 
1T64, TSN, BINDING_DB, NA, NA, NA, NA
3MZ3, B3N, PDB_BIND, Ki, =, 14.8, nM
3MZ3, B3N, BINDING_DB, NA, NA, NA, NA
3EW8, B3N, BINDING_MOAD, , , , 
3EW8, B3N, BINDING_DB, NA, NA, NA, NA
3SFH, 1DI, PDB_BIND, IC50, =, 90, nM
3SFH, 1DI, BINDING_DB, NA, NA, NA, NA
3SFF, 0DI, PDB_BIND, IC50, =, 200, nM
3SFF, 0DI, BINDING_MOAD, ic50, 200, =, nM
3SFF, 0DI, BINDING_DB, NA, NA, NA, NA
1VKG, CRI, BINDING_MOAD, , , , 
1VKG, CRI, BINDING_MOAD, , , , 
3RQD, 02G, BINDING_MOAD, , , , 
3RQD, 02G, BINDING_MOAD, , , , 
1T69, SHH, PDB_BIND, Ki, =, 0.48, uM
1T69, SHH, BINDING_DB, NA, NA, NA, NA
3MZ6, B3N, PDB_BIND, Ki, =, 63, nM
3MZ6, B3N, BINDING_MOAD, , , , 
3MZ6, B3N, BINDING_DB, NA, NA, NA, NA
1T67, B3N, BINDING_MOAD, , , , 
1T67, B3N, BINDING_DB, NA, NA, NA, NA
3F06, B3N, BINDING_DB, NA, NA, NA, NA
3EZT, B3N, BINDING_DB, NA, NA, NA, NA
3EZP, B3N, BINDING_DB, NA, NA, NA, NA
