PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4E1M, TQ2, PDB_BIND, IC50, =, 55, nM
4E1M, TQ2, BINDING_MOAD, ic50, 215, =, nM
3NF8, CDQ, BINDING_MOAD, , , , 
3NF8, CDQ, BINDING_MOAD, , , , 
3NF8, CDQ, BINDING_MOAD, , , , 
3NF8, CDQ, BINDING_MOAD, , , , 
3NF8, CDQ, BINDING_MOAD, , , , 
3NF8, CDQ, BINDING_MOAD, , , , 
3NF6, IMV, PDB_BIND, IC50, =, 295, uM
3NF6, IMV, BINDING_MOAD, ic50, 295, =, uM
3NF6, IMV, BINDING_MOAD, ic50, 295, =, uM
3NF6, IMV, BINDING_MOAD, ic50, 295, =, uM
3NF6, IMV, BINDING_MOAD, ic50, 295, =, uM
3NFA, CBJ, BINDING_MOAD, , , , 
3NFA, CBJ, BINDING_MOAD, , , , 
3NFA, CBJ, BINDING_MOAD, , , , 
3NFA, CBJ, BINDING_MOAD, , , , 
3AO3, BMC, BINDING_MOAD, , , , 
3AO3, BMC, BINDING_MOAD, , , , 
3AO2, AVX, PDB_BIND, Kd, =, 0.17, mM
3AO2, AVX, BINDING_MOAD, Kd, 0.17, =, mM
3AO2, AVX, BINDING_MOAD, Kd, 0.17, =, mM
3AO5, BBY, PDB_BIND, Kd, =, 5.9, mM
3AO5, BBY, BINDING_MOAD, Kd, 5.9, =, mM
3AO5, BBY, BINDING_MOAD, Kd, 5.9, =, mM
3AO4, 833, PDB_BIND, Kd, =, 8.5, mM
3AO4, 833, BINDING_MOAD, Kd, 8.5, =, mM
3AO4, 833, BINDING_MOAD, Kd, 8.5, =, mM
3OVN, MPV, PDB_BIND, Kd, =, 2.8, mM
3OVN, MPV, BINDING_MOAD, Kd, 2.8, =, mM
3OVN, MPV, BINDING_MOAD, Kd, 2.8, =, mM
3VQ4, 0NX, BINDING_MOAD, , , , 
3VQ4, 0NX, BINDING_MOAD, , , , 
3VQ4, 0NX, BINDING_MOAD, , , , 
3VQ5, MMJ, BINDING_MOAD, , , , 
3VQ5, MMJ, BINDING_MOAD, , , , 
3VQ6, BCK, BINDING_MOAD, , , , 
3VQ7, SNU, BINDING_MOAD, , , , 
3VQ7, SNU, BINDING_MOAD, , , , 
3VQ7, SUC, BINDING_MOAD, , , , 
3VQ8, BCU, BINDING_MOAD, , , , 
3VQ8, BCU, BINDING_MOAD, , , , 
3VQ9, FBB, BINDING_MOAD, , , , 
1HYV, TTA, BINDING_MOAD, ic50, 5, >, mM
3ZSZ, OM2, BINDING_MOAD, , , , 
3ZSZ, OM2, BINDING_MOAD, , , , 
3ZSR, O3N, BINDING_MOAD, , , , 
3ZSR, O3N, BINDING_MOAD, , , , 
3ZSQ, O4N, PDB_BIND, Kd, =, 10.9, uM
3ZSQ, O4N, BINDING_MOAD, Kd, 10.9, =, uM
3ZSQ, O4N, BINDING_MOAD, Kd, 10.9, =, uM
3ZSV, ZSV, BINDING_MOAD, , , , 
3ZSV, ZSV, BINDING_MOAD, , , , 
3ZSW, ZSW, BINDING_MOAD, , , , 
3ZSW, ZSW, BINDING_MOAD, , , , 
3NF9, CD9, PDB_BIND, IC50, =, 290, uM
3NF9, CD9, BINDING_MOAD, ic50, 290, =, uM
3NF9, CD9, BINDING_MOAD, ic50, 290, =, uM
4DMN, 0L9, PDB_BIND, IC50, =, 2.3, uM
4DMN, 0L9, BINDING_MOAD, ic50, 2.3, =, uM
3ZCM, PX3, BINDING_MOAD, Kd, 519, =, uM
3ZCM, PX3, BINDING_MOAD, Kd, 519, =, uM
4E1N, TQX, PDB_BIND, IC50, =, 67, nM
4E1N, TQX, BINDING_MOAD, ic50, 19, =, nM
3VQP, DBJ, BINDING_MOAD, , , , 
3VQQ, BTE, BINDING_MOAD, , , , 
3VQQ, BTE, BINDING_MOAD, , , , 
3VQA, MWP, BINDING_MOAD, , , , 
3VQB, FBG, BINDING_MOAD, , , , 
3VQC, MPK, BINDING_MOAD, , , , 
4CEB, ZSV, PDB_BIND, Kd, =, 1080, uM
