PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1HWR, 216, PDB_BIND, Ki, =, 4.70, nM
1HWR, 216, BINDING_MOAD, Ki, 4.7, =, nM
1HWR, 216, BINDING_DB, NA, NA, NA, NA
3I7E, DJR, PDB_BIND, Ki, =, 14, pM
3I7E, DJR, BINDING_MOAD, ic50, 1.2, =, nM
3I7E, DJR, BINDING_DB, NA, NA, NA, NA
2BQV, A1A, PDB_BIND, Ki, =, 9, nM
2BQV, A1A, BINDING_MOAD, Ki, 9, =, nM
2BQV, A1A, BINDING_DB, NA, NA, NA, NA
1ZSF, 0ZS, BINDING_MOAD, Ki, 0.12, =, nM
1SBG, IM1, PDB_BIND, Ki, =, 18, nM
1SBG, IM1, BINDING_MOAD, Ki, 18, =, nM
3SPK, TPV, PDB_BIND, IC50, =, 3.02, nM
3SPK, TPV, BINDING_MOAD, ic50, 3.02, =, nM
3SPK, TPV, BINDING_MOAD, ic50, 3.02, =, nM
3SPK, TPV, BINDING_DB, NA, NA, NA, NA
1DW6, 0Q4, BINDING_MOAD, , , , 
1NPW, LGZ, PDB_BIND, IC50, =, 2.0, nM
1NPW, LGZ, BINDING_MOAD, ic50, 2, =, nM
1NPW, LGZ, BINDING_DB, NA, NA, NA, NA
1NPV, L27, PDB_BIND, IC50, =, 5.7, nM
1NPV, L27, BINDING_MOAD, ic50, 5.7, =, nM
1NPV, L27, BINDING_DB, NA, NA, NA, NA
1NPA, 3NH, PDB_BIND, IC50, =, 2.0, nM
1NPA, 3NH, BINDING_MOAD, ic50, 2, =, nM
1W5W, BE4, PDB_BIND, Ki, =, 1.6, nM
1W5W, BE4, BINDING_MOAD, Ki, 1.6, =, nM
1W5W, BE4, BINDING_DB, NA, NA, NA, NA
3CYX, ROC, PDB_BIND, Ki, =, 10, nM
3CYX, ROC, BINDING_MOAD, Ki, 10, =, nM
3CYX, ROC, BINDING_DB, NA, NA, NA, NA
1T3R, 017, BINDING_MOAD, Ki, 14, =, pM
1T3R, 017, BINDING_DB, NA, NA, NA, NA
2R5Q, 1UN, BINDING_MOAD, Ki, 2.7, =, nM
2R5Q, 1UN, BINDING_MOAD, Ki, 2.7, =, nM
2R5Q, 1UN, BINDING_DB, NA, NA, NA, NA
2R5P, MK1, BINDING_MOAD, Ki, 3.3, =, nM
2R5P, MK1, BINDING_MOAD, Ki, 3.3, =, nM
2R5P, MK1, BINDING_DB, NA, NA, NA, NA
4EJD, 1F1, BINDING_MOAD, Kd, 14.5, =, uM
1UPJ, U01, BINDING_MOAD, , , , 
4EJL, IOP, PDB_BIND, Kd, =, 7.2, uM
4EJL, IOP, BINDING_MOAD, Kd, 7.2, =, uM
4EJL, IOP, BINDING_DB, NA, NA, NA, NA
4EJK, IOP, BINDING_MOAD, Kd, 5.3, =, uM
4EJK, IOP, BINDING_DB, NA, NA, NA, NA
1BV9, XV6, PDB_BIND, Ki, =, 0.11, nM
1BV9, XV6, BINDING_MOAD, Ki, 1.1, =, nM
1BV9, XV6, BINDING_DB, NA, NA, NA, NA
1BV7, XV6, PDB_BIND, Ki, =, 0.05, nM
1BV7, XV6, BINDING_MOAD, Ki, 0.5, =, nM
1BV7, XV6, BINDING_DB, NA, NA, NA, NA
1FFI, 2NC, BINDING_MOAD, , , , 
3S54, 017, PDB_BIND, Ki, =, 0.23, nM
3S54, 017, BINDING_MOAD, Ki, 0.23, =, nM
1K2B, 0Q4, BINDING_MOAD, , , , 
4DFG, 0JV, PDB_BIND, Ki, =, 1.8, pM
4DFG, 0JV, BINDING_MOAD, Ki, 1.8, =, pM
1ZTZ, CB5, PDB_BIND, Ki, =, 66, nM
1ZTZ, CB5, BINDING_MOAD, Ki, 66, =, nM
1ZTZ, CB5, BINDING_MOAD, Ki, 66, =, nM
4K4R, 27B, BINDING_MOAD, , , , 
4K4R, 27B, BINDING_MOAD, , , , 
4K4R, 3TL, BINDING_MOAD, , , , 
4K4Q, 06B, BINDING_MOAD, , , , 
4K4Q, 06B, BINDING_MOAD, , , , 
4K4Q, 06B, BINDING_MOAD, , , , 
4K4Q, 3TL, BINDING_MOAD, , , , 
4K4P, 3TL, BINDING_MOAD, , , , 
3BXS, DRS, PDB_BIND, Ki, =, 8, uM
3BXS, DRS, BINDING_MOAD, Ki, 8, =, uM
3BXS, DRS, BINDING_MOAD, Ki, 8, =, uM
3BXR, DRR, BINDING_MOAD, Ki, 0.8, =, uM
3BXR, DRR, BINDING_DB, NA, NA, NA, NA
3LZS, 017, PDB_BIND, Kd, =, 0.0109, nM
3LZS, 017, BINDING_MOAD, Kd, 0.0109, =, nM
3LZS, 017, BINDING_DB, NA, NA, NA, NA
3GGA, GGW, BINDING_MOAD, , , , 
4HLA, 017, PDB_BIND, Ki, =, 16, pM
4HLA, 017, BINDING_MOAD, , , , 
3NYG, 2NC, BINDING_MOAD, , , , 
3ZPU, M8B, PDB_BIND, Ki, =, 4.2, nM
3ZPU, M8B, BINDING_MOAD, Ki, 4.2, =, nM
3ZPT, M8Y, PDB_BIND, Ki, =, 3.1, nM
3ZPT, M8Y, BINDING_MOAD, Ki, 3.1, =, nM
3ZPS, EQM, PDB_BIND, Ki, =, 5.0, nM
3ZPS, EQM, BINDING_MOAD, , , , 
1FF0, 2NC, BINDING_MOAD, , , , 
4KB9, G79, PDB_BIND, Ki, =, 0.01, nM
4KB9, G79, BINDING_MOAD, Ki, 0.01, =, nM
1BVE, DMP, BINDING_DB, NA, NA, NA, NA
2QNP, QN2, PDB_BIND, Ki, =, 0.39, uM
2QNP, QN2, BINDING_MOAD, Ki, 0.39, =, uM
2QNN, QN1, PDB_BIND, Ki, =, 0.07, uM
2QNN, QN1, BINDING_MOAD, Ki, 0.07, =, uM
3DK1, G05, PDB_BIND, Ki, =, 0.18, nM
3DK1, G05, BINDING_MOAD, Ki, 0.18, =, nM
1BDL, IM1, PDB_BIND, Ki, =, 1.41, uM
1BDQ, IM1, PDB_BIND, Ki, =, 0.46, uM
1BDQ, IM1, BINDING_MOAD, Ki, 460, =, nM
2QAK, 1UN, BINDING_DB, NA, NA, NA, NA
4DQF, 017, BINDING_MOAD, , , , 
2Z4O, 065, PDB_BIND, Ki, =, 0.27, nM
2Z4O, 065, BINDING_MOAD, Ki, 0.27, =, nM
4A4Q, UX9, PDB_BIND, Ki, =, 0.4, nM
2Q3K, MUW, BINDING_MOAD, , , , 
1B6K, PI5, PDB_BIND, Ki, =, 1.8, nM
1B6K, PI5, BINDING_MOAD, Ki, 1.8, =, nM
1B6K, PI5, BINDING_DB, NA, NA, NA, NA
1HIH, C20, PDB_BIND, Ki, =, 9, nM
1HIH, C20, BINDING_MOAD, Ki, 9, =, nM
1HIH, C20, BINDING_DB, NA, NA, NA, NA
1B6M, PI6, PDB_BIND, Ki, =, 4, nM
1B6M, PI6, BINDING_MOAD, Ki, 4, =, nM
1B6M, PI6, BINDING_DB, NA, NA, NA, NA
1B6L, PI4, PDB_BIND, Ki, =, 5, nM
1B6L, PI4, BINDING_MOAD, Ki, 5, =, nM
1B6L, PI4, BINDING_DB, NA, NA, NA, NA
1DMP, DMQ, BINDING_MOAD, Ki, 0.28, =, nM
1DMP, DMQ, BINDING_DB, NA, NA, NA, NA
1ZSR, 0ZT, BINDING_MOAD, Ki, 0.15, =, nM
1D4Y, TPV, PDB_BIND, Ki, =, 0.008, nM
1D4Y, TPV, BINDING_MOAD, Ki, 0.008, =, nM
1D4Y, TPV, BINDING_DB, NA, NA, NA, NA
1HIV, 1ZK, BINDING_MOAD, Ki, 1, <, nM
1B6P, PI7, PDB_BIND, Ki, =, 3, nM
1B6P, PI7, BINDING_MOAD, Ki, 3, =, nM
1B6P, PI7, BINDING_DB, NA, NA, NA, NA
4DJR, 0KJ, PDB_BIND, Ki, =, 0.003, nM
4DJR, 0KJ, BINDING_MOAD, Ki, 0.003, =, nM
4DJP, M73, PDB_BIND, Ki, =, 0.028, nM
4DJP, M73, BINDING_MOAD, Ki, 0.028, =, nM
3S53, 017, PDB_BIND, Ki, =, 0.23, nM
3S53, 017, BINDING_MOAD, Ki, 0.23, =, nM
3S53, 017, BINDING_MOAD, Ki, 0.23, =, nM
2UPJ, U02, PDB_BIND, Ki, =, 0.041, uM
2UPJ, U02, BINDING_DB, NA, NA, NA, NA
4DQH, 017, BINDING_MOAD, , , , 
4DQE, 017, BINDING_MOAD, , , , 
1RQ9, DMQ, BINDING_DB, NA, NA, NA, NA
4DQC, 017, BINDING_MOAD, , , , 
4DQB, 017, BINDING_MOAD, , , , 
3SA4, F72, BINDING_DB, NA, NA, NA, NA
1MSN, JE2, BINDING_MOAD, Kd, 81, =, nM
1MSN, JE2, BINDING_DB, NA, NA, NA, NA
1MSM, JE2, BINDING_MOAD, Kd, 33, =, pM
1MSM, JE2, BINDING_DB, NA, NA, NA, NA
3SA6, F71, BINDING_DB, NA, NA, NA, NA
3NWQ, 2NC, BINDING_MOAD, , , , 
1K6V, XN2, PDB_BIND, Kd, =, 120, nM
1K6V, XN2, BINDING_MOAD, Kd, 120, =, nM
3NWX, KVS, BINDING_MOAD, , , , 
1K6P, XN3, PDB_BIND, Kd, =, 44, nM
1K6P, XN3, BINDING_MOAD, Kd, 44, =, nM
2A1E, IPF, BINDING_MOAD, , , , 
2FXD, DR7, BINDING_MOAD, ic50, 12, =, nM
2FXD, DR7, BINDING_DB, NA, NA, NA, NA
2FXE, DR7, BINDING_MOAD, , , , 
2FXE, DR7, BINDING_DB, NA, NA, NA, NA
1K6C, MK1, PDB_BIND, Kd, =, 33, nM
1K6C, MK1, BINDING_MOAD, Kd, 33, =, nM
1K6C, MK1, BINDING_DB, NA, NA, NA, NA
2CEJ, 1AH, PDB_BIND, Ki, =, 2.4, nM
2CEJ, 1AH, BINDING_MOAD, Ki, 2.4, =, nM
2CEJ, 1AH, BINDING_DB, NA, NA, NA, NA
1FB7, ROC, BINDING_DB, NA, NA, NA, NA
3GI5, K62, PDB_BIND, Ki, =, 6, pM
3GI5, K62, BINDING_MOAD, Ki, 0.006, =, nM
3GI5, K62, BINDING_DB, NA, NA, NA, NA
3GI4, K60, PDB_BIND, Ki, =, 16, pM
3GI4, K60, BINDING_MOAD, Ki, 0.016, =, nM
3GI4, K60, BINDING_DB, NA, NA, NA, NA
3GI6, D78, PDB_BIND, Ki, =, 6, pM
3GI6, D78, BINDING_MOAD, Ki, 0.006, =, nM
3GI6, D78, BINDING_DB, NA, NA, NA, NA
4PHV, VAC, PDB_BIND, IC50, =, 0.67, nM
4PHV, VAC, BINDING_MOAD, ic50, 0.67, =, nM
4PHV, VAC, BINDING_MOAD, ic50, 0.67, =, nM
4PHV, VAC, BINDING_DB, NA, NA, NA, NA
1VIJ, BAY, PDB_BIND, IC50, =, 0.3, nM
1VIJ, BAY, BINDING_MOAD, Ki, 0.3, =, nM
1VIK, BAY, PDB_BIND, IC50, =, 0.3, nM
1VIK, BAY, BINDING_MOAD, Ki, 0.3, =, nM
1G2K, NM1, PDB_BIND, Ki, =, 11, nM
1G2K, NM1, BINDING_MOAD, Ki, 11, =, nM
1G2K, NM1, BINDING_DB, NA, NA, NA, NA
2B60, RIT, BINDING_DB, NA, NA, NA, NA
4JEC, 478, BINDING_DB, NA, NA, NA, NA
1AAQ, PSI, PDB_BIND, Ki, =, 4.0, nM
1AAQ, PSI, BINDING_MOAD, Ki, 3, =, nM
1AAQ, PSI, BINDING_DB, NA, NA, NA, NA
1EC3, MS3, PDB_BIND, Ki, =, 0.92, nM
1EC3, MS3, BINDING_MOAD, Ki, 0.92, =, nM
1EC3, MS3, BINDING_DB, NA, NA, NA, NA
1EC2, BEJ, PDB_BIND, Ki, =, 0.10, nM
1EC2, BEJ, BINDING_MOAD, Ki, 0.1, =, nM
1EC2, BEJ, BINDING_DB, NA, NA, NA, NA
1EC1, BEE, PDB_BIND, Ki, =, 1.20, nM
1EC1, BEE, BINDING_MOAD, Ki, 1.2, =, nM
1EC1, BEE, BINDING_DB, NA, NA, NA, NA
1EC0, BED, PDB_BIND, Ki, =, 3.2, nM
1EC0, BED, BINDING_MOAD, Ki, 3.2, =, nM
1EC0, BED, BINDING_DB, NA, NA, NA, NA
1K6T, XN1, PDB_BIND, Kd, =, 24, nM
1K6T, XN1, BINDING_MOAD, Kd, 24, =, nM
1IIQ, 0ZR, BINDING_MOAD, Ki, 33, =, nM
3VFA, 031, PDB_BIND, Ki, =, 0.65, nM
3CYW, 017, PDB_BIND, Ki, =, 17, nM
3CYW, 017, BINDING_MOAD, Ki, 17, =, nM
3CYW, 017, BINDING_DB, NA, NA, NA, NA
3VFB, 031, PDB_BIND, Ki, =, 0.92, nM
1QBR, XV6, BINDING_MOAD, Ki, 0.027, =, nM
1QBR, XV6, BINDING_DB, NA, NA, NA, NA
2F8G, 017, PDB_BIND, Ki, =, 2.0, nM
2F8G, 017, BINDING_MOAD, Ki, 2, =, nM
2F8G, 017, BINDING_DB, NA, NA, NA, NA
