PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1EP4, S11, BINDING_MOAD, , , , 
1EP4, S11, BINDING_DB, NA, NA, NA, NA
2YNI, CXD, BINDING_MOAD, , , , 
1JLF, NVP, BINDING_DB, NA, NA, NA, NA
2RKI, TT1, BINDING_MOAD, , , , 
1BQM, HBY, PDB_BIND, IC50, =, 0.045, uM
1BQM, HBY, BINDING_DB, NA, NA, NA, NA
1LWE, NVP, BINDING_DB, NA, NA, NA, NA
3V4I, ATM, BINDING_DB, NA, NA, NA, NA
2BE2, R22, PDB_BIND, IC50, =, 2, nM
2BE2, R22, BINDING_MOAD, ic50, 0.002, =, uM
3V6D, ATM, BINDING_DB, NA, NA, NA, NA
1BQN, HBY, PDB_BIND, IC50, =, 0.60, uM
1BQN, HBY, BINDING_DB, NA, NA, NA, NA
1N5Y, ATM, BINDING_DB, NA, NA, NA, NA
1TKT, H12, PDB_BIND, IC50, =, 0.71, uM
1TKT, H12, BINDING_DB, NA, NA, NA, NA
1TL1, H18, PDB_BIND, IC50, =, 0.38, uM
1TL1, H18, BINDING_DB, NA, NA, NA, NA
3DOL, GWI, BINDING_MOAD, , , , 
1KLM, SPP, BINDING_DB, NA, NA, NA, NA
2OPQ, HBQ, BINDING_DB, NA, NA, NA, NA
2OPP, HBQ, BINDING_DB, NA, NA, NA, NA
2OPS, HBQ, BINDING_MOAD, , , , 
2OPS, HBQ, BINDING_DB, NA, NA, NA, NA
3T1A, 5MA, PDB_BIND, Ki, =, 4.3, nM
3T1A, 5MA, BINDING_MOAD, Ki, 4.3, =, nM
3BGR, T27, BINDING_MOAD, , , , 
1TKX, GWB, PDB_BIND, IC50, =, 29, nM
1DTT, FTC, PDB_BIND, IC50, =, 5, nM
1DTQ, FPT, PDB_BIND, IC50, =, 6, nM
1LW2, U05, BINDING_DB, NA, NA, NA, NA
1LW0, NVP, BINDING_DB, NA, NA, NA, NA
