PDB_ID	LIG_ID
3LAN	lig
1BQM	HBY
1BQN	HBY
1C0T	BM1
1C0U	BM5
1C1B	GCA
1C1C	612
1DTQ	FPT
1DTT	FTC
1EET	BFU
1EP4	S11
1FK9	EFZ
1FKO	EFZ
1FKP	NVP
1HNI	AAA
1HNV	TBO
1HPZ	AAP
1HQU	HBY
1IKV	EFZ
1IKW	EFZ
1IKX	PNU
1IKY	MSD
1JKH	EFZ
1JLA	TNK
1JLB	NVP
1JLC	FTC
1JLF	NVP
1JLG	UC1
1JLQ	SBN
1KLM	SPP
1LW0	NVP
1LW2	U05
1LWC	NVP
1LWE	NVP
1LWF	NVP
1REV	TB9
1RT1	MKC
1RT2	TNK
1RT3	U05
1RT4	UC1
1RT5	UC2
1RT6	UC3
1RT7	UC4
1RTH	U05
1RTI	HEF
1S1T	UC1
1S1U	NVP
1S1V	TNK
1S1W	UC1
1S1X	NVP
1S6P	IET
1S6Q	TPB
1S9E	ADB
1S9G	ABZ
1SUQ	185
1SV5	65B
1TKT	H12
1TKX	GWB
1TKZ	H16
1TL1	H18
1TL3	H20
1TV6	CP9
1TVR	TB9
1UWB	TBO
1VRT	NVP
1VRU	AAP
2B5J	3AC
2B6A	T50
2BAN	357
2BE2	R22
2HND	NVP
2HNY	NVP
2HNZ	PC0
2I5J	K05
2IC3	HBY
2JLE	I15
2OPP	HBQ
2OPQ	HBQ
2OPR	HBQ
2OPS	HBQ
2RF2	MRX
2RKI	TT1
2VG5	NNC
2VG6	NNB
2VG7	NNI
2WOM	ZZE
2WON	ZZE
2YKM	YKN
2YKN	YKN
2YNF	WHU
2YNG	WHU
2YNH	EUR
2YNI	CXD
2ZD1	T27
2ZE2	T27
3BGR	T27
3C6T	M14
3C6U	M22
3DI6	PDZ
3DLE	GFA
3DLG	GWE
3DM2	GWE
3DMJ	GWE
3DOK	GWJ
3DOL	GWI
3DRP	R8E
3DRR	R8E
3DRS	R8D
3DYA	PZL
3E01	PZ2
3FFI	3OB
3HVT	NVP
3I0R	RT3
3I0S	RT7
3IRX	UDR
3IS9	AC7
3LAK	KR1
3LAL	KRV
3LAM	KRP
3LP0	NVP
3LP1	NVP
3LP2	LP9
3M8P	65B
3M8Q	DJZ
3MEC	65B
3MED	65B
3MEE	T27
3MEG	T27
3NBP	JGZ
3QIP	NVP
3QLH	T27
3QO9	QO9
3T19	5MA
3T1A	5MA
3TAM	M06
4G1Q	T27
4H4M	494
4H4O	506
4I2P	G73
4I2Q	1BT
4I7F	NVE
4ICL	T27
4ID5	T27
4IDK	T27
4IFV	T27
4IFY	T27
4IG0	1FG
4IG3	T27
4KFB	T27
4KKO	1RE
4KO0	JLJ
4KV8	1WT
4LSL	1YQ
4LSN	1YR
4MFB	29T
4NCG	2KW
4O44	2RS
4O4G	2RT
4RW4	494
4RW6	494
4RW7	3X6
4RW8	3X6
4RW9	3X6
4WE1	3LQ
5C24	4XO
5C25	639
5C42	29T
5CYM	T27
5CYQ	T27
5FDL	5DV
5HBM	NVP
5K14	IB1
5TEP	7AX
5TER	7AY
5TUQ	J63
5TW3	7N1
5VQQ	9JP
5VQR	9KG
5VQS	9KD
5VQT	9K7
5VQU	9JP
5VQV	9J1
5VQW	9KD
5VQX	9HY
5VQY	9J1
5VQZ	9HY
