PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1DQ8, COA, BINDING_MOAD, , , , 
1DQ8, COA, BINDING_MOAD, , , , 
1DQ8, COA, BINDING_MOAD, , , , 
1DQ8, COA, BINDING_MOAD, , , , 
1DQ8, MAH, BINDING_MOAD, , , , 
1DQ8, MAH, BINDING_MOAD, , , , 
1DQ8, MAH, BINDING_MOAD, , , , 
1DQ8, MAH, BINDING_MOAD, , , , 
1DQ8, MAH, BINDING_DB, NA, NA, NA, NA
3CDA, 8HI, PDB_BIND, Kd, =, 26.3, nM
3CDA, 8HI, BINDING_MOAD, Kd, 26.3, =, nM
3CDA, 8HI, BINDING_MOAD, Kd, 26.3, =, nM
3CDA, 8HI, BINDING_MOAD, Kd, 26.3, =, nM
3CDA, 8HI, BINDING_MOAD, Kd, 26.3, =, nM
2Q1L, 882, PDB_BIND, IC50, =, 12.4, nM
2Q1L, 882, BINDING_MOAD, ic50, 12.4, =, nM
2Q1L, 882, BINDING_MOAD, ic50, 12.4, =, nM
2Q1L, 882, BINDING_MOAD, ic50, 12.4, =, nM
2Q1L, 882, BINDING_MOAD, ic50, 12.4, =, nM
2Q1L, 882, BINDING_DB, NA, NA, NA, NA
3BGL, RID, PDB_BIND, IC50, =, 4.5, nM
3BGL, RID, BINDING_MOAD, ic50, 4.5, =, nM
3BGL, RID, BINDING_MOAD, ic50, 4.5, =, nM
3BGL, RID, BINDING_MOAD, ic50, 4.5, =, nM
3BGL, RID, BINDING_MOAD, ic50, 4.5, =, nM
2Q6B, HR2, PDB_BIND, IC50, =, 0.3, nM
2Q6B, HR2, BINDING_MOAD, ic50, 0.3, =, nM
2Q6B, HR2, BINDING_MOAD, ic50, 0.3, =, nM
2Q6B, HR2, BINDING_MOAD, ic50, 0.3, =, nM
2Q6B, HR2, BINDING_MOAD, ic50, 0.3, =, nM
3CD0, 6HI, PDB_BIND, Kd, =, 26.9, nM
3CD0, 6HI, BINDING_MOAD, Kd, 26.9, =, nM
