PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1YET, GDM, PDB_BIND, Kd, =, 1.2, uM
1YET, GDM, BINDING_MOAD, , , , 
1YET, GDM, BINDING_DB, NA, NA, NA, NA
2YK2, YJW, BINDING_MOAD, , , , 
2YK2, YJW, BINDING_DB, NA, NA, NA, NA
2YK2, YJX, BINDING_MOAD, , , , 
2YK9, YK9, PDB_BIND, IC50, =, 8.1, uM
2YK9, YK9, BINDING_MOAD, , , , 
2VCI, 2GJ, PDB_BIND, IC50, =, 21, nM
2VCI, 2GJ, BINDING_MOAD, ic50, 0.021, =, uM
2VCI, 2GJ, BINDING_DB, NA, NA, NA, NA
3T0Z, ATP, BINDING_MOAD, , , , 
3T0Z, ATP, BINDING_DB, NA, NA, NA, NA
2YE8, 2D3, BINDING_MOAD, , , , 
2CCS, 4BH, PDB_BIND, IC50, =, 2.0, uM
2CCS, 4BH, BINDING_MOAD, ic50, 2, =, uM
2CCS, 4BH, BINDING_DB, NA, NA, NA, NA
2CCT, 2E1, PDB_BIND, IC50, =, 9.5, uM
2CCT, 2E1, BINDING_MOAD, ic50, 6.3, =, uM
2CCT, 2E1, BINDING_DB, NA, NA, NA, NA
2CCU, 2D9, PDB_BIND, IC50, =, 0.74, uM
2CCU, 2D9, BINDING_DB, NA, NA, NA, NA
3QTF, 05S, PDB_BIND, IC50, =, 0.11, uM
3QTF, 05S, BINDING_MOAD, ic50, 0.11, =, uM
3QTF, 05S, BINDING_DB, NA, NA, NA, NA
2YJX, YJX, PDB_BIND, IC50, =, 7.6, uM
2YJX, YJX, BINDING_MOAD, , , , 
3T10, ACP, BINDING_MOAD, , , , 
3OWB, BSM, PDB_BIND, IC50, =, 19, nM
3OWB, BSM, BINDING_MOAD, , , , 
3OWB, BSM, BINDING_DB, NA, NA, NA, NA
2XJX, XJX, PDB_BIND, Kd, =, 0.71, nM
2XJX, XJX, BINDING_MOAD, Kd, 0.71, =, nM
3OWD, MEY, PDB_BIND, IC50, =, 30, nM
3OWD, MEY, BINDING_MOAD, , , , 
3OWD, MEY, BINDING_DB, NA, NA, NA, NA
2XDL, 2DL, PDB_BIND, Kd, =, 790, uM
2XDL, 2DL, BINDING_MOAD, Kd, 790, =, uM
2BZ5, AB4, PDB_BIND, IC50, =, 0.7, uM
2BZ5, AB4, BINDING_DB, NA, NA, NA, NA
2XDK, XDK, PDB_BIND, Kd, =, 250, uM
2XDK, XDK, BINDING_MOAD, Kd, 250, =, uM
2XDK, XDK, BINDING_DB, NA, NA, NA, NA
2WI2, ZZ3, PDB_BIND, IC50, =, 350, uM
2WI2, ZZ3, BINDING_MOAD, ic50, 350, =, uM
2WI2, ZZ3, BINDING_MOAD, ic50, 350, =, uM
2WI2, ZZ3, BINDING_DB, NA, NA, NA, NA
2XDX, WOE, PDB_BIND, Kd, =, 0.35, uM
2XDX, WOE, BINDING_MOAD, Kd, 0.35, =, uM
2XDX, WOE, BINDING_DB, NA, NA, NA, NA
2XDU, MT0, BINDING_MOAD, , , , 
2XDS, MT0, BINDING_MOAD, , , , 
4AWO, 99B, PDB_BIND, IC50, =, 24, nM
4AWO, 99B, BINDING_MOAD, ic50, 24, =, nM
4AWO, 99B, BINDING_MOAD, ic50, 24, =, nM
2BYI, 2DD, PDB_BIND, IC50, =, 0.461, uM
2BYI, 2DD, BINDING_MOAD, ic50, 0.461, =, uM
2BYI, 2DD, BINDING_DB, NA, NA, NA, NA
2BYH, 2D7, PDB_BIND, IC50, =, 0.258, uM
2BYH, 2D7, BINDING_MOAD, ic50, 0.258, =, uM
2BYH, 2D7, BINDING_DB, NA, NA, NA, NA
4EEH, HH6, PDB_BIND, IC50, =, 45, uM
4EEH, HH6, BINDING_MOAD, ic50, 45, =, uM
4EEH, HH6, BINDING_DB, NA, NA, NA, NA
2WI3, ZZ3, BINDING_MOAD, ic50, 350, =, uM
2WI3, ZZ3, BINDING_DB, NA, NA, NA, NA
2WI6, ZZ6, PDB_BIND, IC50, =, 0.23, uM
2WI6, ZZ6, BINDING_MOAD, ic50, 0.23, =, uM
2WI6, ZZ6, BINDING_DB, NA, NA, NA, NA
2WI7, 2KL, PDB_BIND, IC50, =, 58, nM
2WI7, 2KL, BINDING_MOAD, ic50, 0.058, =, uM
2WI7, 2KL, BINDING_DB, NA, NA, NA, NA
2WI5, ZZ5, PDB_BIND, IC50, =, 0.90, uM
2WI5, ZZ5, BINDING_MOAD, ic50, 0.9, =, uM
2WI5, ZZ5, BINDING_DB, NA, NA, NA, NA
4FCR, 0TM, PDB_BIND, Kd, =, 0.4, nM
4FCR, 0TM, BINDING_MOAD, Kd, 0.4, =, nM
4FCQ, 2N6, PDB_BIND, Kd, =, 0.101, uM
4FCQ, 2N6, BINDING_MOAD, Kd, 0.156, =, uM
4FCQ, 2N6, BINDING_DB, NA, NA, NA, NA
2YKE, YKE, PDB_BIND, IC50, =, 1.1, uM
2YKE, YKE, BINDING_MOAD, , , , 
2YKB, YKB, PDB_BIND, IC50, =, 1.1, uM
2YKB, YKB, BINDING_MOAD, , , , 
2YKC, YKC, PDB_BIND, IC50, =, 0.78, uM
2YKC, YKC, BINDING_MOAD, , , , 
3R4M, WOE, PDB_BIND, Ki, =, 1.2, uM
3R4M, WOE, BINDING_MOAD, Ki, 1.2, =, uM
3R4M, WOE, BINDING_DB, NA, NA, NA, NA
2YKJ, YKJ, PDB_BIND, IC50, =, 0.61, uM
2YKJ, YKJ, BINDING_MOAD, , , , 
2YKI, YKI, PDB_BIND, Kd, =, 0.35, nM
2YKI, YKI, BINDING_MOAD, Kd, 0.35, =, nM
2YKI, YKI, BINDING_DB, NA, NA, NA, NA
