PDB_ID	LIG_ID
1UYG	lig
1BYQ	ADP
1OSF	KOS
1UY6	PU3
1UY7	PU4
1UY8	PU5
1UY9	PU6
1UYC	PU7
1UYD	PU8
1UYE	PU9
1UYF	PU1
1UYH	PU0
1UYI	PUZ
1UYK	PUX
1UYM	PU3
1YC1	4BC
1YC3	4BC
1YC4	43P
1YET	GDM
2BSM	BSM
2BT0	CT5
2BYH	2D7
2BYI	2DD
2BZ5	AB4
2CCS	4BH
2CCT	2E1
2CCU	2D9
2FWY	H64
2FWZ	H71
2H55	DZ8
2QF6	A56
2QG0	A94
2QG2	A91
2UWD	2GG
2VCI	2GJ
2VCJ	2EQ
2WI1	ZZ2
2WI2	ZZ3
2WI3	ZZ3
2WI4	ZZ4
2WI5	ZZ5
2WI6	ZZ6
2WI7	2KL
2XAB	VHD
2XDK	XDK
2XDL	2DL
2XDX	WOE
2XHR	C0P
2XHT	C0Y
2XHX	T5M
2XJG	XJG
2XJX	XJX
2XK2	ADP
2YE2	XQI
2YE3	VXX
2YE4	2FY
2YE7	2GA
2YE8	2D3
2YE9	2D4
2YEA	2A9
2YEF	ANP
2YEH	2KU
2YI0	YI0
2YI5	YI5
2YI6	6QM
2YI7	BZ8
2YJW	YJW
2YJX	YJX
2YK9	YK9
2YKB	YKB
2YKC	YKC
2YKE	YKE
2YKI	YKI
2YKJ	YKJ
3B24	B2J
3B25	B2K
3B26	B2L
3B27	B2T
3B28	B2X
3BM9	BXZ
3BMY	CXZ
3D0B	SNX
3EKO	PYU
3EKR	PY9
3FT5	MO8
3FT8	MOJ
3HEK	BD0
3HHU	819
3HYY	37D
3HYZ	42C
3HZ5	Z64
3INW	JZB
3INX	JZC
3K97	4CD
3K98	1RC
3K99	PFT
3MNR	SD1
3NMQ	7PP
3O0I	P54
3OW6	MEX
3OWB	BSM
3OWD	MEY
3QDD	94M
3QTF	05S
3R4M	WOE
3R4N	FU5
3R4O	FU3
3R91	06H
3R92	06J
3RKZ	06T
3RLP	3RP
3RLQ	3RQ
3RLR	3RR
3T0Z	ATP
3T10	ACP
3T1K	ANP
3T2S	AGS
3TUH	TUH
3VHA	VHA
3VHC	VHC
3VHD	VHE
3WHA	WHA
3WQ9	YUK
4AWO	99B
4AWP	99A
4AWQ	592
4B7P	9UN
4BQG	50Q
4BQJ	XKL
4CWF	H05
4CWN	6LV
4CWO	T62
4CWP	TV2
4CWQ	W2D
4CWR	HAJ
4CWS	G3R
4CWT	IK9
4EEH	HH6
4EFT	EFT
4EGH	0OY
4EGI	B2J
4EGK	RDC
4FCP	42C
4FCQ	2N6
4FCR	0TM
4HY6	FJ1
4JQL	VJ6
4L8Z	RL1
4L90	RL3
4L91	X29
4L93	S36
4L94	S46
4LWE	FJ2
4LWF	FJ3
4LWG	FJ4
4LWH	FJ5
4LWI	FJ6
4NH8	2LC
4O04	2Q8
4O05	2Q9
4O07	FGH
4O09	2R6
4O0B	2QA
4R3M	JR9
4U93	990
4W7T	3JC
4XIP	40W
4YKQ	4EO
4YKR	4EP
4YKT	4EQ
4YKU	4ER
4YKW	4ES
4YKX	4ET
4YKY	4EU
4YKZ	4EV
5CF0	FJS
5FNC	IEE
5FND	IQ5
5GGZ	6TN
5H22	7FT
5J20	6FJ
5J27	6FF
5J2X	6DL
5J64	6G7
5J6L	6GC
5J6M	6FJ
5J6N	6FF
5J82	6GV
5J86	6GW
5J8M	6DL
5J8U	6DL
5J9X	6GC
5LNY	70K
5LNZ	70Z
5LO0	70N
5LO1	70L
5LO5	70M
5LO6	70O
5LQ9	72K
5LR1	72Y
5LR7	73J
5LRL	73S
5LRZ	73Y
5LS1	73Z
5M4H	7FX
5T21	74E
