PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4ISE, 1FW, BINDING_MOAD, , , , 
4ISE, 1FW, BINDING_DB, NA, NA, NA, NA
4ISE, GLC, BINDING_MOAD, , , , 
4ISF, 1FX, BINDING_MOAD, , , , 
4ISF, 1FX, BINDING_DB, NA, NA, NA, NA
4ISF, GLC, BINDING_MOAD, , , , 
3IDH, GLC, BINDING_MOAD, , , , 
3H1V, GLC, BINDING_MOAD, , , , 
3H1V, TK1, BINDING_MOAD, , , , 
3FR0, AJB, BINDING_DB, NA, NA, NA, NA
4DHY, GLC, BINDING_MOAD, , , , 
4DHY, S41, BINDING_MOAD, , , , 
4DHY, S41, BINDING_DB, NA, NA, NA, NA
3A0I, AJI, BINDING_MOAD, , , , 
3A0I, AJI, BINDING_DB, NA, NA, NA, NA
3A0I, GLC, BINDING_MOAD, , , , 
3VEV, 0H4, BINDING_MOAD, , , , 
3VEV, GLC, BINDING_MOAD, , , , 
3GOI, LOI, BINDING_DB, NA, NA, NA, NA
3VEY, 0H5, BINDING_MOAD, , , , 
3VEY, AGS, BINDING_MOAD, , , , 
3VEY, GLC, BINDING_MOAD, , , , 
3S41, S41, BINDING_DB, NA, NA, NA, NA
4L3Q, 926, BINDING_DB, NA, NA, NA, NA
3FGU, ANP, BINDING_MOAD, , , , 
3FGU, ANP, BINDING_DB, NA, NA, NA, NA
3FGU, BGC, BINDING_MOAD, , , , 
3FGU, BGC, BINDING_DB, NA, NA, NA, NA
3ID8, ANP, BINDING_MOAD, , , , 
3ID8, ANP, BINDING_DB, NA, NA, NA, NA
3ID8, GLC, BINDING_MOAD, , , , 
3ID8, MRK, BINDING_MOAD, , , , 
3ID8, MRK, BINDING_DB, NA, NA, NA, NA
1V4S, GLC, BINDING_MOAD, , , , 
1V4S, MRK, BINDING_MOAD, , , , 
1V4S, MRK, BINDING_DB, NA, NA, NA, NA
3IMX, B84, BINDING_MOAD, , , , 
3IMX, GLC, BINDING_MOAD, , , , 
4DCH, 4DC, BINDING_MOAD, , , , 
4DCH, 4DC, BINDING_DB, NA, NA, NA, NA
4DCH, GLC, BINDING_MOAD, , , , 
3VF6, 0H6, BINDING_MOAD, , , , 
3VF6, 0H6, BINDING_DB, NA, NA, NA, NA
3VF6, GLC, BINDING_MOAD, , , , 
3QIC, GLC, BINDING_MOAD, , , , 
3VF6, 0H6, BINDING_DB, NA, NA, NA, NA
3VF6, GLC, BINDING_MOAD, , , , 
3QIC, GLC, BINDING_MOAD, , , , 
