PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1JQH, ANP, BINDING_MOAD, , , , 
1JQH, ANP, BINDING_MOAD, , , , 
1JQH, ANP, BINDING_MOAD, , , , 
1JQH, ANP, BINDING_DB, NA, NA, NA, NA
3NW6, LGW, PDB_BIND, IC50, =, 7, nM
3NW6, LGW, BINDING_MOAD, ic50, 7, =, nM
3NW6, LGW, BINDING_DB, NA, NA, NA, NA
3NW7, LGV, PDB_BIND, IC50, =, 5.3, nM
3NW7, LGV, BINDING_MOAD, ic50, 5.3, =, nM
3NW7, LGV, BINDING_DB, NA, NA, NA, NA
3NW5, LGX, PDB_BIND, IC50, =, 8400, nM
3NW5, LGX, BINDING_MOAD, ic50, 8400, =, nM
3NW5, LGX, BINDING_DB, NA, NA, NA, NA
2ZM3, 575, PDB_BIND, Kd, =, 0.614, uM
2ZM3, 575, BINDING_MOAD, ic50, 2.42, =, uM
2ZM3, 575, BINDING_MOAD, ic50, 2.42, =, uM
2ZM3, 575, BINDING_MOAD, ic50, 2.42, =, uM
2ZM3, 575, BINDING_MOAD, ic50, 2.42, =, uM
2ZM3, 575, BINDING_DB, NA, NA, NA, NA
2ZM3, PTR, BINDING_DB, NA, NA, NA, NA
3QQU, 01P, PDB_BIND, IC50, =, 2.4, nM
3QQU, 01P, BINDING_DB, NA, NA, NA, NA
3O23, MQY, PDB_BIND, IC50, =, 0.5, uM
3O23, MQY, BINDING_MOAD, ic50, 0.5, =, uM
3O23, MQY, BINDING_DB, NA, NA, NA, NA
3LW0, CCX, PDB_BIND, IC50, =, 0.4, uM
3I81, EBI, PDB_BIND, IC50, =, 13, nM
3I81, EBI, BINDING_MOAD, ic50, 13, =, nM
3I81, EBI, BINDING_DB, NA, NA, NA, NA
3F5P, 741, PDB_BIND, IC50, =, 0.140, uM
3F5P, 741, BINDING_DB, NA, NA, NA, NA
3F5P, PTR, BINDING_DB, NA, NA, NA, NA
1K3A, ACP, BINDING_MOAD, , , , 
1K3A, PTR, BINDING_DB, NA, NA, NA, NA
3LVP, PDR, PDB_BIND, IC50, =, 2, nM
3D94, D94, PDB_BIND, Ki, =, 157, nM
3D94, D94, BINDING_MOAD, ic50, 118, =, nM
3D94, D94, BINDING_DB, NA, NA, NA, NA
 nM
3D94, D94, PDB_BIND, Ki, =, 157, nM
3D94, D94, BINDING_MOAD, ic50, 118, =, nM
3D94, D94, BINDING_DB, NA, NA, NA, NA
