PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3BQM, BQM, BINDING_MOAD, Ki, 2, =, nM
3BQM, BQM, BINDING_MOAD, Ki, 2, =, nM
3BQM, BQM, BINDING_DB, NA, NA, NA, NA
3BQN, BQN, PDB_BIND, IC50, =, 2.5, nM
3BQN, BQN, BINDING_MOAD, ic50, 2.5, =, nM
3BQN, BQN, BINDING_MOAD, ic50, 2.5, =, nM
3BQN, BQN, BINDING_DB, NA, NA, NA, NA
1CQP, 803, PDB_BIND, IC50, =, 2.4, uM
1CQP, 803, BINDING_DB, NA, NA, NA, NA
2O7N, 2O7, PDB_BIND, IC50, =, 15, nM
2O7N, 2O7, BINDING_MOAD, ic50, 15, =, nM
3F78, ICF, PDB_BIND, Kd, =, 800, uM
3F78, ICF, BINDING_MOAD, , , , 
3F78, ICF, BINDING_MOAD, , , , 
1XUO, LA1, PDB_BIND, IC50, =, 69, nM
1XUO, LA1, BINDING_MOAD, ic50, 69, =, nM
1XUO, LA1, BINDING_DB, NA, NA, NA, NA
3M6F, BJZ, PDB_BIND, IC50, =, 2.5, nM
3M6F, BJZ, BINDING_MOAD, , , , 
3M6F, BJZ, BINDING_DB, NA, NA, NA, NA
1RD4, L08, PDB_BIND, Kd, =, 18.3, nM
1RD4, L08, BINDING_MOAD, Kd, 18.3, =, nM
1RD4, L08, BINDING_MOAD, Kd, 18.3, =, nM
1RD4, L08, BINDING_MOAD, Kd, 18.3, =, nM
1RD4, L08, BINDING_MOAD, Kd, 18.3, =, nM
1XDG, AB8, PDB_BIND, IC50, =, 0.05, uM
1XDG, AB8, BINDING_MOAD, ic50, 0.05, =, uM
1XDG, AB8, BINDING_MOAD, ic50, 0.05, =, uM
1XDG, AB8, BINDING_DB, NA, NA, NA, NA
1XDD, AAY, PDB_BIND, IC50, =, 0.2, uM
1XDD, AAY, BINDING_MOAD, ic50, 0.2, =, uM
1XDD, AAY, BINDING_MOAD, ic50, 0.2, =, uM
3E2M, E2M, PDB_BIND, IC50, =, 0.4, nM
3E2M, E2M, BINDING_MOAD, ic50, 0.4, =, nM
3E2M, E2M, BINDING_MOAD, ic50, 0.4, =, nM
3E2M, E2M, BINDING_DB, NA, NA, NA, NA
E2M, BINDING_MOAD, ic50, 0.4, =, nM
3E2M, E2M, BINDING_MOAD, ic50, 0.4, =, nM
3E2M, E2M, BINDING_DB, NA, NA, NA, NA
