PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3TJC, 0TP, PDB_BIND, IC50, =, 31, nM
3TJC, 0TP, BINDING_MOAD, ic50, 0.031, =, uM
3TJC, 0TP, BINDING_MOAD, ic50, 0.031, =, uM
3TJC, 0TP, BINDING_DB, NA, NA, NA, NA
4GMY, 0X5, PDB_BIND, Ki, =, 0.028, uM
4GMY, 0X5, BINDING_MOAD, Ki, 0.028, =, uM
4GMY, 0X5, BINDING_DB, NA, NA, NA, NA
3FUP, MI1, PDB_BIND, IC50, =, 21.7, nM
3FUP, MI1, BINDING_MOAD, ic50, 21.7, =, nM
3FUP, MI1, BINDING_MOAD, ic50, 21.7, =, nM
3FUP, MI1, BINDING_DB, NA, NA, NA, NA
3FUP, PTR, BINDING_DB, NA, NA, NA, NA
3IO7, 1P5, PDB_BIND, Ki, =, 0.017, uM
3IO7, PTR, BINDING_DB, NA, NA, NA, NA
3E62, 5B1, PDB_BIND, IC50, =, 40.9, uM
3E62, 5B1, BINDING_MOAD, ic50, 40.9, =, uM
3E62, 5B1, BINDING_DB, NA, NA, NA, NA
3E62, PTR, BINDING_DB, NA, NA, NA, NA
3E63, 5B2, PDB_BIND, IC50, =, 1.6, uM
3E63, 5B2, BINDING_MOAD, ic50, 1.6, =, uM
3E63, 5B2, BINDING_DB, NA, NA, NA, NA
3E63, PTR, BINDING_DB, NA, NA, NA, NA
3KRR, DQX, PDB_BIND, IC50, =, 0.48, nM
3KRR, DQX, BINDING_MOAD, ic50, 0.48, =, nM
3KRR, DQX, BINDING_DB, NA, NA, NA, NA
3KRR, PTR, BINDING_DB, NA, NA, NA, NA
3E64, 5B3, PDB_BIND, Kd, =, 0.078, uM
3E64, 5B3, BINDING_MOAD, ic50, 0.078, =, uM
3E64, 5B3, BINDING_DB, NA, NA, NA, NA
3E64, PTR, BINDING_DB, NA, NA, NA, NA
4JI9, 1M3, BINDING_MOAD, , , , 
4JI9, 1M3, BINDING_MOAD, , , , 
4F08, 1RS, BINDING_DB, NA, NA, NA, NA
3RVG, 17P, PDB_BIND, IC50, =, 5, nM
3RVG, 17P, BINDING_MOAD, ic50, 5, =, nM
4F09, JAK, PDB_BIND, Ki, =, 200, nM
4F09, JAK, BINDING_MOAD, Ki, 10, =, nM
4F09, JAK, BINDING_DB, NA, NA, NA, NA
4GL9, IZA, BINDING_DB, NA, NA, NA, NA
3TJD, 6TP, PDB_BIND, IC50, =, 1.0, nM
3TJD, 6TP, BINDING_DB, NA, NA, NA, NA
3UGC, 046, BINDING_MOAD, , , , 
4HGE, 15V, PDB_BIND, Ki, =, 11.9, nM
4HGE, 15V, BINDING_MOAD, Ki, 11.9, =, nM
4HGE, 15V, BINDING_MOAD, Ki, 11.9, =, nM
4HGE, 15V, BINDING_DB, NA, NA, NA, NA
4C61, LMM, BINDING_DB, NA, NA, NA, NA
4BBF, O19, PDB_BIND, IC50, =, 2.2, nM
4BBF, O19, BINDING_MOAD, ic50, 2.2, =, nM
4BBF, O19, BINDING_MOAD, ic50, 2.2, =, nM
4BBF, O19, BINDING_MOAD, ic50, 2.2, =, nM
4BBF, O19, BINDING_MOAD, ic50, 2.2, =, nM
4BBF, O19, BINDING_DB, NA, NA, NA, NA
4IVA, 1J5, PDB_BIND, Ki, =, 68.4, nM
4IVA, 1J5, BINDING_MOAD, , , , 
4IVA, 1J5, BINDING_DB, NA, NA, NA, NA
3ZMM, F9J, PDB_BIND, Ki, =, 0.72, nM
3ZMM, F9J, BINDING_DB, NA, NA, NA, NA
4BBE, 3O4, PDB_BIND, IC50, =, 3.6, nM
4BBE, 3O4, BINDING_MOAD, ic50, 3.6, =, nM
4BBE, 3O4, BINDING_MOAD, ic50, 3.6, =, nM
4BBE, 3O4, BINDING_MOAD, ic50, 3.6, =, nM
4BBE, 3O4, BINDING_MOAD, ic50, 3.6, =, nM
4BBE, 3O4, BINDING_DB, NA, NA, NA, NA
4E6D, 0NU, PDB_BIND, Ki, =, 1.2, nM
4E6D, 0NU, BINDING_MOAD, Ki, 0.88, =, nM
4E6D, 0NU, BINDING_MOAD, Ki, 0.88, =, nM
4E6D, 0NU, BINDING_DB, NA, NA, NA, NA
4GFM, 0X2, PDB_BIND, Ki, =, 0.06, uM
4GFM, 0X2, BINDING_MOAD, Ki, 0.06, =, uM
4GFM, 0X2, BINDING_DB, NA, NA, NA, NA
3KCK, 3KC, PDB_BIND, Ki, =, 0.8, nM
3KCK, 3KC, BINDING_MOAD, Ki, 0.0008, =, uM
3KCK, PTR, BINDING_DB, NA, NA, NA, NA
4AQC, 88A, PDB_BIND, IC50, =, 0.9, nM
4AQC, 88A, BINDING_MOAD, ic50, 0.9, =, nM
4AQC, 88A, BINDING_MOAD, ic50, 0.9, =, nM
4AQC, 88A, BINDING_DB, NA, NA, NA, NA
4JIA, 1K3, PDB_BIND, Ki, =, 0.6, nM
4JIA, 1K3, BINDING_MOAD, Ki, 0.0006, =, uM
4JIA, 1K3, BINDING_DB, NA, NA, NA, NA
2W1I, L0I, PDB_BIND, IC50, =, 1.2, nM
2W1I, PTR, BINDING_DB, NA, NA, NA, NA
3JY9, JZH, PDB_BIND, Ki, =, 1, nM
3JY9, JZH, BINDING_MOAD, Ki, 0.001, =, uM
3JY9, JZH, BINDING_DB, NA, NA, NA, NA
3JY9, PTR, BINDING_DB, NA, NA, NA, NA
4E6Q, 0NV, PDB_BIND, Ki, =, 4.4, nM
4E6Q, 0NV, BINDING_MOAD, Ki, 4.56, =, nM
4E6Q, 0NV, BINDING_MOAD, Ki, 4.56, =, nM
4E6Q, 0NV, BINDING_DB, NA, NA, NA, NA
2B7A, IZA, PDB_BIND, IC50, =, 1, nM
2B7A, IZA, BINDING_MOAD, ic50, 1, =, nM
2B7A, IZA, BINDING_MOAD, ic50, 1, =, nM
2B7A, IZA, BINDING_DB, NA, NA, NA, NA
2B7A, PTR, BINDING_DB, NA, NA, NA, NA
2XA4, AZ5, PDB_BIND, IC50, =, 3, nM
2XA4, AZ5, BINDING_MOAD, ic50, 0.003, <, uM
2XA4, AZ5, BINDING_MOAD, ic50, 0.003, <, uM
2XA4, AZ5, BINDING_DB, NA, NA, NA, NA
2XA4, PTR, BINDING_DB, NA, NA, NA, NA
3IOK, 1P6, PDB_BIND, Ki, =, 0.011, uM
3IOK, 1P6, BINDING_MOAD, Ki, 0.0002, =, uM
3IOK, PTR, BINDING_DB, NA, NA, NA, NA
4E4M, 0NH, BINDING_MOAD, Ki, 11, =, nM
4E4M, 0NH, BINDING_MOAD, Ki, 11, =, nM
4E4M, 0NH, BINDING_MOAD, Ki, 11, =, nM
4E4M, 0NH, BINDING_MOAD, Ki, 11, =, nM
4E4M, 0NH, BINDING_DB, NA, NA, NA, NA
3Q32, J2I, PDB_BIND, IC50, =, 1.8, nM
3Q32, J2I, BINDING_MOAD, ic50, 0.0018, =, uM
3Q32, J2I, BINDING_MOAD, ic50, 0.0018, =, uM
3Q32, J2I, BINDING_DB, NA, NA, NA, NA
, BINDING_DB, NA, NA, NA, NA
3Q32, J2I, PDB_BIND, IC50, =, 1.8, nM
3Q32, J2I, BINDING_MOAD, ic50, 0.0018, =, uM
3Q32, J2I, BINDING_MOAD, ic50, 0.0018, =, uM
3Q32, J2I, BINDING_DB, NA, NA, NA, NA
