PDB_ID	LIG_ID
3LPB	lig
2B7A	IZA
2W1I	L0I
2XA4	AZ5
3E62	5B1
3E63	5B2
3E64	5B3
3FUP	MI1
3IO7	1P5
3IOK	1P6
3JY9	JZH
3KCK	3KC
3KRR	DQX
3Q32	J2I
3RVG	17P
3TJC	0TP
3TJD	6TP
3UGC	046
3ZMM	F9J
4AQC	88A
4BBE	3O4
4BBF	O19
4C61	LMM
4C62	XWW
4D0W	VVQ
4D0X	953
4D1S	BJG
4E4M	0NH
4E6D	0NU
4E6Q	0NV
4F08	1RS
4F09	JAK
4GFM	0X2
4GMY	0X5
4HGE	15V
4IVA	1J5
4JI9	1M3
4P7E	2HB
4YTC	4HW
4YTF	4HZ
4YTH	467
4YTI	VJK
4ZIM	4OK
5AEP	QUP
5CF4	50Y
5CF5	50W
5CF6	50O
5CF8	50V
5HEZ	1M3
5L3A	6DP
5TQ3	7GZ
5TQ4	7GY
5TQ5	7GX
5TQ6	7GV
5TQ7	7GT
5TQ8	7GS
5USY	SKE
5WEV	9ZS
