PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2XAE, 2XA, PDB_BIND, Ki, <, 50.0, nM
2XAE, 2XA, BINDING_DB, NA, NA, NA, NA
4B7B, ADP, BINDING_MOAD, , , , 
2FL2, ADP, BINDING_MOAD, , , , 
2FL2, ADP, BINDING_MOAD, , , , 
2FL2, ADP, BINDING_DB, NA, NA, NA, NA
2FL2, N4T, PDB_BIND, IC50, =, 2.0, nM
2FL2, N4T, BINDING_MOAD, ic50, 2, =, nM
2FL2, N4T, BINDING_MOAD, ic50, 2, =, nM
2FL2, N4T, BINDING_DB, NA, NA, NA, NA
2IEH, ADP, BINDING_DB, NA, NA, NA, NA
2IEH, MOY, PDB_BIND, IC50, =, 110, nM
2IEH, MOY, BINDING_DB, NA, NA, NA, NA
2FL6, ADP, BINDING_MOAD, , , , 
2FL6, ADP, BINDING_MOAD, , , , 
2FL6, ADP, BINDING_DB, NA, NA, NA, NA
2FL6, N5T, PDB_BIND, IC50, =, 38, nM
2FL6, N5T, BINDING_MOAD, ic50, 38, =, nM
2FL6, N5T, BINDING_MOAD, ic50, 38, =, nM
2FL6, N5T, BINDING_DB, NA, NA, NA, NA
3K3B, ADP, BINDING_MOAD, , , , 
3K3B, ADP, BINDING_MOAD, , , , 
3K3B, L31, PDB_BIND, IC50, =, 0.2, uM
3K3B, L31, BINDING_MOAD, ic50, 0.2, =, uM
3K3B, L31, BINDING_MOAD, ic50, 0.2, =, uM
2X7C, ADP, BINDING_MOAD, , , , 
2X7C, ADP, BINDING_MOAD, , , , 
2X7C, ADP, BINDING_DB, NA, NA, NA, NA
2X7C, KZ9, PDB_BIND, IC50, =, 2, uM
2X7C, KZ9, BINDING_MOAD, ic50, 2, =, uM
2X7C, KZ9, BINDING_MOAD, ic50, 2, =, uM
2X7C, KZ9, BINDING_DB, NA, NA, NA, NA
4A50, DQ6, PDB_BIND, Ki, =, 12.2, nM
4A50, DQ7, PDB_BIND, Ki, =, 12.2, nM
4A51, DQ8, PDB_BIND, Ki, =, 185.8, nM
4A51, DQ8, BINDING_DB, NA, NA, NA, NA
2X7E, ADP, BINDING_MOAD, , , , 
2X7E, ADP, BINDING_MOAD, , , , 
2X7E, ADP, BINDING_DB, NA, NA, NA, NA
2X7E, X7E, BINDING_MOAD, , , , 
2X7E, X7E, BINDING_MOAD, , , , 
2X7D, ADP, BINDING_MOAD, , , , 
2X7D, ADP, BINDING_MOAD, , , , 
2X7D, ADP, BINDING_DB, NA, NA, NA, NA
2X7D, EGB, PDB_BIND, IC50, =, 200, nM
2X7D, EGB, BINDING_MOAD, ic50, 200, =, nM
2X7D, EGB, BINDING_MOAD, ic50, 200, =, nM
2X7D, EGB, BINDING_DB, NA, NA, NA, NA
3L9H, ADP, BINDING_MOAD, , , , 
3L9H, ADP, BINDING_MOAD, , , , 
3L9H, EMQ, PDB_BIND, IC50, =, 8, nM
3L9H, EMQ, BINDING_MOAD, ic50, 8, =, nM
3L9H, EMQ, BINDING_MOAD, ic50, 8, =, nM
3L9H, EMQ, BINDING_DB, NA, NA, NA, NA
3HQD, ANP, BINDING_MOAD, , , , 
3HQD, ANP, BINDING_MOAD, , , , 
3HQD, ANP, BINDING_DB, NA, NA, NA, NA
2WOG, ADP, BINDING_MOAD, , , , 
2WOG, ADP, BINDING_MOAD, , , , 
2WOG, ADP, BINDING_MOAD, , , , 
2WOG, ADP, BINDING_DB, NA, NA, NA, NA
2WOG, ZZD, BINDING_MOAD, , , , 
2WOG, ZZD, BINDING_MOAD, , , , 
2WOG, ZZD, BINDING_MOAD, , , , 
2WOG, ZZD, BINDING_DB, NA, NA, NA, NA
2FKY, ADP, BINDING_MOAD, , , , 
2FKY, ADP, BINDING_MOAD, , , , 
2FKY, ADP, BINDING_DB, NA, NA, NA, NA
2FKY, N2T, PDB_BIND, IC50, =, 2.6, nM
2FKY, N2T, BINDING_MOAD, ic50, 2.6, =, nM
2FKY, N2T, BINDING_MOAD, ic50, 2.6, =, nM
2FKY, N2T, BINDING_DB, NA, NA, NA, NA
1YRS, ADP, BINDING_MOAD, , , , 
1YRS, ADP, BINDING_MOAD, , , , 
1YRS, ADP, BINDING_DB, NA, NA, NA, NA
1YRS, L47, PDB_BIND, IC50, =, 450, nM
1YRS, L47, BINDING_MOAD, ic50, 450, =, nM
1YRS, L47, BINDING_MOAD, ic50, 450, =, nM
1YRS, L47, BINDING_DB, NA, NA, NA, NA
2FME, 3QC, PDB_BIND, IC50, =, 104, nM
2FME, 3QC, BINDING_MOAD, ic50, 104, =, nM
2FME, 3QC, BINDING_MOAD, ic50, 104, =, nM
2FME, 3QC, BINDING_DB, NA, NA, NA, NA
2FME, ADP, BINDING_MOAD, , , , 
2FME, ADP, BINDING_MOAD, , , , 
2FME, ADP, BINDING_DB, NA, NA, NA, NA
2UYM, ADP, BINDING_MOAD, , , , 
2UYM, ADP, BINDING_MOAD, , , , 
2UYM, ADP, BINDING_DB, NA, NA, NA, NA
2UYM, K03, PDB_BIND, IC50, =, 3.1, uM
2UYM, K03, BINDING_MOAD, ic50, 3.1, =, uM
2UYM, K03, BINDING_MOAD, ic50, 3.1, =, uM
2UYM, K03, BINDING_DB, NA, NA, NA, NA
2UYI, ADP, BINDING_MOAD, , , , 
2UYI, ADP, BINDING_MOAD, , , , 
2UYI, ADP, BINDING_DB, NA, NA, NA, NA
2UYI, K02, PDB_BIND, IC50, =, 0.48, uM
2UYI, K02, BINDING_MOAD, ic50, 0.48, =, uM
2UYI, K02, BINDING_MOAD, ic50, 0.48, =, uM
2UYI, K02, BINDING_DB, NA, NA, NA, NA
4AS7, 6LX, BINDING_MOAD, ic50, 484, =, nM
4AS7, ADP, BINDING_MOAD, , , , 
4AQV, TA1, BINDING_DB, NA, NA, NA, NA
4AQW, TA1, BINDING_DB, NA, NA, NA, NA
2PG2, ADP, BINDING_MOAD, , , , 
2PG2, ADP, BINDING_MOAD, , , , 
2PG2, ADP, BINDING_DB, NA, NA, NA, NA
2PG2, K01, PDB_BIND, IC50, =, 1.7, uM
2PG2, K01, BINDING_MOAD, ic50, 1.7, =, uM
2PG2, K01, BINDING_MOAD, ic50, 1.7, =, uM
2PG2, K01, BINDING_DB, NA, NA, NA, NA
4BBG, V02, PDB_BIND, Ki, =, 4.8, nM
3ZCW, 4A2, PDB_BIND, Kd, =, 0.65, uM
3ZCW, 4A2, BINDING_MOAD, Kd, 0.47, =, uM
3ZCW, 4A2, BINDING_MOAD, Kd, 0.47, =, uM
3ZCW, 4A2, BINDING_DB, NA, NA, NA, NA
3ZCW, ADP, PDB_BIND, Kd, =, 0.65, uM
3ZCW, ADP, BINDING_MOAD, , , , 
2GM1, 2AZ, PDB_BIND, IC50, =, 0.10, uM
2GM1, 2AZ, BINDING_MOAD, ic50, 0.1, =, uM
2GM1, 2AZ, BINDING_MOAD, ic50, 0.1, =, uM
2GM1, 2AZ, BINDING_MOAD, ic50, 0.1, =, uM
2GM1, 2AZ, BINDING_MOAD, ic50, 0.1, =, uM
2GM1, ADP, BINDING_MOAD, , , , 
2GM1, ADP, BINDING_MOAD, , , , 
2GM1, ADP, BINDING_MOAD, , , , 
2GM1, ADP, BINDING_MOAD, , , , 
2GM1, ADP, BINDING_DB, NA, NA, NA, NA
3KEN, ADP, BINDING_MOAD, , , , 
3KEN, ZZD, PDB_BIND, IC50, =, 4, uM
3KEN, ZZD, BINDING_MOAD, , , , 
3KEN, ZZD, BINDING_DB, NA, NA, NA, NA
2G1Q, ADP, BINDING_DB, NA, NA, NA, NA
2G1Q, N9H, PDB_BIND, IC50, =, 44, nM
2G1Q, N9H, BINDING_DB, NA, NA, NA, NA
2X2R, ADP, BINDING_MOAD, , , , 
2X2R, ADP, BINDING_MOAD, , , , 
2X2R, ADP, BINDING_MOAD, , , , 
2X2R, X2O, PDB_BIND, Ki, =, 76.2, nM
2X2R, X2O, BINDING_MOAD, ic50, 549, =, nM
2X2R, X2O, BINDING_MOAD, ic50, 549, =, nM
2X2R, X2O, BINDING_MOAD, ic50, 549, =, nM
4AP0, ADP, PDB_BIND, Kd, <, 10, nM
4AP0, G7X, PDB_BIND, Kd, <, 10, nM
1Q0B, ADP, BINDING_MOAD, , , , 
1Q0B, ADP, BINDING_MOAD, , , , 
1Q0B, ADP, BINDING_DB, NA, NA, NA, NA
1Q0B, NAT, PDB_BIND, IC50, =, 6.7, uM
1Q0B, NAT, BINDING_MOAD, ic50, 7, =, uM
1Q0B, NAT, BINDING_MOAD, ic50, 7, =, uM
1Q0B, NAT, BINDING_DB, NA, NA, NA, NA
1II6, ADP, BINDING_MOAD, , , , 
1II6, ADP, BINDING_MOAD, , , , 
1II6, ADP, BINDING_DB, NA, NA, NA, NA
2Q2Y, ADP, BINDING_MOAD, , , , 
2Q2Y, ADP, BINDING_MOAD, , , , 
2Q2Y, ADP, BINDING_DB, NA, NA, NA, NA
2Q2Y, MKR, PDB_BIND, IC50, =, 1.6, nM
2Q2Y, MKR, BINDING_MOAD, ic50, 1.6, =, nM
2Q2Y, MKR, BINDING_MOAD, ic50, 1.6, =, nM
2Q2Y, MKR, BINDING_DB, NA, NA, NA, NA
2Q2Z, ADP, BINDING_DB, NA, NA, NA, NA
2Q2Z, MKK, PDB_BIND, IC50, =, 2.0, nM
2Q2Z, MKK, BINDING_DB, NA, NA, NA, NA
4CK6, TA1, BINDING_DB, NA, NA, NA, NA
4CK7, TA1, BINDING_DB, NA, NA, NA, NA
4CK5, TA1, BINDING_DB, NA, NA, NA, NA
1X88, ADP, BINDING_DB, NA, NA, NA, NA
1X88, NAT, BINDING_DB, NA, NA, NA, NA
, MKK, PDB_BIND, IC50, =, 2.0, nM
2Q2Z, MKK, BINDING_DB, NA, NA, NA, NA
4CK6, TA1, BINDING_DB, NA, NA, NA, NA
4CK7, TA1, BINDING_DB, NA, NA, NA, NA
4CK5, TA1, BINDING_DB, NA, NA, NA, NA
1X88, ADP, BINDING_DB, NA, NA, NA, NA
1X88, NAT, BINDING_DB, NA, NA, NA, NA
