PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4C3F, 7KW, BINDING_MOAD, , , , 
3BYU, AM6, PDB_BIND, IC50, =, 0.8, nM
3BYU, AM6, BINDING_MOAD, ic50, 0.8, =, nM
3BYU, AM6, BINDING_DB, NA, NA, NA, NA
2ZM4, PTR, BINDING_DB, NA, NA, NA, NA
3MPM, 5LK, PDB_BIND, IC50, =, 30, nM
3MPM, 5LK, BINDING_MOAD, ic50, 30, =, nM
2ZM1, KSF, PDB_BIND, IC50, =, 220, nM
2ZM1, KSF, BINDING_MOAD, ic50, 220, =, nM
2ZM1, KSF, BINDING_DB, NA, NA, NA, NA
2ZM1, PTR, BINDING_DB, NA, NA, NA, NA
3BYS, AM5, PDB_BIND, IC50, =, 0.5, nM
3BYS, AM5, BINDING_MOAD, ic50, 0.5, =, nM
3BYS, AM5, BINDING_DB, NA, NA, NA, NA
3BYM, AM0, BINDING_MOAD, ic50, 0.006, =, uM
3BYM, AM0, BINDING_DB, NA, NA, NA, NA
3BYM, PTR, BINDING_DB, NA, NA, NA, NA
3BYO, AM9, PDB_BIND, IC50, =, 7, nM
3BYO, AM9, BINDING_MOAD, ic50, 7, =, nM
3BYO, AM9, BINDING_DB, NA, NA, NA, NA
3BYO, PTR, BINDING_DB, NA, NA, NA, NA
3KXZ, 925, PDB_BIND, IC50, =, 35, nM
3KXZ, 925, BINDING_MOAD, ic50, 0.035, =, uM
3KXZ, PTR, BINDING_DB, NA, NA, NA, NA
2OG8, 1N8, PDB_BIND, IC50, =, 0.5, nM
2OG8, 1N8, BINDING_MOAD, ic50, 0.5, =, nM
2OG8, 1N8, BINDING_MOAD, ic50, 0.5, =, nM
2OG8, 1N8, BINDING_DB, NA, NA, NA, NA
3ACK, PTR, BINDING_DB, NA, NA, NA, NA
3ACJ, PTR, BINDING_DB, NA, NA, NA, NA
2ZYB, KSL, PDB_BIND, IC50, =, 20, nM
2ZYB, KSL, BINDING_DB, NA, NA, NA, NA
2ZYB, PTR, BINDING_DB, NA, NA, NA, NA
2OFV, 242, PDB_BIND, IC50, =, 0.2, nM
2OFV, 242, BINDING_MOAD, ic50, 0.2, =, nM
2OFV, 242, BINDING_MOAD, ic50, 0.2, =, nM
2OFV, 242, BINDING_DB, NA, NA, NA, NA
2OFU, 1N9, PDB_BIND, IC50, =, 1, nM
2OFU, 1N9, BINDING_MOAD, ic50, 3, ~, uM
2OFU, 1N9, BINDING_DB, NA, NA, NA, NA
2OFU, PTR, BINDING_DB, NA, NA, NA, NA
1QPD, PTR, BINDING_DB, NA, NA, NA, NA
1QPD, STU, BINDING_MOAD, , , , 
1QPD, STU, BINDING_DB, NA, NA, NA, NA
1QPE, PP2, PDB_BIND, IC50, =, 20, nM
1QPE, PP2, BINDING_MOAD, ic50, 20, =, nM
1QPE, PP2, BINDING_DB, NA, NA, NA, NA
1QPE, PTR, BINDING_DB, NA, NA, NA, NA
1QPC, ANP, BINDING_MOAD, , , , 
1QPC, ANP, BINDING_DB, NA, NA, NA, NA
1QPC, PTR, BINDING_DB, NA, NA, NA, NA
1QPJ, PTR, BINDING_DB, NA, NA, NA, NA
1QPJ, STU, BINDING_MOAD, , , , 
1QPJ, STU, BINDING_DB, NA, NA, NA, NA
3AC5, PTR, BINDING_DB, NA, NA, NA, NA
3AC4, PTR, BINDING_DB, NA, NA, NA, NA
3AC1, PTR, BINDING_DB, NA, NA, NA, NA
3AC3, PTR, BINDING_DB, NA, NA, NA, NA
2OF4, 979, PDB_BIND, IC50, =, 81, nM
2OF4, 979, BINDING_DB, NA, NA, NA, NA
3AC8, PTR, BINDING_DB, NA, NA, NA, NA
2PL0, STI, PDB_BIND, Kd, =, 0.062, uM
2PL0, STI, BINDING_DB, NA, NA, NA, NA
3AC2, KSE, BINDING_DB, NA, NA, NA, NA
3AC2, PTR, BINDING_DB, NA, NA, NA, NA
3KMM, LHL, PDB_BIND, Kd, =, 0.2, nM
3KMM, LHL, BINDING_DB, NA, NA, NA, NA
3KMM, PTR, BINDING_DB, NA, NA, NA, NA
3B2W, 9NH, PDB_BIND, IC50, =, 0.6, nM
3B2W, 9NH, BINDING_MOAD, ic50, 0.6, =, nM
3LCK, PTR, BINDING_DB, NA, NA, NA, NA
NA
3B2W, 9NH, PDB_BIND, IC50, =, 0.6, nM
3B2W, 9NH, BINDING_MOAD, ic50, 0.6, =, nM
3LCK, PTR, BINDING_DB, NA, NA, NA, NA
