PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3FH8, 27P, PDB_BIND, IC50, =, 180, nM
3FH8, 27P, BINDING_MOAD, ic50, 180, =, nM
3FH8, 27P, BINDING_DB, NA, NA, NA, NA
2R59, PH0, PDB_BIND, Ki, =, 6.5, nM
2R59, PH0, BINDING_MOAD, Ki, 6.5, =, nM
2R59, PH0, BINDING_DB, NA, NA, NA, NA
3FH7, 25P, PDB_BIND, Kd, =, 25, nM
3FH7, 25P, BINDING_MOAD, Kd, 25, =, nM
3FH7, 25P, BINDING_DB, NA, NA, NA, NA
3FUL, 52D, PDB_BIND, IC50, =, 199, uM
3FUL, 52D, BINDING_MOAD, ic50, 199, =, uM
3FUL, 52D, BINDING_DB, NA, NA, NA, NA
3FUM, 80A, PDB_BIND, IC50, =, 170, uM
3FUM, 80A, BINDING_MOAD, ic50, 170, =, uM
3FUH, BES, BINDING_MOAD, , , , 
3FUH, BES, BINDING_DB, NA, NA, NA, NA
3FUI, 812, PDB_BIND, IC50, =, 0.157, uM
3FUI, 812, BINDING_MOAD, ic50, 0.157, =, uM
3FUI, 812, BINDING_DB, NA, NA, NA, NA
3FUJ, 00G, PDB_BIND, IC50, =, 234, uM
3FUJ, 00G, BINDING_MOAD, ic50, 234, =, uM
3FUK, 58Z, PDB_BIND, IC50, =, 966, uM
3FUK, 58Z, BINDING_MOAD, ic50, 966, =, uM
3FUK, 58Z, BINDING_DB, NA, NA, NA, NA
3U9W, 28P, BINDING_DB, NA, NA, NA, NA
3FUF, BES, BINDING_DB, NA, NA, NA, NA
3FU3, 92G, PDB_BIND, IC50, =, 1443, uM
3FU3, 92G, BINDING_MOAD, ic50, 1443, =, uM
3FU3, 92G, BINDING_MOAD, ic50, 1443, =, uM
3FU3, 92G, BINDING_DB, NA, NA, NA, NA
2VJ8, HA2, PDB_BIND, Ki, =, 2, nM
2VJ8, HA2, BINDING_MOAD, Ki, 0.002, =, uM
3B7U, KEL, PDB_BIND, Ki, =, 18, nM
3B7U, KEL, BINDING_MOAD, , , , 
3B7U, KEL, BINDING_DB, NA, NA, NA, NA
3B7R, BIR, PDB_BIND, Ki, =, 20, nM
3B7R, BIR, BINDING_MOAD, Ki, 20, =, nM
3FTX, BES, BINDING_MOAD, , , , 
3FTX, BES, BINDING_DB, NA, NA, NA, NA
3FTX, RE2, BINDING_MOAD, , , , 
3FTX, RE2, BINDING_DB, NA, NA, NA, NA
1GW6, BES, BINDING_MOAD, , , , 
1GW6, BES, BINDING_DB, NA, NA, NA, NA
4DPR, X8Z, BINDING_DB, NA, NA, NA, NA
3FTZ, 848, BINDING_MOAD, , , , 
3CHR, 4BS, PDB_BIND, IC50, =, 61, nM
3CHR, 4BS, BINDING_MOAD, ic50, 61, =, nM
3CHR, 4BS, BINDING_DB, NA, NA, NA, NA
3CHS, 4BU, PDB_BIND, IC50, =, 17, nM
3CHS, 4BU, BINDING_DB, NA, NA, NA, NA
3FTY, 3IP, PDB_BIND, IC50, =, 619, uM
3FTY, 3IP, BINDING_MOAD, ic50, 619, =, uM
3FTY, 3IP, BINDING_DB, NA, NA, NA, NA
3CHQ, 4BQ, PDB_BIND, IC50, =, 20, nM
3CHQ, 4BQ, BINDING_MOAD, ic50, 20, =, nM
3CHQ, 4BQ, BINDING_DB, NA, NA, NA, NA
3FTW, 11X, PDB_BIND, IC50, =, 1.67, mM
3FTW, 11X, BINDING_MOAD, , , , 
3FTW, 11X, BINDING_DB, NA, NA, NA, NA
3FTV, 11X, PDB_BIND, IC50, =, 1167, uM
3FTV, 11X, BINDING_MOAD, ic50, 1667, =, uM
3FTV, 11X, BINDING_DB, NA, NA, NA, NA
3FTU, RE2, PDB_BIND, IC50, =, 247, uM
3FTU, RE2, BINDING_MOAD, ic50, 247, =, uM
3FTU, RE2, BINDING_DB, NA, NA, NA, NA
3FTS, STL, PDB_BIND, IC50, =, 212, uM
3FTS, STL, BINDING_MOAD, ic50, 212, =, uM
3FTS, STL, BINDING_DB, NA, NA, NA, NA
3FH5, 24P, PDB_BIND, IC50, =, 87, nM
3FH5, 24P, BINDING_MOAD, ic50, 87, =, nM
3FH5, 24P, BINDING_DB, NA, NA, NA, NA
3CHO, 4BG, PDB_BIND, IC50, =, 280, nM
3CHO, 4BG, BINDING_MOAD, ic50, 280, =, nM
3CHO, 4BG, BINDING_DB, NA, NA, NA, NA
3FUD, 692, PDB_BIND, IC50, =, 2000, uM
3FUD, 692, BINDING_MOAD, ic50, 1077, =, uM
3FUD, 692, BINDING_DB, NA, NA, NA, NA
3FU5, 492, PDB_BIND, IC50, =, 75.2, uM
3FU5, 492, BINDING_MOAD, ic50, 75.2, =, uM
3FU5, 492, BINDING_DB, NA, NA, NA, NA
3FU6, 80G, PDB_BIND, IC50, =, 106, uM
3FU6, 80G, BINDING_MOAD, ic50, 106, =, uM
3FU6, 80G, BINDING_DB, NA, NA, NA, NA
3FU0, 22F, PDB_BIND, IC50, =, 5308, uM
3FU0, 22F, BINDING_MOAD, ic50, 5308, =, uM
3FU0, 22F, BINDING_DB, NA, NA, NA, NA
3FUN, 798, PDB_BIND, IC50, =, 0.189, uM
3FUN, 798, BINDING_MOAD, ic50, 0.189, =, uM
3FUN, 798, BINDING_DB, NA, NA, NA, NA
1HS6, BES, PDB_BIND, IC50, =, 4.2, uM
1HS6, BES, BINDING_MOAD, , , , 
1HS6, BES, BINDING_DB, NA, NA, NA, NA
3FUE, 11S, PDB_BIND, IC50, =, 1510, uM
3FUE, 11S, BINDING_MOAD, ic50, 1510, =, uM
3FUE, 11S, BINDING_DB, NA, NA, NA, NA
3FUE, BES, BINDING_MOAD, , , , 
3FUE, BES, BINDING_DB, NA, NA, NA, NA
3FHE, 28P, PDB_BIND, IC50, =, 2.5, nM
3FHE, 28P, BINDING_MOAD, , , , 
3FHE, 28P, BINDING_DB, NA, NA, NA, NA
 NA, NA, NA
3FHE, 28P, PDB_BIND, IC50, =, 2.5, nM
3FHE, 28P, BINDING_MOAD, , , , 
3FHE, 28P, BINDING_DB, NA, NA, NA, NA
