PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2P3G, F10, PDB_BIND, IC50, =, 0.126, uM
2P3G, F10, BINDING_DB, NA, NA, NA, NA
3R30, CD2, BINDING_DB, NA, NA, NA, NA
3FYK, B98, PDB_BIND, IC50, =, 0.04, uM
3FYK, B98, BINDING_DB, NA, NA, NA, NA
3R2Y, P4O, PDB_BIND, IC50, =, 8.5, nM
3R2Y, P4O, BINDING_DB, NA, NA, NA, NA
2JBP, P4O, PDB_BIND, IC50, =, 8.5, nM
2JBP, P4O, BINDING_DB, NA, NA, NA, NA
3KC3, MK2, PDB_BIND, IC50, =, 0.16, uM
3KC3, MK2, BINDING_DB, NA, NA, NA, NA
2JBO, P4O, PDB_BIND, IC50, =, 8.5, nM
2JBO, P4O, BINDING_DB, NA, NA, NA, NA
3FYJ, B97, PDB_BIND, IC50, =, 5, nM
3FYJ, B97, BINDING_DB, NA, NA, NA, NA
3M42, HGF, BINDING_DB, NA, NA, NA, NA
3GOK, P4O, BINDING_DB, NA, NA, NA, NA
3FPM, 793, PDB_BIND, IC50, =, 8.9, uM
3FPM, 793, BINDING_DB, NA, NA, NA, NA
3KGA, LX9, PDB_BIND, IC50, =, 61, nM
3KGA, LX9, BINDING_DB, NA, NA, NA, NA
3A2C, PDY, PDB_BIND, Ki, =, 0.126, uM
3A2C, PDY, BINDING_DB, NA, NA, NA, NA
2PZY, B18, PDB_BIND, IC50, =, 34, nM
2PZY, B18, BINDING_DB, NA, NA, NA, NA
2PZY, STU, BINDING_DB, NA, NA, NA, NA
3WI6, YRZ, PDB_BIND, IC50, =, 4.7, uM
3R2B, 05B, PDB_BIND, IC50, =, 4, nM
3R2B, 05B, BINDING_DB, NA, NA, NA, NA
