PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2OAX, SNL, PDB_BIND, Ki, =, 2.232, nM
2OAX, SNL, BINDING_MOAD, , , , 
2OAX, SNL, BINDING_MOAD, , , , 
2OAX, SNL, BINDING_MOAD, , , , 
2OAX, SNL, BINDING_MOAD, , , , 
2OAX, SNL, BINDING_MOAD, , , , 
2OAX, SNL, BINDING_MOAD, , , , 
2OAX, SNL, BINDING_DB, NA, NA, NA, NA
2AB2, SNL, BINDING_MOAD, , , , 
2AB2, SNL, BINDING_MOAD, , , , 
2AB2, SNL, BINDING_DB, NA, NA, NA, NA
3VHV, LD1, PDB_BIND, IC50, =, 510, nM
3VHV, LD1, BINDING_MOAD, ic50, 510, =, nM
3VHV, LD2, PDB_BIND, IC50, =, 510, nM
3WFF, WFF, PDB_BIND, IC50, =, 660, nM
3WFF, WFF, BINDING_DB, NA, NA, NA, NA
3WFG, WFG, PDB_BIND, IC50, =, 120, nM
1YA3, STR, BINDING_MOAD, , , , 
1YA3, STR, BINDING_MOAD, , , , 
1YA3, STR, BINDING_MOAD, , , , 
1YA3, STR, BINDING_DB, NA, NA, NA, NA
2AA7, 1CA, BINDING_MOAD, , , , 
2AA7, 1CA, BINDING_DB, NA, NA, NA, NA
2A3I, C0R, BINDING_MOAD, , , , 
2A3I, C0R, BINDING_DB, NA, NA, NA, NA
2AAX, PDN, BINDING_MOAD, , , , 
2AAX, PDN, BINDING_MOAD, , , , 
1Y9R, 1CA, BINDING_MOAD, , , , 
1Y9R, 1CA, BINDING_MOAD, , , , 
1Y9R, 1CA, BINDING_DB, NA, NA, NA, NA
2AA6, STR, PDB_BIND, Kd, =, 0.39, nM
2AA6, STR, BINDING_MOAD, , , , 
2AA6, STR, BINDING_MOAD, , , , 
2AA6, STR, BINDING_DB, NA, NA, NA, NA
2ABI, 1CA, BINDING_DB, NA, NA, NA, NA
2AA5, STR, BINDING_MOAD, , , , 
2AA5, STR, BINDING_MOAD, , , , 
2AA5, STR, BINDING_DB, NA, NA, NA, NA
3VHU, SNL, PDB_BIND, IC50, =, 49, nM
3VHU, SNL, BINDING_MOAD, ic50, 49, =, nM
3VHU, SNL, BINDING_DB, NA, NA, NA, NA
