PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3CTJ, 320, PDB_BIND, IC50, =, 0.035, uM
3CTJ, 320, BINDING_MOAD, ic50, 0.11, =, uM
3CTJ, 320, BINDING_DB, NA, NA, NA, NA
2WGJ, VGH, PDB_BIND, Ki, =, 0.002, uM
2WGJ, VGH, BINDING_MOAD, Ki, 0.002, =, uM
2WGJ, VGH, BINDING_DB, NA, NA, NA, NA
3CTH, 319, PDB_BIND, IC50, =, 0.11, uM
3CTH, 319, BINDING_MOAD, ic50, 0.035, =, uM
3CTH, 319, BINDING_DB, NA, NA, NA, NA
3CCN, LKG, PDB_BIND, IC50, =, 120, nM
3CCN, LKG, BINDING_MOAD, ic50, 120, =, nM
3CCN, LKG, BINDING_DB, NA, NA, NA, NA
2WKM, PFY, BINDING_MOAD, ic50, 9, =, nM
3VW8, DF6, BINDING_MOAD, , , , 
3VW8, DF6, BINDING_DB, NA, NA, NA, NA
4EEV, L1X, PDB_BIND, IC50, =, 4.7, nM
4EEV, L1X, BINDING_MOAD, ic50, 42, =, nM
3F82, 353, PDB_BIND, Ki, =, 4.6, nM
3F82, 353, BINDING_MOAD, ic50, 3.9, =, nM
3F82, 353, BINDING_DB, NA, NA, NA, NA
2WD1, ZZY, PDB_BIND, IC50, =, 82, nM
2WD1, ZZY, BINDING_MOAD, ic50, 82, =, nM
2WD1, ZZY, BINDING_DB, NA, NA, NA, NA
3CD8, L5G, PDB_BIND, IC50, =, 9, nM
3CD8, L5G, BINDING_MOAD, ic50, 9, =, nM
3CD8, L5G, BINDING_DB, NA, NA, NA, NA
3DKF, SX8, PDB_BIND, Ki, =, 2.7, nM
3DKF, SX8, BINDING_MOAD, ic50, 4, =, nM
3DKF, SX8, BINDING_DB, NA, NA, NA, NA
3QTI, 3QT, PDB_BIND, IC50, =, 14, nM
3QTI, 3QT, BINDING_MOAD, ic50, 14, =, nM
3QTI, 3QT, BINDING_MOAD, ic50, 14, =, nM
3ZXZ, KRW, PDB_BIND, Ki, =, 0.004, uM
3ZXZ, KRW, BINDING_MOAD, Ki, 0.005, =, uM
3ZXZ, KRW, BINDING_DB, NA, NA, NA, NA
3ZC5, W9Z, PDB_BIND, Ki, =, 74, nM
3ZC5, W9Z, BINDING_MOAD, Ki, 0.0103, =, uM
3F66, IHX, PDB_BIND, IC50, =, 0.9, uM
3F66, IHX, BINDING_MOAD, ic50, 0.9, =, uM
3F66, IHX, BINDING_MOAD, ic50, 0.9, =, uM
3F66, IHX, BINDING_DB, NA, NA, NA, NA
3I5N, B2D, PDB_BIND, IC50, =, 14, nM
3I5N, B2D, BINDING_MOAD, ic50, 17, =, nM
3I5N, B2D, BINDING_DB, NA, NA, NA, NA
3A4P, DFQ, PDB_BIND, IC50, =, 28, nM
3L8V, L8V, PDB_BIND, IC50, =, 8, nM
3L8V, L8V, BINDING_MOAD, ic50, 0.008, =, uM
3L8V, L8V, BINDING_DB, NA, NA, NA, NA
2RFS, AM8, BINDING_MOAD, , , , 
1R0P, KSA, PDB_BIND, Kd, =, 10, nM
1R0P, KSA, BINDING_MOAD, Kd, 10, =, nM
1R0P, KSA, BINDING_DB, NA, NA, NA, NA
3ZCL, 5TF, PDB_BIND, Ki, =, 10.1, nM
3ZCL, 5TF, BINDING_MOAD, Ki, 0.0101, =, uM
3ZZE, 6XP, PDB_BIND, Ki, =, 1.3, nM
3ZZE, 6XP, BINDING_MOAD, Ki, 0.0013, =, uM
3DKC, ATP, BINDING_MOAD, , , , 
3DKC, ATP, BINDING_DB, NA, NA, NA, NA
2RFN, AM7, PDB_BIND, IC50, =, 5, nM
2RFN, AM7, BINDING_MOAD, ic50, 5, =, nM
2RFN, AM7, BINDING_MOAD, ic50, 5, =, nM
2RFN, AM7, BINDING_DB, NA, NA, NA, NA
3CE3, 1FN, PDB_BIND, IC50, =, 1.8, nM
3CE3, 1FN, BINDING_MOAD, ic50, 1.8, =, nM
3CE3, 1FN, BINDING_DB, NA, NA, NA, NA
3DKG, SX8, PDB_BIND, Ki, <, 10, uM
3DKG, SX8, BINDING_MOAD, , , , 
3DKG, SX8, BINDING_DB, NA, NA, NA, NA
4AOI, 4K0, PDB_BIND, Ki, =, 0.004, uM
4AOI, 4K0, BINDING_MOAD, Ki, 0.004, =, uM
4AOI, 4K0, BINDING_DB, NA, NA, NA, NA
3Q6W, Q6W, PDB_BIND, Kd, =, 27, nM
3Q6W, Q6W, BINDING_MOAD, Kd, 27, =, nM
3Q6W, Q6W, BINDING_DB, NA, NA, NA, NA
3R7O, M61, PDB_BIND, Kd, =, 4.4, nM
3R7O, M61, BINDING_MOAD, , , , 
3R7O, M61, BINDING_DB, NA, NA, NA, NA
4IWD, 1JC, PDB_BIND, IC50, =, 1, nM
4IWD, 1JC, BINDING_MOAD, ic50, 1, =, nM
4IWD, 1JC, BINDING_DB, NA, NA, NA, NA
4DEG, 0JJ, PDB_BIND, IC50, =, 6, nM
4DEG, 0JJ, BINDING_MOAD, ic50, 6, =, nM
4DEG, 0JJ, BINDING_DB, NA, NA, NA, NA
4AP7, F47, PDB_BIND, Ki, =, 0.011, uM
4AP7, F47, BINDING_MOAD, Ki, 0.011, =, uM
4AP7, F47, BINDING_DB, NA, NA, NA, NA
4DEI, 0JL, PDB_BIND, IC50, =, 1, nM
4DEI, 0JL, BINDING_MOAD, ic50, 1, =, nM
4DEI, 0JL, BINDING_DB, NA, NA, NA, NA
4DEH, 0JK, PDB_BIND, IC50, =, 612, nM
4DEH, 0JK, BINDING_MOAD, ic50, 612, =, nM
4DEH, 0JK, BINDING_DB, NA, NA, NA, NA
3ZBX, 6XE, PDB_BIND, Ki, =, 6, nM
3ZBX, 6XE, BINDING_MOAD, Ki, 0.006, =, uM
3ZBX, 6XE, BINDING_DB, NA, NA, NA, NA
4GG7, 0J8, PDB_BIND, Ki, =, 6.3, nM
