PDB_ID	LIG_ID
2ZDT	lig
1JNK	ANP
1PMN	984
1PMU	9HP
1PMV	537
1UKI	537
2B1P	AIZ
2EXC	JNK
2G01	73Q
2GMX	877
2H96	893
2NO3	859
2O0U	C0M
2O2U	738
2OK1	33A
2P33	J07
2WAJ	SNB
2XRW	ANP
2XS0	ANP
2ZDU	446
3CGF	JNF
3CGO	JNO
3DA6	BZ9
3ELJ	GS7
3FI2	JK1
3FV8	JK3
3G90	J72
3G9L	J67
3G9N	J88
3KVX	FMY
3OXI	SYY
3OY1	589
3PTG	932
3PZE	CFK
3RTP	34I
3TTI	KBI
3TTJ	JBI
3V3V	MYU
3V6R	CQQ
3V6S	0F0
4AWI	AQ2
4E73	0NR
4G1W	G1W
4HYS	1BJ
4HYU	1BK
4IZY	1J2
4KKE	AMP
4KKH	1RQ
4L7F	1V5
4U79	3EL
4UX9	ANP
4W4V	3H8
4W4W	3HJ
4W4X	3HN
4W4Y	3HQ
4WHZ	3NL
4X21	3WH
4Y46	4F2
4Y5H	519
