PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3ELM, 24F, PDB_BIND, Ki, =, 0.19, nM
3ELM, 24F, BINDING_MOAD, ic50, 0.5, =, nM
3ELM, 24F, BINDING_MOAD, ic50, 0.5, =, nM
3ELM, 24F, BINDING_DB, NA, NA, NA, NA
3LJZ, LA3, PDB_BIND, Ki, =, 7.3, nM
3LJZ, LA3, BINDING_MOAD, Ki, 7.3, =, nM
3LJZ, LA3, BINDING_MOAD, Ki, 7.3, =, nM
3LJZ, LA3, BINDING_MOAD, Ki, 7.3, =, nM
3LJZ, LA3, BINDING_MOAD, Ki, 7.3, =, nM
3LJZ, LA3, BINDING_DB, NA, NA, NA, NA
3O2X, 3O2, BINDING_DB, NA, NA, NA, NA
1FLS, WAY, PDB_BIND, IC50, =, 33, nM
1FLS, WAY, BINDING_DB, NA, NA, NA, NA
2PJT, 347, PDB_BIND, IC50, =, 860, nM
2PJT, 347, BINDING_DB, NA, NA, NA, NA
3TVC, E3P, PDB_BIND, Ki, =, 18, nM
3TVC, E3P, BINDING_MOAD, Ki, 18, =, nM
3TVC, E3P, BINDING_DB, NA, NA, NA, NA
3I7G, 732, PDB_BIND, IC50, =, 430, nM
3I7G, 732, BINDING_MOAD, ic50, 430, =, nM
3I7G, 732, BINDING_DB, NA, NA, NA, NA
3I7I, 518, PDB_BIND, IC50, =, 620, nM
3I7I, 518, BINDING_MOAD, ic50, 620, =, nM
3I7I, 518, BINDING_DB, NA, NA, NA, NA
456C, CBP, BINDING_MOAD, Ki, 0.17, =, nM
456C, CBP, BINDING_MOAD, Ki, 0.17, =, nM
456C, CBP, BINDING_DB, NA, NA, NA, NA
1FM1, WAY, BINDING_DB, NA, NA, NA, NA
2OZR, GG1, PDB_BIND, IC50, =, 0.67, nM
2OZR, GG1, BINDING_MOAD, ic50, 0.67, =, nM
2OZR, GG1, BINDING_MOAD, ic50, 0.67, =, nM
2OZR, GG1, BINDING_MOAD, ic50, 0.67, =, nM
2OZR, GG1, BINDING_MOAD, ic50, 0.67, =, nM
2OZR, GG1, BINDING_MOAD, ic50, 0.67, =, nM
2OZR, GG1, BINDING_MOAD, ic50, 0.67, =, nM
2OZR, GG1, BINDING_MOAD, ic50, 0.67, =, nM
2OZR, GG1, BINDING_MOAD, ic50, 0.67, =, nM
2OZR, GG1, BINDING_DB, NA, NA, NA, NA
4JPA, AZ6, BINDING_DB, NA, NA, NA, NA
1ZTQ, 033, PDB_BIND, IC50, =, 1.3, nM
1ZTQ, 033, BINDING_MOAD, ic50, 1.3, =, nM
1ZTQ, 033, BINDING_MOAD, ic50, 1.3, =, nM
