PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4ARK, M3K, PDB_BIND, IC50, =, 63, nM
3EQI, ADP, BINDING_MOAD, , , , 
3EQI, ADP, BINDING_DB, NA, NA, NA, NA
3EQC, 3BM, BINDING_MOAD, , , , 
3EQC, AGS, BINDING_MOAD, , , , 
3EQB, ATP, BINDING_DB, NA, NA, NA, NA
3EQB, LUG, PDB_BIND, IC50, =, 15, mM
3EQG, 4BM, BINDING_MOAD, , , , 
3EQG, 4BM, BINDING_DB, NA, NA, NA, NA
3EQG, ADP, BINDING_MOAD, , , , 
3EQG, ADP, BINDING_DB, NA, NA, NA, NA
3EQF, KSA, BINDING_DB, NA, NA, NA, NA
3E8N, ATP, BINDING_MOAD, , , , 
3E8N, ATP, BINDING_DB, NA, NA, NA, NA
3E8N, VRA, PDB_BIND, IC50, =, 19, nM
3E8N, VRA, BINDING_MOAD, ic50, 19, =, nM
3EQD, AGS, BINDING_MOAD, , , , 
3ZLY, YSO, PDB_BIND, IC50, =, 300, uM
3ZLY, YSO, BINDING_MOAD, ic50, 300, =, uM
3ZLX, 5EZ, PDB_BIND, IC50, =, 157, uM
3ZLX, 5EZ, BINDING_MOAD, ic50, 157, =, uM
3ZLS, 92P, PDB_BIND, IC50, =, 39.4, uM
3ZLS, 92P, BINDING_MOAD, ic50, 39.4, =, uM
3ZLW, MT8, PDB_BIND, IC50, =, 198, uM
3ZLW, MT8, BINDING_MOAD, ic50, 198, =, uM
1S9J, ATP, BINDING_MOAD, , , , 
1S9J, ATP, BINDING_DB, NA, NA, NA, NA
1S9J, BBM, BINDING_MOAD, , , , 
3MBL, LSG, PDB_BIND, IC50, =, 0.018, uM
3MBL, LSG, BINDING_DB, NA, NA, NA, NA
3DV3, ATP, BINDING_MOAD, , , , 
3DV3, ATP, BINDING_DB, NA, NA, NA, NA
3DV3, MEK, BINDING_MOAD, , , , 
3ZM4, 22T, PDB_BIND, IC50, =, 1.1, uM
3ZM4, 22T, BINDING_MOAD, ic50, 1.1, =, uM
3VVH, 4BM, BINDING_DB, NA, NA, NA, NA
2P55, ATP, BINDING_DB, NA, NA, NA, NA
2Y4I, ATP, BINDING_DB, NA, NA, NA, NA
3PP1, ATP, BINDING_DB, NA, NA, NA, NA
3PP1, IZG, PDB_BIND, IC50, =, 3.2, nM
3PP1, IZG, BINDING_DB, NA, NA, NA, NA
3DY7, 1CX, BINDING_DB, NA, NA, NA, NA
3DY7, ATP, BINDING_DB, NA, NA, NA, NA
3V01, 3V0, PDB_BIND, IC50, =, 25, nM
3V01, ATP, BINDING_DB, NA, NA, NA, NA
3V04, ATP, BINDING_DB, NA, NA, NA, NA
3V04, V04, PDB_BIND, IC50, =, 13, nM
4LMN, EUI, PDB_BIND, Ki, =, 0.05, nM
4LMN, EUI, BINDING_DB, NA, NA, NA, NA
 BINDING_DB, NA, NA, NA, NA
3V04, V04, PDB_BIND, IC50, =, 13, nM
4LMN, EUI, PDB_BIND, Ki, =, 0.05, nM
4LMN, EUI, BINDING_DB, NA, NA, NA, NA
