PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1INF, ST4, PDB_BIND, IC50, =, 10, uM
1INF, ST4, BINDING_MOAD, ic50, 10, =, uM
1A4Q, DPC, PDB_BIND, IC50, =, 3.6, uM
1A4Q, DPC, BINDING_MOAD, ic50, 3.6, =, uM
1A4Q, DPC, BINDING_MOAD, ic50, 3.6, =, uM
1A4Q, DPC, BINDING_DB, NA, NA, NA, NA
1A4G, ZMR, PDB_BIND, IC50, =, 0.004, uM
1A4G, ZMR, BINDING_MOAD, ic50, 0.004, =, uM
1A4G, ZMR, BINDING_MOAD, ic50, 0.004, =, uM
1A4G, ZMR, BINDING_DB, NA, NA, NA, NA
1B9S, FDI, BINDING_MOAD, ic50, 667, =, uM
1B9S, FDI, BINDING_DB, NA, NA, NA, NA
1NSC, SIA, BINDING_MOAD, , , , 
1NSC, SIA, BINDING_MOAD, , , , 
1NSD, DAN, BINDING_MOAD, , , , 
1NSD, DAN, BINDING_MOAD, , , , 
1NSD, DAN, BINDING_DB, NA, NA, NA, NA
1INV, EQP, BINDING_MOAD, , , , 
1IVB, ST1, BINDING_MOAD, , , , 
3K39, BCZ, PDB_BIND, Ki, =, 8.3, nM
3K39, BCZ, BINDING_DB, NA, NA, NA, NA
1B9T, RAI, PDB_BIND, IC50, =, 8, uM
1B9T, RAI, BINDING_MOAD, ic50, 8, =, uM
1B9T, RAI, BINDING_DB, NA, NA, NA, NA
3K3A, G39, PDB_BIND, Ki, =, 84.0, nM
3K3A, G39, BINDING_DB, NA, NA, NA, NA
3K37, BCZ, PDB_BIND, Ki, =, 1.2, nM
3K37, BCZ, BINDING_MOAD, ic50, 2.8, =, nM
3K37, BCZ, BINDING_MOAD, ic50, 2.8, =, nM
3K37, BCZ, BINDING_DB, NA, NA, NA, NA
1VCJ, IBA, PDB_BIND, IC50, =, 26, uM
1VCJ, IBA, BINDING_MOAD, ic50, 26, =, uM
Z, BINDING_MOAD, ic50, 2.8, =, nM
3K37, BCZ, BINDING_DB, NA, NA, NA, NA
1VCJ, IBA, PDB_BIND, IC50, =, 26, uM
1VCJ, IBA, BINDING_MOAD, ic50, 26, =, uM
