PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1DB5, 6IN, PDB_BIND, IC50, =, 0.152, uM
1DB5, 6IN, BINDING_DB, NA, NA, NA, NA
1DB4, 8IN, PDB_BIND, IC50, =, 0.057, uM
1DB4, 8IN, BINDING_MOAD, , , , 
1DB4, 8IN, BINDING_DB, NA, NA, NA, NA
1J1A, BHP, BINDING_MOAD, ic50, 0.029, =, uM
1J1A, BHP, BINDING_MOAD, ic50, 0.029, =, uM
1J1A, BHP, BINDING_DB, NA, NA, NA, NA
1DCY, I3N, BINDING_DB, NA, NA, NA, NA
3U8H, BHP, PDB_BIND, IC50, =, 0.32, uM
3U8H, BHP, BINDING_DB, NA, NA, NA, NA
1POE, GEL, BINDING_MOAD, , , , 
1POE, GEL, BINDING_MOAD, , , , 
3U8D, U8D, PDB_BIND, IC50, =, 0.47, uM
3U8D, U8D, BINDING_DB, NA, NA, NA, NA
1KQU, BR4, BINDING_MOAD, , , , 
